TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"22,040,432,596,172","22,089,274,019,449","22,146,344,620,561","24,721,565,376,552",,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,"1,209,154,406,312","1,676,491,290,318","1,043,473,767,363","2,665,194,638,452",,,,,,,,,,,,,,,,,,,,
1. Tiền,"1,029,154,406,312","826,491,290,318","987,873,767,363","2,378,583,764,655",,,,,,,,,,,,,,,,,,,,
2. Các khoản tương đương tiền,"180,000,000,000","850,000,000,000","55,600,000,000","286,610,873,797",,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,"9,666,846,652,579","9,306,531,479,431","10,238,285,848,104","12,435,744,328,964",,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,"443,154,995,292","443,157,926,658","443,154,506,731","1,153,041,048",,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,"-606,120,823","-607,691,084","-605,859,113","-840,586,787",,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"9,224,297,778,110","8,863,981,243,857","9,795,737,200,486","12,435,431,874,703",,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,"5,520,731,708,608","5,391,295,160,818","5,699,702,616,339","4,503,154,728,959",,,,,,,,,,,,,,,,,,,,
1. Phải thu ngắn hạn của khách hàng,"4,251,244,955,578","4,115,244,550,066","4,296,365,444,224","3,474,498,518,959",,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán ngắn hạn,"824,642,255,092","764,793,333,218","760,510,957,858","576,013,061,394",,,,,,,,,,,,,,,,,,,,
