,company_id,quarter,P,EPS,D/E,SIZE
0,AAT,2021-01-01,-0.5796698836032321,-0.09246721363829136,-0.22832425671417628,-0.7489875622985374
1,AAT,2021-04-01,-0.57950805359589,-0.09246720544257714,-0.2601367984929265,-0.772746494725978
2,AAT,2021-07-01,-0.579422175504113,-0.09246722106691903,-0.20578120542968123,-0.6917859030777528
3,AAT,2022-01-01,-0.5794460305573972,-0.09246721016621538,-0.12827909596985348,-0.3490076139102103
4,AAT,2022-04-01,-0.5795424738064553,-0.09246716805720095,-0.24593283971875227,-0.4233945886674433
5,AAT,2022-07-01,-0.5796961663239881,-0.09246722352967059,-0.25188122479483865,-0.4469956721038547
6,AAT,2022-10-01,-0.5797389462613038,-0.09246722308556785,-0.25315828698019105,-0.44855614068880434
7,AAT,2023-01-01,-0.5798224160152586,-0.0924672230048219,-0.25341678278732765,-0.4556817539606865
8,AAT,2023-04-01,-0.5800087914065191,-0.09246722288370297,-0.2635349862370425,-0.4675394202395913
9,AAT,2023-07-01,-0.47312282552138346,-0.09246722357004357,-0.2678635981486495,-0.4764034539490427
10,AAT,2023-10-01,-0.48093408661956666,-0.0924672183619296,-0.2595656184625857,-0.45080311186846966
11,AAT,2024-01-01,-0.4760965600604641,-0.09246722102654606,-0.2647922068475012,-0.45448724829101506
12,AAT,2024-04-01,-0.4894609501338589,-0.09246722167251367,-0.21123417852374063,-0.41168521143681674
13,AAT,2024-07-01,-0.5051515103152774,-0.09246722256071915,-0.20217905500360422,-0.39698689428597794
14,AAT,2024-10-01,-0.5126556199566235,-0.09246723083717932,-0.14162112268169205,-0.3077049932671517
15,ABR,2019-10-01,-0.5803539941505744,-0.0924671950667222,-0.3145861408486389,-1.3361189761683583
16,ABR,2020-04-01,-0.580495397881327,-0.09246721319418862,-0.31455725094683024,-1.290186490080851
17,ABR,2021-01-01,-0.5802796178796663,-0.09246721581843209,-0.3077960938967816,-1.2441549187935779
18,ABR,2021-04-01,-0.5802149197104354,-0.09246721468798876,-0.3174811824281924,-1.2490827738605315
19,ABR,2021-07-01,-0.5801926868134294,-0.09246721468798876,-0.3031236461167,-1.2125132675787225
20,ABR,2021-10-01,-0.5801653468868743,-0.09246721218486421,-0.31058890010751194,-1.2107591222032363
21,ABR,2022-01-01,-0.5801901457881523,-0.09246721226561017,-0.30210053738727755,-1.1814756579908268
22,ABR,2022-04-01,-0.5802210673192727,-0.09246721242710207,-0.29411812287037276,-1.1545377727790302
23,ABR,2022-07-01,-0.5802478584416254,-0.09246720661339346,-0.280963453884243,-1.1135237492431056
24,ABR,2022-10-01,-0.5802706596702369,-0.0924672055233231,-0.28781505678435765,-1.1040574897322324
25,ABR,2023-01-01,-0.580253690812709,-0.09246720568481501,-0.31546176869381165,-1.1303157358270697
26,ABR,2023-04-01,-0.5802835195317521,-0.09246719292695445,-0.2965432048826715,-1.0659866874584691
27,ABR,2023-07-01,-0.5801596862198604,-0.09246721230598313,-0.3192157097894256,-1.0932627187791641
28,ABR,2023-10-01,-0.5802143975491345,-0.09246722389302738,-0.3145092608324266,-1.0849697972274874
29,ABR,2024-01-01,-0.5802140602152213,-0.09246721432463197,-0.31105177189745886,-1.067877263339692
30,ABR,2024-04-01,-0.5801980717979313,-0.09246721626253483,-0.3198306028346988,-1.158672280664127
31,ABR,2024-07-01,-0.5801639828373173,-0.092467217675589,-0.33212481677947453,-1.1703820060594303
32,ABR,2024-10-01,-0.5801164790719224,-0.0924672146072428,-0.3195782970810964,-1.137772893501022
33,ABS,2023-07-01,-0.27843142741688764,-0.09246722332780571,-0.17163400093120704,-0.1928976461819544
34,ABS,2023-10-01,-0.3511307425719575,-0.09246722603279513,-0.16713406199376882,-0.19018591244641617
35,ABS,2024-01-01,-0.3439810008259313,-0.09246722219736236,-0.16137332068305713,-0.19010961151475614
36,ABS,2024-04-01,-0.3682769456375122,-0.09246722159176772,-0.1418470677195571,-0.16243597277520272
37,ABS,2024-07-01,-0.39878549726851853,-0.09246722381228142,-0.3538290913681859,-0.4821340655886938
38,ABS,2024-10-01,-0.41476449013769456,-0.09246722623466001,-0.3522776178053039,-0.4822218257414951
39,ABT,2006-01-01,-0.580148730993884,-0.09246711589531538,-0.19282559544381273,-1.8318829221353095
40,ABT,2006-04-01,-0.5801530228444799,-0.09246715441113491,-0.19282559544381273,-1.8318829221353095
41,ABT,2006-10-01,-0.5800805570402224,-0.09246717302307705,-0.19282559544381273,-1.8318829221353095
42,ABT,2007-01-01,-0.5800075408813558,-0.09246713483024134,-0.24766876953122985,-1.0367195887905671
43,ABT,2007-07-01,-0.580001847629456,-0.09246715223099419,-0.24766876953122985,-1.0367195887905671
44,ABT,2007-10-01,-0.5799658801377351,-0.09246715525896743,-0.24766876953122985,-1.0367195887905671
45,ABT,2008-01-01,-0.5799572698407638,-0.09246715267509693,-0.34274697424563494,-1.083032154049245
46,ABT,2008-04-01,-0.57998047853871,-0.09246716611929809,-0.34274697424563494,-1.083032154049245
47,ABT,2008-07-01,-0.5799220713332783,-0.09246716026521651,-0.34274697424563494,-1.083032154049245
48,ABT,2008-10-01,-0.579967907653937,-0.09246718533683487,-0.34274697424563494,-1.083032154049245
49,ABT,2009-01-01,-0.5799989671788999,-0.09246717370941766,-0.31502425765132963,-0.8752410565779661
50,ABT,2009-04-01,-0.5800798737101924,-0.09246713890791196,-0.31502425765132963,-0.8752410565779661
51,ABT,2009-07-01,-0.5800591791029497,-0.09246706647879221,-0.31502425765132963,-0.8752410565779661
52,ABT,2010-01-01,-0.5799314111250328,-0.0924671443178908,-0.2749260540315486,-0.8033224969854922
53,ABT,2010-04-01,-0.5799952153991387,-0.09246708400066399,-0.2749260540315486,-0.8033224969854922
54,ABT,2010-07-01,-0.5799800209754656,-0.092467167976455,-0.2749260540315486,-0.8033224969854922
55,ABT,2010-10-01,-0.5799776661274507,-0.0924671777467153,-0.2749260540315486,-0.8033224969854922
56,ABT,2011-01-01,-0.5800035666930384,-0.09246713483024134,-0.3151714248852803,-0.9484447929110261
57,ABT,2011-04-01,-0.5799320634292748,-0.09246714645765855,-0.3151714248852803,-0.9484447929110261
58,ABT,2011-07-01,-0.5799347674940701,-0.09246716333356271,-0.3151714248852803,-0.9484447929110261
59,ABT,2011-10-01,-0.5798925279719175,-0.09246713745448482,-0.3151714248852803,-0.9484447929110261
60,ABT,2012-01-01,-0.5798383695928337,-0.09246712469662426,-0.2786229990205214,-0.9002210491065953
61,ABT,2012-04-01,-0.5797610108197627,-0.09246714645765855,-0.2786229990205214,-0.9002210491065953
62,ABT,2012-07-01,-0.5796819452373708,-0.09246714439863676,-0.2786229990205214,-0.9002210491065953
63,ABT,2012-10-01,-0.5796806852079504,-0.0924671701969687,-0.2786229990205214,-0.9002210491065953
