quarter,P,EPS,D/E,P/E,SIZE
2005Q1,4.717364021989166,,,,
2005Q2,5.169940240681171,,,,
2005Q3,5.68375488370657,,,,
2005Q4,5.491800262814476,,,,
2006Q1,5.527600288391113,,,,
2006Q2,5.3089260752238925,,,,
2006Q3,5.529871168590727,,,,
2006Q4,6.2484387367490735,,,,
2007Q1,7.064572834577716,,,,
2007Q2,6.735288150726803,,,,
2007Q3,4.98220325651623,,,,
2007Q4,4.428648114204407,,,,
2008Q1,4.091926484811501,,,,
2008Q2,3.9083887711167336,,,,
2008Q3,2.6827962175011635,,,,
2008Q4,1.166084230877459,,,,
2009Q1,0.475598578570319,,,,
2009Q2,0.5452939082705786,,,,
2009Q3,0.6030868734233081,,,,
2009Q4,0.6284432541579008,,,,
2010Q1,0.7533030216811133,,,,
2010Q2,1.2713310179256259,,,,
2010Q3,1.5717209354043007,,,,
2010Q4,1.635253319516778,,,,
2011Q1,1.8350274928154484,,,,
2011Q2,1.5159927398439437,,,,
2011Q3,1.2518907133489847,,,,
2011Q4,1.0510876632872082,,,,
2012Q1,1.415507883794846,,,,
2012Q2,1.7081399474825179,,,,
2012Q3,1.7322297758526273,,,,
2012Q4,1.7312127101805903,,,,
2013Q1,2.3871863106886546,,,,
2013Q2,2.33005546964705,,,,
2013Q3,2.3430173248052597,,,,
2013Q4,2.247422233223915,,,,
2014Q1,2.351402157642802,,,,
2014Q2,2.4755404714554077,,,,
2014Q3,2.471716273576021,,,,
2014Q4,2.438067451119423,,,,
2015Q1,2.606349096923578,,,,
2015Q2,2.620522525575426,,,,
2015Q3,2.530580848455429,,,,
2015Q4,2.6337918303906918,,,,
2016Q1,2.6436314543739696,,,,
2016Q2,2.823027055710554,,,,
2016Q3,3.126081135123968,,,,
2016Q4,3.1760692974877736,,,,
2017Q1,3.336361204424212,,,,
2017Q2,3.795554970938062,,,,
2017Q3,3.7568393661862327,,,,
2017Q4,4.004885120997353,,,,
2018Q1,4.082174402768494,,,,
2018Q2,4.609501875936985,,,,
2018Q3,5.84384338439457,,,,
2018Q4,6.023618198576427,,,,
2019Q1,6.430675733284872,,,,
2019Q2,7.033360670483302,,,,
2019Q3,6.928912870585918,,,,
2019Q4,8.052531562745571,715.0,0.22068550757063193,0.011262281905937862,26.277904277297388
2020Q1,7.039057550891753,,,,
2020Q2,4.507149514697847,266.0,0.22078322985847793,0.01694417110788664,26.35079454344677
2020Q3,6.437573000788689,,,,
2020Q4,8.173790648579597,,,,
2021Q1,9.91735008114674,201.0,0.24365335727508172,0.0493400501549589,26.423842047908238
2021Q2,11.539511862255278,229.0,0.21089280947019695,0.050390881494564534,26.416022034275812
2021Q3,12.096951991319656,229.0,0.25945826689142065,0.0528251178660247,26.474054186960824
2021Q4,12.782439455389977,291.0,0.23420647807726375,0.043925908781408854,26.47683784040907
2022Q1,12.160662512625418,289.0,0.2629190099017852,0.04207841699870387,26.523307772303284
2022Q2,11.385374330705211,285.0,0.28992013348793916,0.039948681862123546,26.566055504678335
2022Q3,10.713646903634071,429.0,0.33441680079044883,0.024973535905906927,26.631140662178737
2022Q4,10.141957131643144,456.0,0.31124073341416064,0.02224113406062093,26.64616267021619
2023Q1,10.567413253168906,452.0,0.21772362985644947,0.023379232860993155,26.604493457214698
2023Q2,9.819524888069399,768.0,0.2817171093300271,0.01278583969800703,26.70657722964083
2023Q3,12.9243680106269,288.0,0.20502563888602857,0.044876277814676735,26.66329289317629
2023Q4,11.552603888133216,1.0,0.22094556006661012,11.552603888133216,26.6764529311047
2024Q1,11.561061780960834,238.0,0.2326407790799948,0.048575889835969895,26.703577074611218
2024Q2,11.961935558016338,190.0,0.20294571644244636,0.06295755556850705,26.55949445375748
2024Q3,12.816639944911003,155.0,0.16135960369241253,0.08268799964458712,26.540912289513773
2024Q4,14.007690535651314,231.0,0.20379915982352947,0.0606393529681875,26.592659693056206
