quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,,,
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,,,,
2016Q2,,,,,
2016Q3,,,,,
2016Q4,,,,,
2017Q1,,,,,
2017Q2,,,,,
2017Q3,,,,,
2017Q4,,,,,
2018Q1,,,,,
2018Q2,,,,,
2018Q3,22.18695640563965,,,,
2018Q4,20.494444468664746,,,,
2019Q1,22.024590257738456,,0.8501255487669094,,27.258008715974995
2019Q2,19.14489360565835,,0.9430438140085385,,27.34307727282582
2019Q3,,,0.7710477542957358,,27.253711988608632
2019Q4,,,0.5802593662300551,,27.15416065664279
2020Q1,,,0.5295734885613007,,27.15226825389578
2020Q2,,,0.6482742998884535,,27.208110140035462
2020Q3,,,0.39759238443302924,,27.04909741689009
2020Q4,,,1.6737866587138743,,27.788552979547358
2021Q1,,,0.7976365529530307,,28.118242361573934
2021Q2,,,0.8009267469890093,,28.124465370855408
2021Q3,,,0.8805476898901072,,28.171825394880837
2021Q4,,,0.7191449579804439,,28.096695570130983
2022Q1,,,0.8987889473097114,,28.199585837875897
2022Q2,,,0.7788512709404939,,28.139727847611404
2022Q3,,,0.784431460338678,,28.14890947939904
2022Q4,,,0.6719173033327953,,28.21858972734262
2023Q1,,,0.8375684969787767,,28.106431437535175
2023Q2,,,0.7945661986338647,,28.14147968004939
2023Q3,7578.085106382979,15.0,0.704231981966505,505.20567375886526,28.092082304839955
2023Q4,5755.3125,-52.0,0.7194533673158378,-110.67908653846153,28.09638555533968
2024Q1,5934.576271186441,43.0,0.7389395124851947,138.01340165549863,28.096506637294738
2024Q2,5325.4098360655735,58.0,0.8049885466872427,91.81741096664781,28.14042193700669
2024Q3,4560.476190476191,3.0,0.08794324586276982,1520.1587301587304,27.633093005839534
2024Q4,4159.8387096774195,-57.0,0.09319122306607242,-72.97962648556876,27.632953739245455
