quarter,P,EPS,D/E,P/E,SIZE
2005Q1,2.113906240854107,,,,
2005Q2,2.193958256393671,,,,
2005Q3,2.3337516114115715,,,,
2005Q4,2.2588774893018932,,,,
2006Q1,2.7045570688862957,,,,
2006Q2,3.014537360933092,,,,
2006Q3,3.140699269279601,,,,
2006Q4,3.635580823535011,,,,
2007Q1,3.596298080975892,,,,
2007Q2,3.8630868593851724,,,,
2007Q3,3.9870625374809143,,,,
2007Q4,4.738575741648674,,,,
2008Q1,4.211854301515173,,,,
2008Q2,5.042899653315544,,,,
2008Q3,5.143541261553764,,,,
2008Q4,2.7751506753265858,,,,
2009Q1,2.911440935291228,,,,
2009Q2,3.5483864867498003,,,,
2009Q3,3.824236460030079,,,,
2009Q4,4.638723731040955,,,,
2010Q1,4.685187457037753,,,,
2010Q2,4.763527014898876,,,,
2010Q3,4.8570618480443954,,,,
2010Q4,5.6447778865695,,,,
2011Q1,6.130114924523138,,,,
2011Q2,5.877787764110263,,,,
2011Q3,5.135693721473217,,,,
2011Q4,4.936461486513653,,,,
2012Q1,6.042420033485659,,,,
2012Q2,6.1614929683624755,,,,
2012Q3,6.5916681668115045,,,,
2012Q4,6.801182370032033,,,,
2013Q1,7.806293630599976,,,,
2013Q2,8.54470731317997,,,,
2013Q3,8.728044182062149,,,,
2013Q4,9.265403300523758,,,,
2014Q1,10.004966313721704,,,,
2014Q2,10.72545337677002,,,,
2014Q3,11.312703251838684,,,,
2014Q4,11.572119653224945,,,,
2015Q1,12.689283996331888,,,,
2015Q2,13.047904559544154,,,,
2015Q3,12.223320052027702,,,,
2015Q4,12.199629202485085,,,,
2016Q1,11.882691164485744,,,,
2016Q2,13.195095852017403,,,,
2016Q3,13.9734555631876,,,,
2016Q4,15.349906482393779,,,,
2017Q1,15.983173493416079,,,,
2017Q2,16.89946969350179,,,,
2017Q3,18.22343587118482,,,,
2017Q4,20.452516162206255,,,,
2018Q1,20.97686923918177,,,,
2018Q2,20.32147455215454,,,,
2018Q3,21.762190743098184,,,,
2018Q4,20.15317005581326,,,,
2019Q1,21.037002063188396,,,,
2019Q2,22.697463171822683,,,,
2019Q3,21.790180146694183,,,,
2019Q4,24.199675768613815,,,,
2020Q1,22.652082843165243,,1.3391015923440395,,29.885620569600075
2020Q2,21.278940443008665,,1.343768170990629,,29.88808868430276
2020Q3,25.186165004968643,,1.2330562442977646,,29.899854123485415
2020Q4,29.441071569919586,,1.3744972913449671,,29.97638987364268
2021Q1,31.185313709446643,,1.5041814303319945,,30.045931470209933
2021Q2,32.48048503815182,,1.1352917773098494,,30.09455072559145
2021Q3,35.4028559923172,,1.1018908432815344,,30.12095084728625
2021Q4,39.11883848905563,,1.070002025839329,,30.141447095082498
2022Q1,37.507508800875755,,1.1695332737977402,,30.172065335437065
2022Q2,33.764899653773156,,1.1438865478553326,,30.203628494549
2022Q3,35.384804487228394,,1.0073336339373267,,30.201410730670723
2022Q4,36.96635546003069,,1.0048113236964304,,30.16018155272112
2023Q1,38.68314263128465,,1.0352786798287221,,30.14540328826414
2023Q2,38.15558599656628,,1.0274251699872337,,30.141247006612357
2023Q3,3951.4406401547517,,1.0319115826441858,,30.156169377555354
2023Q4,3822.9715209119904,,1.168421160802197,,30.142538709183025
2024Q1,4016.435586388906,,1.1503371894993946,,30.157298063006802
2024Q2,4528.7936950499015,,1.1708403490886141,,30.18304985984886
2024Q3,4060.7879614041544,,1.1807297720627605,,30.182764100860904
2024Q4,3264.4884543762205,,1.2683252187595775,,30.22810431661587
