quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,1.375648608043329,,27.094742945282587
2007Q2,,,1.375648608043329,,27.094742945282587
2007Q3,,,1.375648608043329,,27.094742945282587
2007Q4,,,1.375648608043329,,27.094742945282587
2008Q1,,,1.34216974416631,,27.06279043919262
2008Q2,,,1.34216974416631,,27.06279043919262
2008Q3,,,1.34216974416631,,27.06279043919262
2008Q4,,,1.34216974416631,,27.06279043919262
2009Q1,,,2.617263968161488,,27.61657875488366
2009Q2,,,2.617263968161488,,27.61657875488366
2009Q3,,,2.617263968161488,,27.61657875488366
2009Q4,,,2.617263968161488,,27.61657875488366
2010Q1,,,3.33200991196353,,27.713043138259646
2010Q2,,,3.33200991196353,,27.713043138259646
2010Q3,,,3.33200991196353,,27.713043138259646
2010Q4,,,3.33200991196353,,27.713043138259646
2011Q1,,,2.992378344797292,,27.566565864465296
2011Q2,,,2.992378344797292,,27.566565864465296
2011Q3,,,2.992378344797292,,27.566565864465296
2011Q4,,,2.992378344797292,,27.566565864465296
2012Q1,,,2.1651644483179013,,27.439993192302726
2012Q2,5230.0,,2.1651644483179013,,27.439993192302726
2012Q3,4604.761904761905,,2.1651644483179013,,27.439993192302726
2012Q4,4141.935483870968,,2.1651644483179013,,27.439993192302726
2013Q1,4956.666666666667,273.0,2.1487913297471968,18.156288156288156,27.427811117524435
2013Q2,4671.875,,2.1487913297471968,,27.427811117524435
2013Q3,5354.6875,,2.1487913297471968,,27.427811117524435
2013Q4,6156.25,,2.1487913297471968,,27.427811117524435
2014Q1,7621.311475409836,,1.3558844955882585,,27.56358127562984
2014Q2,7096.825396825397,,1.3558844955882585,,27.56358127562984
2014Q3,7625.0,,1.3558844955882585,,27.56358127562984
2014Q4,7656.25,,1.3558844955882585,,27.56358127562984
2015Q1,6221.311475409836,,,,
2015Q2,5861.9047619047615,,0.9714683924301155,,27.385404852696787
2015Q3,5406.25,,,,
2015Q4,4685.9375,,,,
2016Q1,3721.311475409836,,1.02122626866604,,27.336847400095163
2016Q2,4520.3125,,1.1087564149099223,,27.37767807068594
2016Q3,4005.625,,1.0343867576548447,,27.332771195812548
2016Q4,3873.0158730158732,,,,
2017Q1,3926.935483870968,,1.6540717806442318,,27.675066274201143
2017Q2,4577.777777777777,,1.5851781939834406,,27.680414538658084
2017Q3,5964.761904761905,,1.6752873657299217,,27.73276558935376
2017Q4,6493.015873015873,,2.177829155426194,,27.929301367991837
2018Q1,7472.786885245901,,2.116877041372934,,27.925155076226925
2018Q2,7346.875,,2.1525465774496375,,28.003794185150962
2018Q3,6856.349206349207,,2.3630049211545976,,28.019829924354088
2018Q4,6428.253968253968,1009.0,2.1742888832072635,6.370915726713546,28.043980982109257
2019Q1,6266.065573770492,,2.3203526722901806,,28.11866733543593
2019Q2,6386.349206349207,,2.1540908645079333,,28.099644923824748
2019Q3,7211.5625,193.0,2.6820994410379746,37.365608808290155,28.235717918579308
2019Q4,7186.393442622951,470.0,2.6905252385018423,15.290198814091385,28.11895756199452
2020Q1,6368.870967741936,-188.0,3.1530259196130226,-33.87697323266987,28.337055259950805
2020Q2,5378.571428571428,319.0,2.4319754039310877,16.860725481415137,28.16544710601043
2020Q3,5573.59375,,2.1053523959505993,,28.07515683174435
2020Q4,5864.53125,697.0,3.1998958858532074,8.41396162123386,28.338812528452326
2021Q1,7120.491803278688,171.0,2.6473931908829775,41.640302943150225,28.259208306943457
2021Q2,7107.627118644068,184.0,2.668976005650768,38.62840825350037,28.23823414460514
2021Q3,8089.53125,46.0,2.6869147287480746,175.859375,28.2563383997226
2021Q4,14103.125,374.0,3.036168286051912,37.70889037433155,28.335077379672423
2022Q1,13141.666666666666,30.0,3.3874367986797376,438.05555555555554,28.401414222486448
2022Q2,,-592.0,3.5038800357330255,,28.34986881962828
2022Q3,,-468.0,3.387153544307492,,28.3296148572311
2022Q4,,1087.0,3.203633013230518,,28.362494511531732
2023Q1,,54.0,3.28500154106443,,28.369378304020337
2023Q2,,31.0,3.322593143199358,,28.377505046367123
2023Q3,6215.31914893617,-430.0,3.54569948164261,-14.454230578921326,28.398438577361013
2023Q4,5316.09375,489.0,3.7298571788163066,10.87135736196319,28.452045545274437
2024Q1,4980.169491525424,-195.0,4.336118664180261,-25.539330725771404,28.28612778192372
2024Q2,4513.770491803279,-506.0,5.345596123493399,-8.920495043089483,28.174541473757834
2024Q3,4327.460317460317,408.0,4.442981669722648,10.60652038593215,28.074648692504887
2024Q4,4019.032258064516,425.0,4.249445210575912,9.456546489563568,28.09344570156259
