quarter,P,EPS,D/E,P/E,SIZE
2005Q1,12.592228029595047,,,,
2005Q2,13.210553124547005,,,,
2005Q3,14.402840822935104,,,,
2005Q4,13.487074746025932,,,,
2006Q1,13.835846762503348,,,,
2006Q2,13.71909180898515,,,,
2006Q3,12.85407873183962,,,,
2006Q4,12.818777417379712,,,,
2007Q1,12.524339425759237,,,,
2007Q2,12.23934026748415,,,,
2007Q3,11.150953777252681,,,,
2007Q4,11.36987653374672,,,,
2008Q1,10.400280233289374,,,,
2008Q2,10.510707929730415,,,,
2008Q3,10.179383307695389,,,,
2008Q4,8.74240741878748,,,,
2009Q1,5.659462115803703,,,,
2009Q2,7.463508204808311,,,,
2009Q3,7.354920849204063,,,,
2009Q4,7.0778777450323105,,,,
2010Q1,7.402460129534612,,,,
2010Q2,8.813493471297006,,,,
2010Q3,9.109320670366287,,,,
2010Q4,9.161421492695808,,,,
2011Q1,10.448272520496,,,,
2011Q2,11.235122983417813,,,,
2011Q3,10.899583384394646,,,,
2011Q4,10.907857183426145,,,,
2012Q1,11.16766131308771,,,,
2012Q2,11.740220478602819,,,,
2012Q3,12.179828991965643,,,,
2012Q4,12.556851540842365,,,,
2013Q1,12.625668239593505,,,,
2013Q2,12.711620882153511,,,,
2013Q3,13.18640586733818,,,,
2013Q4,14.608444422483444,,,,
2014Q1,15.698325845061756,,,,
2014Q2,16.852461285061306,,,,
2014Q3,17.627559155225754,,,,
2014Q4,18.17559966444969,,,,
2015Q1,19.57943847531178,,,,
2015Q2,20.43232908703032,,,,
2015Q3,20.792486786842346,,,,
2015Q4,21.533427596092224,,,,
2016Q1,22.815375500038023,,,,
2016Q2,24.471030801534653,,,,
2016Q3,25.92510488629341,,,,
2016Q4,27.370496537950302,,,,
2017Q1,30.567453784327352,,,,
2017Q2,31.395101910545712,,,,
2017Q3,33.33216972956582,,,,
2017Q4,37.28846147325304,,,,
2018Q1,40.89407598776896,,,,
2018Q2,47.97457659244537,,,,
2018Q3,48.8882567390563,,,,
2018Q4,45.87413339766245,,,,
2019Q1,48.79701007780481,,,,
2019Q2,60.782773941282244,,,,
2019Q3,55.88790553808212,,,,
2019Q4,63.025694370269775,,,,
2020Q1,56.86722484711678,,,,
2020Q2,53.30802917480469,,,,
2020Q3,58.132483661174774,,,,
2020Q4,61.375654220581055,,,,
2021Q1,66.23849080820553,,,,
2021Q2,67.1569579593719,,,,
2021Q3,65.75539189577103,,,,
2021Q4,67.54253733158112,,,,
2022Q1,67.92273810602003,,,,
2022Q2,68.93123540570659,,,,
2022Q3,74.82544755935669,,,,
2022Q4,85.47533477298798,,,,
2023Q1,76.74864713607296,,,,
2023Q2,72.4857311864053,,,,
2023Q3,79.4963140336294,,,,
2023Q4,80.55985938178168,,,,
2024Q1,82.7681125578333,,,,
2024Q2,79.31372336735801,,,,
2024Q3,87.43614399433136,,,,
2024Q4,98.0897715735057,,,,
