quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,,,
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,,,,
2016Q2,,,,,
2016Q3,,,,,
2016Q4,,,,,
2017Q1,,,,,
2017Q2,,,,,
2017Q3,,,0.6913382095893268,,31.732622901005584
2017Q4,,,,,
2018Q1,,,,,
2018Q2,,,0.9603232605005734,,31.73639208820171
2018Q3,,,0.8459883655142895,,31.720160936225486
2018Q4,,,0.6500890258678392,,31.575572262993113
2019Q1,,,0.6418658787662265,,31.591819161735668
2019Q2,,,0.6422129961368462,,31.598425643033323
2019Q3,,,0.5986615157200635,,31.583294475466673
2019Q4,,,0.5749262673990885,,31.609733772233756
2020Q1,,,0.5021961070617351,,31.494457241084227
2020Q2,,,0.5704679101205796,,31.472519690644067
2020Q3,,,0.43673704951520675,,31.388919693716396
2020Q4,,,0.7995942980558622,,31.65498843279205
2021Q1,,,0.7908083877282978,,31.70749020107121
2021Q2,,,0.8462148355193773,,31.78759390647272
2021Q3,,,0.784325518370196,,31.767029347776326
2021Q4,,,0.7784130652112071,,31.832504629894565
2022Q1,,,0.7654193459371088,,31.885184927737907
2022Q2,,,0.6360978645167213,,32.00992545113453
2022Q3,,,0.5022353381634428,,31.938366256845633
2022Q4,,,0.5279625415866939,,31.985112536784854
2023Q1,,,0.3694261424404862,,31.912137811823758
2023Q2,24.795570373535156,,0.45366847825306394,,31.949082386553776
2023Q3,25.419878520662824,,0.6205807013950001,,32.1187315325429
2023Q4,24.68169521150135,,0.513249098020965,,32.09062698439514
2024Q1,26.083645367231526,,0.2919701173127845,,31.94832986839825
2024Q2,26.97766591632177,,0.517740650188653,,32.08819549633658
2024Q3,28.207703948020935,,0.601857529176365,,32.12078868159074
2024Q4,29.6873532249814,,0.5927033918206613,,32.11341797284483
