quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,6850.7568359375,,,,
2011Q2,5314.89624423668,,,,
2011Q3,4259.038505554199,,,,
2011Q4,4377.748299291578,,,,
2012Q1,4079.9331010298297,,,,
2012Q2,4968.664802797379,,,,
2012Q3,4970.2014567057295,,,,
2012Q4,5311.626446418042,,,,
2013Q1,6493.2472265625,,,,
2013Q2,7334.6956163194445,,,,
2013Q3,7886.545520710495,,,,
2013Q4,8077.061193129595,,,,
2014Q1,9098.117630359739,,,,
2014Q2,9132.62411221591,,,,
2014Q3,9307.45349900266,,,,
2014Q4,8722.195763929834,,,,
2015Q1,8962.172075320514,,,,
2015Q2,8223.043437882965,,,,
2015Q3,8397.639047475961,,,,
2015Q4,7784.525923978365,,,,
2016Q1,6387.990585594846,,,,
2016Q2,7084.628142326109,,,,
2016Q3,7036.345497131348,,,,
2016Q4,6139.649068509615,,,,
2017Q1,5275.765779194079,,,,
2017Q2,7535.575077179939,,,,
2017Q3,12729.350021362305,,,,
2017Q4,10129.264701021635,,,,
2018Q1,8284.425267269737,,,,
2018Q2,6959.013774256552,,,,
2018Q3,7116.559337439904,,,,
2018Q4,11806.709518432617,,,,
2019Q1,8811.062359308793,,,,
2019Q2,7396.095302894467,,,,
2019Q3,7427.881708233173,,,,
2019Q4,6857.108631310096,,,,
2020Q1,5567.133817545573,,,,
2020Q2,5731.515018586189,,,,
2020Q3,5505.956482872596,,,,
2020Q4,5429.024181189904,,,,
2021Q1,7848.346787274894,,,,
2021Q2,7924.263719128025,,,,
2021Q3,8074.898132324219,,,,
2021Q4,14153.846198918269,,,,
2022Q1,16607.60136387712,,,,
2022Q2,12548.875819052419,,,,
2022Q3,10009.018771701389,,,,
2022Q4,6150.466195913462,,,,
2023Q1,5874.679000595868,,,,
2023Q2,6290.127102759577,,,,
2023Q3,7016.4502185639885,,,,
2023Q4,6469.174834735577,,,,
2024Q1,6819.4915254237285,,,,
2024Q2,5902.950819672131,,,,
2024Q3,5988.730158730159,,,,
2024Q4,6085.645161290323,,,,
