quarter,P,EPS,D/E,P/E,SIZE
2005Q1,10.784298990593582,,,,
2005Q2,9.681020811200142,,,,
2005Q3,10.252945616841316,,,,
2005Q4,10.031332591223338,,,,
2006Q1,10.62917495542957,,,,
2006Q2,11.648385108463348,,,,
2006Q3,12.078706120687817,,,,
2006Q4,12.659202923850408,,,,
2007Q1,12.347696179249247,,,,
2007Q2,11.14744790395101,,,,
2007Q3,11.110099202110653,,,,
2007Q4,9.95877006649971,,,,
2008Q1,8.496392078086979,,,,
2008Q2,9.342737808823586,,,,
2008Q3,10.643379628658295,,,,
2008Q4,6.3993771485984325,,,,
2009Q1,3.7387468853934864,,,,
2009Q2,4.887392808520604,,,,
2009Q3,7.653215557336807,,,,
2009Q4,8.13377495110035,,,,
2010Q1,7.69955710895726,,,,
2010Q2,9.178212362622459,,,,
2010Q3,8.279304310679436,,,,
2010Q4,9.368832856416702,,,,
2011Q1,10.232486340307421,,,,
2011Q2,9.003059447757781,,,,
2011Q3,8.42732360213995,,,,
2011Q4,8.214101844363743,,,,
2012Q1,9.186195958045221,,,,
2012Q2,9.071964400155204,,,,
2012Q3,8.872885582939027,,,,
2012Q4,8.230247766740861,,,,
2013Q1,9.5463272412618,,,,
2013Q2,10.501434579491615,,,,
2013Q3,13.49043969810009,,,,
2013Q4,16.668152272701263,,,,
2014Q1,18.635963439941406,,,,
2014Q2,17.245861477322048,,,,
2014Q3,16.669622480869293,,,,
2014Q4,16.40853603184223,,,,
2015Q1,16.014816299813692,,,,
2015Q2,17.450865003797745,,,,
2015Q3,17.740408807992935,,,,
2015Q4,17.733524441719055,,0.33202854597691134,,27.912785966100014
2016Q1,14.24344955506872,,,,
2016Q2,16.46732074022293,,,,
2016Q3,18.05554074048996,,0.8742668952232117,,28.29530140307282
2016Q4,19.602030890328543,,0.3280282939092077,,27.982134538236163
2017Q1,21.22331739241077,,0.13010055278198307,,27.849167023800696
2017Q2,20.361048986041357,,0.1690212979881816,,27.909271570172493
2017Q3,21.581581569853284,,0.5087768816844501,,28.1695129910258
2017Q4,25.398718818785653,,0.5699845285583088,,28.239836877927406
2018Q1,26.007569547559395,,0.9505193436793402,,28.491782528855023
2018Q2,30.648355573415756,,0.8727331497359515,,28.463572144320672
2018Q3,34.96617441328745,,0.8009949861523747,,28.491717235998493
2018Q4,27.51361647106352,,0.9595307516344885,,28.577461683116777
2019Q1,28.504983026473248,,0.8601614621471999,,28.559945162372646
2019Q2,28.01386869521368,,0.8177071948856536,,28.540741820361035
2019Q3,29.034324645996094,,1.0893603906511922,,28.603696922248368
2019Q4,28.26014217734337,,1.1323400762407982,,28.660587999586987
2020Q1,26.587889302161432,,0.7049340340580681,,28.36427589989217
2020Q2,20.96473273019942,,1.016840028574236,,28.60964401422882
2020Q3,20.473416298627853,,1.2510430372701544,,28.73200316117091
2020Q4,29.073597371578217,,1.9731376646173286,,29.083502578374375
2021Q1,32.37346836777984,,2.3450345196568043,,29.228738953816507
2021Q2,33.91690323844789,,2.232083844276265,,29.269144021759953
2021Q3,33.74444031715393,,2.401819373228932,,29.339003202257196
2021Q4,34.5357805788517,,2.690061899138427,,29.530989998847968
2022Q1,34.54444319202054,,3.1773771512339506,,29.676988012639892
2022Q2,35.8514227713308,,2.3745277765028456,,29.46139592921355
2022Q3,39.75321972370148,,2.0507294909110794,,29.366780000773364
2022Q4,40.779729328458274,,1.7163439129249676,,29.247825908146318
2023Q1,44.3964595179404,,,,
2023Q2,43.64012053705031,,,,
2023Q3,11730.87609395114,,,,
2023Q4,13101.77603927372,,,,
2024Q1,15951.792007350921,,,,
2024Q2,19901.23796241514,,,,
2024Q3,19102.352703094482,,,,
2024Q4,18361.550397827148,,,,
