quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,,,
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,,,,
2016Q2,,,0.9008098825935388,,27.24978727213625
2016Q3,,,0.8735347187568864,,27.255455320771866
2016Q4,8238.620689655172,,0.9069506675022095,,27.303097373051184
2017Q1,7219.354838709677,,0.9164258829800529,,27.318406479159684
2017Q2,6865.238095238095,,0.8229004565111474,,27.3063914077181
2017Q3,5898.253968253968,,,,
2017Q4,4770.6349206349205,,0.9213742999963479,,27.29794242283774
2018Q1,4583.770491803279,,0.9389960927499453,,27.31376482868697
2018Q2,5049.84375,,1.059492199035349,,27.31877926988547
2018Q3,6067.142857142857,,1.1873341227760457,,27.384554666993044
2018Q4,6097.3015873015875,,1.007769669311838,,27.311545551955977
2019Q1,6451.147540983607,,1.0150053682786673,,27.328417330720008
2019Q2,8219.52380952381,,0.9853845919956459,,27.339819874796166
2019Q3,11595.15625,,1.0601530126370953,,27.359268822948973
2019Q4,9909.016393442624,,0.7231519372280453,,27.182001626160854
2020Q1,8593.064516129032,,0.700739056466016,,27.145218165501277
2020Q2,11553.968253968254,,0.6695312837076408,,27.136200595703162
2020Q3,6873.125,,0.8176793748801324,,27.196059695315846
2020Q4,4330.625,,0.8724604976031356,,27.14337267918273
2021Q1,4555.245901639344,,0.8832657097140648,,27.13325351460805
2021Q2,9044.237288135593,,1.1749332642879189,,27.2985646384276
2021Q3,10413.125,,1.2871126838705147,,27.379319406719922
2021Q4,10116.09375,,0.3032857534479831,,27.750426727722676
2022Q1,11378.055555555555,,0.30287946037690666,,27.769891683507208
2022Q2,,,0.2544246614205521,,27.758899450226792
2022Q3,,,0.2440279336737898,,27.75527559406081
2022Q4,,,0.27358626671535796,,27.78138499063685
2023Q1,,,0.2678548549515232,,27.77574052754082
2023Q2,,,0.25523044778640136,,27.76628076360946
2023Q3,4964.255319148936,,0.24571979200586958,,27.759355004368135
2023Q4,4252.03125,,0.24708087654250824,,27.761245966588778
2024Q1,4272.033898305085,,0.21292230505373438,,27.743085204252775
2024Q2,3975.0819672131147,,0.20568817413144833,,27.737173098151263
2024Q3,3452.8571428571427,,0.1929066495566556,,27.726645329379146
2024Q4,3135.6451612903224,,0.17886036941728325,,27.716374538528303
