quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,,,
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,,0.859487205777582,,27.715049635994546
2016Q2,,,,,
2016Q3,,,,,
2016Q4,,,0.8895944556840093,,27.96967210975858
2017Q1,,,0.762585887918509,,27.960107068402372
2017Q2,,,0.678488585734768,,27.984266033762633
2017Q3,,,0.5865199431605806,,27.977683075418227
2017Q4,,,0.8527055688487601,,28.064958826328077
2018Q1,,,0.7890382504505911,,28.07438447335787
2018Q2,24821.360262784092,,0.5090521963309337,,27.95005747592809
2018Q3,22229.585877403846,,0.46553489464626696,,27.96959176307345
2018Q4,21917.395141601562,,0.61043504151071,,27.99172654058599
2019Q1,23107.73967161017,,0.543664465276883,,27.986954231946275
2019Q2,23843.173283811477,,0.506868442486209,,28.001350646445534
2019Q3,26144.37863581731,,0.554365386342233,,28.064036668975906
2019Q4,31667.778275240384,,0.7745431978265679,,28.134649242252323
2020Q1,28337.5291015625,,0.6233537274470271,,28.0900730826886
2020Q2,27877.283959173386,,0.47030869167334494,,28.02787019569647
2020Q3,26052.716376201923,,0.36307867901143964,,27.999002688479408
2020Q4,25562.130048076924,,0.4771715041895762,,28.012375046510574
2021Q1,26896.764168432204,,0.47217506770840495,,28.042728516993595
2021Q2,26001.89478326613,,0.3713978994129518,,28.028625796593246
2021Q3,28130.288452148438,,0.45101362901734077,,28.118282543533564
2021Q4,31718.34317908654,,0.3685470586531255,,28.07152797270193
2022Q1,32674.315711069914,,0.3412939057891279,,28.111536853270987
2022Q2,35003.57302167339,,0.34755709777160104,,28.158633215150857
2022Q3,33415.87301587302,,0.32900249161612477,,28.188501239905456
2022Q4,30499.04761904762,,0.399032290728832,,28.27091991658141
2023Q1,32378.98305084746,,0.3983208856088649,,28.31779185532822
2023Q2,35825.16129032258,,0.3930829156905648,,28.256245430553335
2023Q3,27227.269896930025,,0.3333679865038297,,28.263226705591574
2023Q4,23309.346406266093,,0.3884224142839481,,28.318984536387838
2024Q1,21670.400247936406,,0.3341935934499054,,28.319536115055445
2024Q2,20885.16919357546,,0.3023258417699254,,28.345796894381785
2024Q3,20755.880078713726,,0.3040942703276232,,28.38938836193041
2024Q4,25855.115119995116,,0.3630431034459502,,28.448245496807086
