quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,1445.0,1.0184669356147356,,27.03574624604337
2008Q2,,1604.0,1.0184669356147356,,27.03574624604337
2008Q3,,1676.0,1.0184669356147356,,27.03574624604337
2008Q4,,1326.0,1.0184669356147356,,27.03574624604337
2009Q1,,1416.0,1.1324818055580674,,27.18585812539151
2009Q2,,,1.1324818055580674,,27.18585812539151
2009Q3,,1465.0,1.1324818055580674,,27.18585812539151
2009Q4,,1437.0,1.1324818055580674,,27.18585812539151
2010Q1,13242.73654715504,1432.0,1.8310586612299726,9.24772105248257,27.39802480586493
2010Q2,13031.262359252052,,1.8310586612299726,,27.39802480586493
2010Q3,12237.050671387464,1486.0,1.8310586612299726,8.234892780206907,27.39802480586493
2010Q4,9669.8585015852,1401.0,1.8310586612299726,6.902111707055818,27.39802480586493
2011Q1,6699.92129063414,1502.0,2.6681847978520223,4.460666638238442,27.458774324528235
2011Q2,4898.013055555404,1186.0,2.6681847978520223,4.1298592373991605,27.458774324528235
2011Q3,4066.5204501473713,885.0,2.6681847978520223,4.594938361748442,27.458774324528235
2011Q4,1453.8381268230535,1364.0,2.6681847978520223,1.0658637293424145,27.458774324528235
2012Q1,69.1475793738519,316.0,1.6669910749263728,0.2188214537147212,27.224403645058388
2012Q2,2746.2039715070573,,1.6669910749263728,,27.224403645058388
2012Q3,2842.5155668712796,750.0,1.6669910749263728,3.790020755828373,27.224403645058388
2012Q4,2246.360804403982,1041.0,1.6669910749263728,2.1578874201767357,27.224403645058388
2013Q1,3123.3490234375,393.0,1.1847354336873162,7.947452985846056,27.13945772005588
2013Q2,3830.9262466430664,,1.1847354336873162,,27.13945772005588
2013Q3,5041.983299255371,873.0,1.1847354336873162,5.775467696741548,27.13945772005588
2013Q4,6451.629234313965,911.0,1.1847354336873162,7.081920125481849,27.13945772005588
2014Q1,7959.771828573258,1165.0,0.94145471142004,6.832422170449148,27.109056593315383
2014Q2,7492.254293774801,,0.94145471142004,,27.109056593315383
2014Q3,8315.366844177246,1061.0,0.94145471142004,7.837292030327282,27.109056593315383
2014Q4,11656.052688598633,503.0,0.94145471142004,23.173066975345193,27.109056593315383
2015Q1,12791.603339523566,,,,
2015Q2,11190.692212301587,,0.8087101548898922,,27.13188685251422
2015Q3,9801.493637084961,,,,
2015Q4,8308.036224365234,,,,
2016Q1,10877.048972207991,1013.0,0.32909837987978086,10.73746196664165,27.382575286513305
2016Q2,15511.714958190918,515.0,0.3683166820541933,30.11983487027363,27.44634027258311
2016Q3,21464.618713378906,237.0,0.27690332361359526,90.56801144885614,27.398920248624957
2016Q4,21463.492063492064,634.0,0.28743755342672694,33.85408842822092,27.463066482981745
2017Q1,25443.548387096773,360.0,0.6441130395412071,70.67652329749103,27.744592579112616
2017Q2,20956.349206349205,466.0,0.6343863381271782,44.97070645139314,27.838749725616847
2017Q3,23200.0,267.0,0.32655447794188586,86.89138576779027,27.650592495403718
2017Q4,22716.666666666668,327.0,0.5423137344995115,69.46992864424057,27.830818708195647
2018Q1,21359.016393442624,124.0,1.014969505169132,172.25013220518244,28.19948585609473
2018Q2,17154.6875,36.0,1.2383614777778347,476.51909722222223,28.21624700782787
2018Q3,13961.904761904761,-46.0,1.2050927998370424,-303.51966873706004,28.19820087667618
2018Q4,10680.952380952382,106.0,1.149884297550548,100.76370170709794,28.179679447935488
2019Q1,12896.22950819672,-35.0,1.0615166675594405,-368.463700234192,28.134363707422455
2019Q2,19169.84126984127,-35.0,1.058808771521377,-547.7097505668934,28.129954918790155
2019Q3,17366.40625,102.0,1.070891502243935,170.25888480392157,28.14261800877566
2019Q4,20936.885245901638,1525.0,0.9362595157248657,13.729105079279762,28.168958730065484
2020Q1,22700.8064516129,125.0,0.8396807899344957,181.60645161290321,28.147585154761995
2020Q2,21069.84126984127,,0.9624631090313891,,28.127078230909653
2020Q3,20237.5,273.0,0.8635628662886264,74.13003663003663,28.196984391417683
2020Q4,19997.65625,445.0,0.8541867163805696,44.938553370786515,28.2190338409416
2021Q1,28099.180327868853,203.0,0.8466828091544402,138.41960752644755,28.2272995388834
2021Q2,36405.93220338983,567.0,0.9331576901280172,64.2079933040385,28.273145360332443
2021Q3,41631.25,291.0,0.659769390015103,143.0627147766323,28.133254406977105
2021Q4,39273.4375,412.0,0.7432515710274267,95.32387742718447,28.208211879863715
2022Q1,38654.166666666664,212.0,0.37770998273433476,182.3309748427673,28.280991262694098
2022Q2,,357.0,0.44797932997817486,,28.34788649754728
2022Q3,,405.0,0.4808242195651974,,28.39100678030659
2022Q4,,600.0,0.512816977608471,,28.375489962037502
2023Q1,,200.0,0.47704695471662256,,28.362051984268685
2023Q2,,242.0,0.5049586702525639,,28.39125715599331
2023Q3,23556.382978723403,8.0,0.4879497595854826,2944.5478723404253,28.38038175776545
2023Q4,22856.25,395.0,0.5697951864538804,57.86392405063291,28.454081765018483
2024Q1,24557.627118644068,303.0,0.6307568634701444,81.04827431895733,28.512295296128528
2024Q2,28197.54098360656,152.0,0.6295574627723135,185.51013805004314,28.51292616174281
2024Q3,26897.619047619046,19.0,0.6150704139720983,1415.6641604010024,28.50505043324431
2024Q4,26576.612903225807,259.0,0.6126643441733421,102.61240503175988,28.516500310920375
