quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,15802.801294700386,,,,
2012Q4,17554.516686817955,,,,
2013Q1,14856.670570181197,,,,
2013Q2,10346.7114296875,,,,
2013Q3,7615.077095445737,,,,
2013Q4,7278.127880480863,,,,
2014Q1,8067.047408798993,,,,
2014Q2,6530.065669890373,,,,
2014Q3,6518.359561920166,,,,
2014Q4,5666.620707667151,,,,
2015Q1,4236.568102820445,,,,
2015Q2,3172.5000433152723,,,,
2015Q3,2660.8843019470687,,,,
2015Q4,3756.8909050993216,,,,
2016Q1,6901.352627840909,,,,
2016Q2,10355.357607886905,,,,
2016Q3,12409.857688903809,,,,
2016Q4,12171.619857788086,,,,
2017Q1,5030.560603841146,,,,
2017Q2,7742.02180859375,,,,
2017Q3,5033.0279204601375,,,,
2017Q4,3914.431806564331,,,,
2018Q1,3096.902933411679,,,,
2018Q2,2680.079363141741,,,,
2018Q3,2854.8721475601196,,,,
2018Q4,4959.813887949065,,,,
2019Q1,4796.212141927083,,,,
2019Q2,4540.219951014365,,,,
2019Q3,4295.181061039126,,,,
2019Q4,3622.615496525999,,,,
2020Q1,3849.2440146998356,,,,
2020Q2,6642.741826171875,,,,
2020Q3,7618.636354608051,,,,
2020Q4,8308.787873970447,,,,
2021Q1,9484.151529947916,,,,
2021Q2,9767.272719201963,,,,
2021Q3,10995.099426269531,,,,
2021Q4,12406.941519803779,,,,
2022Q1,11140.430643503289,,,,
2022Q2,9779.3255890877,,,,
2022Q3,9549.206380208334,,,,
2022Q4,9321.678380408654,,,,
2023Q1,10083.050897113348,,,,
2023Q2,8360.117321383568,,,,
2023Q3,7315.295789930556,,,,
2023Q4,7008.391579026443,,,,
2024Q1,8017.727237955729,,,,
2024Q2,8722.503722143954,,,,
2024Q3,8129.403373718262,,,,
2024Q4,8066.22159576416,,,,
