quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,5.734118328094483,,,,
2005Q3,6.027142561972141,,,,
2005Q4,5.924588649991959,,,,
2006Q1,6.6490032134517545,,,,
2006Q2,7.762386458260672,,,,
2006Q3,8.72945467631022,,,,
2006Q4,9.325435835217673,,,,
2007Q1,10.128458101241314,,,,
2007Q2,10.59586369045197,,,,
2007Q3,10.062731258452885,,,,
2007Q4,9.940227434039116,,,,
2008Q1,7.711119495454382,,,,
2008Q2,7.69783303886652,,,,
2008Q3,5.69762010872364,,,,
2008Q4,2.821742996573448,,,,
2009Q1,2.4274414230565555,,,,
2009Q2,3.801352958830576,,,,
2009Q3,4.268346603959799,,,,
2009Q4,5.182809337973595,,,,
2010Q1,5.762587172086121,,,,
2010Q2,6.337078548613048,,,,
2010Q3,5.927623458206654,,,,
2010Q4,6.905846863985062,,,,
2011Q1,7.582309099935716,,,,
2011Q2,7.04711035319737,,,,
2011Q3,5.641998298466206,,,,
2011Q4,5.730893725440616,,,,
2012Q1,6.8263262241117415,,,,
2012Q2,6.886053986019558,,,,
2012Q3,6.664052153390552,,,,
2012Q4,6.047497649346629,,,,
2013Q1,6.316132752100627,,,,
2013Q2,6.699195966124535,,,,
2013Q3,7.02779583632946,,,,
2013Q4,8.021831773221493,,,,
2014Q1,8.515425721152884,,,,
2014Q2,8.830013895791675,,,,
2014Q3,9.400551110506058,,,,
2014Q4,10.398348420858383,,,,
2015Q1,10.791111930471953,,,,
2015Q2,10.023073226686508,,,,
2015Q3,9.233169913291931,,,,
2015Q4,8.509215623140335,,,,
2016Q1,6.822049781924388,,,,
2016Q2,7.1663795709609985,,,,
2016Q3,7.702424146234989,,,,
2016Q4,8.095182668595086,,,,
2017Q1,9.075884480630197,,,,
2017Q2,9.15056974925692,,,,
2017Q3,9.223968248518686,,,,
2017Q4,9.314956498524499,,,,
2018Q1,9.352049780673669,,,,
2018Q2,10.034765675663948,,,,
2018Q3,10.325954573495048,,,,
2018Q4,9.019639688824851,,,,
2019Q1,9.178251399368536,,,,
2019Q2,9.470443347143748,,,,
2019Q3,8.966792196035385,,,,
2019Q4,9.49226376414299,,,,
2020Q1,8.018864739325739,,,,
2020Q2,5.12260779880342,,,,
2020Q3,4.836107142269611,,,,
2020Q4,6.224623300135136,,,,
2021Q1,8.832654906100915,,,,
2021Q2,9.346891160995241,,,,
2021Q3,8.320773489773273,,,,
2021Q4,8.752304263412952,,,,
2022Q1,8.999066614335582,,,,
2022Q2,9.070206619078114,,,,
2022Q3,8.20109248906374,,,,
2022Q4,8.126379860772026,,,,
2023Q1,8.153371803222164,,,,
2023Q2,7.642444003012873,,,,
2023Q3,7.62249948108007,,,,
2023Q4,7.988569108266679,,,,
2024Q1,8.942594622002273,,,,
2024Q2,8.342656445881676,,,,
2024Q3,8.091030143201351,,,,
2024Q4,8.807967776343936,,,,
