quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,5079.755465599798,,,,
2006Q2,4894.315228174603,,,,
2006Q3,4959.947474888393,,,,
2006Q4,5725.035668945313,,,,
2007Q1,6097.2283475281765,,,,
2007Q2,6104.192638960041,,,,
2007Q3,6298.775666267641,,,,
2007Q4,6840.477965339782,,,,
2008Q1,5783.528206961496,,,,
2008Q2,5000.043318684896,,,,
2008Q3,3890.9976322234625,,,,
2008Q4,3108.9833905619957,,,,
2009Q1,3089.760148111979,,,,
2009Q2,3216.9106366557457,,,,
2009Q3,2967.011863708496,,,,
2009Q4,3073.6316833496094,,,,
2010Q1,2626.7639280225408,,,,
2010Q2,8499.495113312252,,,,
2010Q3,18849.91911506653,,,,
2010Q4,19019.31932258606,,,,
2011Q1,16204.44193390877,,,,
2011Q2,16125.009990389384,,,,
2011Q3,15430.515241622925,,,,
2011Q4,14517.451123434399,,,,
2012Q1,12651.572813956967,,,,
2012Q2,12876.35697234623,,,,
2012Q3,12432.522274925595,,,,
2012Q4,11734.201691658267,,,,
2013Q1,10914.751741536458,,,,
2013Q2,11345.139022827148,,,,
2013Q3,11166.235900878906,,,,
2013Q4,10531.673431396484,,,,
2014Q1,10320.030049308401,,,,
2014Q2,9690.47619047619,,,,
2014Q3,9464.0625,,,,
2014Q4,8817.1875,,,,
2015Q1,9121.311475409837,,,,
2015Q2,9214.285714285714,,,,
2015Q3,9037.5,,,,
2015Q4,7721.875,,,,
2016Q1,9118.032786885246,,,,
2016Q2,11478.125,,,,
2016Q3,18017.1875,,,,
2016Q4,27512.698412698413,,,,
2017Q1,27409.677419354837,,,,
2017Q2,27307.93650793651,,,,
2017Q3,22782.539682539682,,,,
2017Q4,37753.1746031746,,,,
2018Q1,50119.67213114754,,,,
2018Q2,49926.5625,,,,
2018Q3,43357.93650793651,,,,
2018Q4,43243.65079365079,,,,
2019Q1,38079.50819672131,,,,
2019Q2,36654.76190476191,,,,
2019Q3,26265.625,,,,
2019Q4,28743.44262295082,,,,
2020Q1,15296.233229114163,,,,
2020Q2,14052.063492063493,,,,
2020Q3,10553.4375,,,,
2020Q4,6972.34375,,,,
2021Q1,12260.655737704918,,,,
2021Q2,24700.0,,,,
2021Q3,35425.78125,,,,
2021Q4,36638.28125,,,,
2022Q1,47543.055555555555,,,,
2022Q2,,,,,
2022Q3,,,,,
2022Q4,,,,,
2023Q1,,,,,
2023Q2,,,,,
2023Q3,24503.409090909092,,,,
2023Q4,16442.372881355932,,,,
2024Q1,14669.827586206897,,,,
2024Q2,13776.923076923076,,,,
2024Q3,13050.925925925925,,,,
2024Q4,10968.518518518518,,,,
