quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,88.0,0.8932642658462444,,26.028111172137166
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,425.0,0.2273964071670052,,26.832310300607933
2012Q4,,11.0,0.2273964071670052,,26.832310300607933
2013Q1,18844.295778858417,68.0,0.11098698365763873,277.1219967479179,26.76481263460867
2013Q2,26953.84051513672,,0.11098698365763873,,26.76481263460867
2013Q3,11366.348091125488,42.0,0.11098698365763873,270.6273355029878,26.76481263460867
2013Q4,6812.511039733887,43.0,0.11098698365763873,158.4304892961369,26.76481263460867
2014Q1,8405.009429431353,153.0,0.05013333018042071,54.9347021531461,27.187611374557363
2014Q2,8335.65855189732,221.0,0.05013333018042071,37.71791199953539,27.187611374557363
2014Q3,9377.616943359375,205.0,0.05013333018042071,45.74447289443597,27.187611374557363
2014Q4,10408.044593811035,115.0,0.05013333018042071,90.50473559835683,27.187611374557363
2015Q1,8880.385325947746,,,,
2015Q2,7342.328357514881,133.0,0.0687513577615073,55.20547637229234,27.226569210051103
2015Q3,6238.102485656738,,,,
2015Q4,5706.305099487305,,,,
2016Q1,4944.702248495133,34.0,0.07837053045709784,145.43241907338626,27.70670602296756
2016Q2,4706.937976837158,215.0,0.12032710609924613,21.89273477598678,27.765499095300065
2016Q3,4302.033889770508,28.0,0.06292863318903702,153.64406749180384,27.714984858098365
2016Q4,3659.907005673363,84.0,0.19178323040872317,43.57032149611147,27.822639471371993
2017Q1,2826.516125094506,,0.21522215902970748,,27.835913267744008
2017Q2,3728.1077590215773,92.0,0.15970135322154025,40.52291042414758,27.83851105476217
2017Q3,10874.023158482143,114.0,0.18540141853150388,95.38616805686091,27.86515550391106
2017Q4,10499.20634920635,114.0,0.26621112576467343,92.09830130882763,27.941830810838805
2018Q1,9469.344262295082,10.0,0.2315941801023889,946.9344262295083,27.90691537431416
2018Q2,6231.875,1.0,0.21837601993256694,6231.875,27.89514699408235
2018Q3,5609.3650793650795,172.0,0.17471227887939103,32.61258767072721,27.84711247212365
2018Q4,5207.619047619048,,0.12382598989914527,,27.79546950002541
2019Q1,4272.131147540984,3.0,0.12362481534788917,1424.0437158469947,27.796903556845088
2019Q2,3753.809523809524,16.0,0.11978936273318722,234.61309523809524,27.794894960823207
2019Q3,3701.25,56.0,0.11789851914953409,66.09375,27.792129169624367
2019Q4,3837.377049180328,76.0,0.08359460596889245,50.49180327868853,27.76258221132266
2020Q1,3122.7419354838707,,0.08526253706832516,,27.75608860002092
2020Q2,2960.0,,0.0823091330522132,,27.75237076403834
2020Q4,4321.40625,5.0,0.21818419747523496,864.28125,27.86214786726628
2021Q2,5609.322033898305,631.0,0.21905974711186413,8.88957533105912,27.86335770628701
2021Q4,9624.21875,360.0,0.17226749251820478,26.73394097222222,27.856776891960582
2022Q1,10482.5,1.0,0.16788582177924793,10482.5,27.853642134086083
2022Q2,,7.0,0.17265965040958597,,27.85835838456709
2022Q3,,41.0,0.09362667736429958,,27.792238916886237
2022Q4,,,0.08663945329421692,,27.744653532277823
2023Q1,,123.0,0.005045099143041652,,27.678220404090293
2023Q2,,176.0,0.004801145737749312,,27.694007526639425
2023Q3,4675.531914893617,64.0,0.005003907490282541,73.05518617021276,27.699987688050474
2023Q4,3868.28125,12.0,0.004419637763606576,322.3567708333333,27.700164033121947
2024Q1,4317.966101694915,33.0,0.004245640739007508,130.84745762711864,27.70294924531098
2024Q2,4393.770491803279,,,,
2024Q3,3838.4126984126983,25.0,0.003614430984757674,153.53650793650795,27.706382108090068
2024Q4,3418.8709677419356,24.0,0.0031684802926595515,142.45295698924733,27.7079351460819
