quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,998.0,3.3631776357181287,,28.281487609090224
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,230.0,2.490761384789867,,28.711889927620422
2010Q3,,70.0,2.490761384789867,,28.711889927620422
2010Q4,16095.6859765625,,2.490761384789867,,28.711889927620422
2011Q1,20902.866789641204,998.0,2.8370819260866478,20.944756302245697,28.658127669650163
2011Q2,16676.255892478814,,2.8370819260866478,,28.658127669650163
2011Q3,6919.949823288691,,2.8370819260866478,,28.658127669650163
2011Q4,4338.133498418899,,2.8370819260866478,,28.658127669650163
2012Q1,2940.6729886239036,,2.6109072813258223,,28.631142140791145
2012Q2,4425.155021158854,,2.6109072813258223,,28.631142140791145
2012Q3,3545.7077830481153,,2.6109072813258223,,28.631142140791145
2012Q4,3157.357406123992,,2.6109072813258223,,28.631142140791145
2013Q1,4207.820198567709,,2.2849398931810083,,28.77526918643068
2013Q2,4913.194217681885,,2.2849398931810083,,28.77526918643068
2013Q3,5542.534980773926,,2.2849398931810083,,28.77526918643068
2013Q4,6223.958457946777,,2.2849398931810083,,28.77526918643068
2014Q1,7654.8262439164955,,1.2709962723070591,,29.03122931663472
2014Q2,6728.394445994543,,1.2709962723070591,,29.03122931663472
2014Q3,7462.3843994140625,,1.2709962723070591,,29.03122931663472
2014Q4,7210.647674560547,,1.2709962723070591,,29.03122931663472
2015Q1,6498.178478803791,,,,
2015Q2,5527.632083953373,,1.1213648674031338,,29.118873624902292
2015Q3,5047.742835998535,,,,
2015Q4,5651.042381286621,,,,
2016Q1,5160.8989978227455,,0.5979054214656219,,29.499126340921435
2016Q2,5266.841354370117,,0.6059012089022733,,29.507562173968736
2016Q3,5207.1875,,0.7604909766586606,,29.605832744928527
2016Q4,4310.6349206349205,,0.71349105157756,,29.58962757063438
2017Q1,2387.4193548387098,,0.7379684036200927,,29.586941127552393
2017Q2,2890.4761904761904,,0.5147686933431506,,29.571327172406267
2017Q3,3288.095238095238,,0.512963219628851,,29.570121381349136
2017Q4,2817.4603174603176,,0.4873491779552824,,29.475655898333766
2018Q1,2441.4754098360654,,0.5112533082269143,,29.491778426724782
2018Q2,2077.34375,,0.4792931508469519,,29.472916143686074
2018Q3,1875.7142857142858,,0.5621806053960086,,29.52973686471284
2018Q4,1629.8412698412699,,0.5515062259585556,,29.52538398977403
2019Q1,1436.72131147541,,0.5619172694720981,,29.53470514617089
2019Q2,1412.2222222222222,,0.561998555424717,,29.537095108308165
2019Q3,1342.65625,,0.5929704209277966,,29.55916542656762
2019Q4,1093.7704918032787,,0.551513706319863,,29.535156623198187
2020Q1,1080.483870967742,,0.545371960261742,,29.531971811271838
2020Q2,1338.5714285714287,,0.5547394438019126,,29.538926088614755
2020Q3,1682.8125,,0.5919653287277578,,29.562787561162917
2020Q4,1700.625,,0.6073411473744343,,29.572662359416007
2021Q1,2591.6393442622953,,0.6247623823562081,,29.583684800635762
2021Q2,3856.271186440678,,0.6428104910042152,,29.59496120505253
2021Q3,3401.71875,,0.6473544551857454,,29.597953214974485
2021Q4,6040.9375,,1.1488925223126298,,29.863986715243385
2022Q1,7788.611111111111,,1.1808596612777973,,29.879905320125427
2022Q2,,,0.679503160775879,,29.621015966044645
2022Q3,,,0.6688008774426731,,29.614800021951417
2022Q4,,,0.6603180510436504,,29.610191062863578
2023Q1,,,0.661072301214567,,29.61104869182646
2023Q2,,,0.6724855849850843,,29.61816860384028
2023Q3,4408.723404255319,,0.6782659602672583,,29.62189852925398
2023Q4,3692.8125,,0.6725492891636196,,29.618849422354906
2024Q1,4284.9152542372885,,0.6339492038726985,,29.802226886367713
2024Q2,4011.6393442622953,,0.9218217953080086,,29.970764527685713
2024Q3,3539.3650793650795,19.0,0.9295525112807775,186.28237259816208,29.978190989878367
2024Q4,3190.3225806451615,10.0,0.8685813222630083,319.03225806451616,29.947179527277804
