quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,,,
2015Q3,,,,,
2015Q4,4.393999814987183,,,,
2016Q1,3.443000078201294,,,,
2016Q2,,,,,
2016Q3,4.289999961853027,,,,
2016Q4,,,,,
2017Q1,,,3.718920017366205,,28.31296910859299
2017Q2,,,4.807204275643312,,28.38868037775747
2017Q3,,,3.895428545563295,,28.305323518577058
2017Q4,,,3.4830211997831246,,28.304958583928247
2018Q1,,,2.9568455546006,,28.22654207493975
2018Q2,,,4.083908515604897,,28.375732293745315
2018Q3,,,3.5930199472957693,,28.343995908317165
2018Q4,,,3.4703419898275287,,28.320616118748728
2019Q1,,,3.029596758563319,,28.26664762810311
2019Q2,,,3.739107445738147,,28.30845306803979
2019Q3,,,2.9056909996775664,,28.183238027128827
2019Q4,,,2.6819902694102242,,28.203364027319587
2020Q1,,,2.349676179276087,,28.16079209133375
2020Q2,,,2.9267056656839157,,28.187954934393485
2020Q3,,,2.700674012496914,,28.16033166440481
2020Q4,,,2.665043971771821,,28.191884209082154
2021Q1,,,2.442108252969486,,28.17501968418692
2021Q2,,,2.9837465698809975,,28.298466308295925
2021Q3,,,2.792900569544121,,28.36966844599725
2021Q4,,,2.5889405440028694,,28.483843522817637
2022Q1,,,2.005892288587353,,28.419533772413505
2022Q2,,,2.3158397075032235,,28.552198794894295
2022Q3,,,2.0819767791253523,,28.570999273496202
2022Q4,,,1.7005785538005969,,28.50184581874187
2023Q1,,,1.3704678262486512,,28.414980484391474
2023Q2,,,1.8860889421321496,,28.49440096155965
2023Q3,,3825.0,1.8271325609636337,,28.543751778847035
2023Q4,,,1.9968104114431822,,28.550406670049778
2024Q1,,,1.9877795536257374,,28.598525641180892
2024Q2,,,2.3301485696293107,,28.686841680560075
2024Q3,,,1.928175304096809,,28.641333331950637
2024Q4,,,2.1627742668110854,,28.703358193795186
