quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,,,
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,,,,
2016Q2,,,,,
2016Q3,,,,,
2016Q4,,,,,
2017Q1,,,,,
2017Q2,,,,,
2017Q3,,,,,
2017Q4,,,,,
2018Q1,,,,,
2018Q2,,,,,
2018Q3,,,5.691258555252969,,28.993129726516013
2018Q4,21205.530243844696,2462.0,5.365991689840178,8.613131699368276,28.98580748882486
2019Q1,19247.324538934427,579.0,5.361922611741807,33.24235671663977,29.00763721761188
2019Q2,19183.57130456349,57197212681.0,5.599976869538551,3.353934642157129e-07,29.054470052810334
2019Q3,17315.217071533203,507.0,5.8804361927893485,34.15230191623906,29.11869517371306
2019Q4,17475.052510245903,3014.0,6.000111722328404,5.797960355091541,29.2691998469077
2020Q1,17458.064516129034,3382.0,5.819271691798826,5.162053375555598,29.39037706477396
2020Q2,17176.984126984127,81.0,5.922179143373863,212.0615324319028,29.398190114591646
2020Q3,20641.40625,5843.0,3.9120021599329835,3.532672642478179,29.26525430306006
2020Q4,35166.40625,1733.0,4.24947228723707,20.292213646855163,29.322457549635537
2021Q1,41959.016393442624,1066.0,3.4328292388695676,39.36117860548089,29.40710865863444
2021Q2,39931.74603174603,1664.0,3.606298778982039,23.997443528693527,29.50563481102364
2021Q3,39597.65625,452.0,3.433858589642538,87.60543418141593,29.483172833778674
2021Q4,50429.77493286133,1103.0,3.986438731639644,45.72055750939377,29.657071057034578
2022Q1,46205.555555555555,482.0,4.159903706576308,95.86214845550946,29.719251910258432
2022Q2,,968.0,4.372361683323644,,29.80611302327782
2022Q3,,38.0,4.15792887137465,,29.76746249507384
2022Q4,,-517.0,5.074172907359726,,29.83414602932129
2023Q1,,-197.0,5.360090010778148,,29.85000513476912
2023Q2,,551.0,4.108774845476911,,29.662667022834594
2023Q3,18903.191489361703,14.0,4.0994023747694905,1350.227963525836,29.657898726628435
2023Q4,16046.875,354.0,3.988980872121577,45.33015536723164,29.657562840701672
2024Q1,15500.847457627118,115.0,3.7668583105549223,134.78997789240972,29.618136710227045
2024Q2,13574.590163934427,20.0,3.724337504492553,678.7295081967213,29.60838308901699
2024Q3,10112.539682539682,4.0,3.87949965734679,2528.1349206349205,29.641663338140727
2024Q4,8260.483870967742,52.0,3.9834653851722597,158.85545905707198,29.66556105755756
