quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,5.060158261336396,,31.922887862781394
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,,5.606624056067006,,32.11234809780653
2016Q2,,,5.740251576068916,,32.159049562379074
2016Q3,,,4.659756165879041,,32.18880775071109
2016Q4,,,4.939955179224067,,32.20036024552086
2017Q1,,606.0,4.709750626495869,,32.203090804748854
2017Q2,,19.0,4.756542235673797,,32.17468911814169
2017Q3,,1058.0,4.426934943231704,,32.156908085265556
2017Q4,,255.0,4.070610841636856,,32.11327680459859
2018Q1,,858.0,3.7917614608573547,,32.119488485869624
2018Q2,,252.0,4.133260656658559,,32.08734896387144
2018Q3,,287.0,3.8958678083213623,,32.06586313876271
2018Q4,,456.0,3.4168295619545725,,32.03995650186195
2019Q1,,896.0,3.2174037017060666,,32.059670177917766
2019Q2,42081.57894736842,56.0,3.711452260312239,751.4567669172932,32.041482782894896
2019Q3,38462.5,715.0,3.247892617313684,53.79370629370629,32.00072511085186
2019Q4,34718.03278688525,25.0,3.107993892885498,1388.72131147541,31.966484750329776
2020Q1,26538.709677419356,,3.4494655377812524,,31.892786834429213
2020Q2,26192.85714285714,-2781.0,4.835680811362811,-9.418503107823495,31.831087191504132
2020Q3,25310.9375,-2759.0,8.434732355263883,-9.17395342515404,31.76411090469315
2020Q4,26652.34375,-263.0,9.253894505846933,-101.33971007604563,31.773632166773435
2021Q1,29203.27868852459,-3448.0,57.79404144962739,-8.469628389943328,31.734986959738606
2021Q2,28649.15254237288,-3137.0,-23.27160994491101,-9.132659401457724,31.746070970462693
2021Q3,23116.90316772461,-1552.0,44.463339203753655,-14.894911834874105,31.836844990153395
2021Q4,24472.65625,-514.0,123.45757473860209,-47.612171692607006,31.775832823257453
2022Q1,24561.11111111111,-1180.0,-30.625372251785645,-20.814500941619585,31.790146660594367
2022Q2,,-1161.0,-14.547602687694878,,31.82936186504644
2022Q3,,-1184.0,-9.33177244564103,,31.767410148308997
2022Q4,,-1202.0,-6.939495555472625,,31.734962583928578
2023Q1,,-47.0,-6.818780459126321,,31.718316892170122
2023Q2,,-615.0,-6.100550989923181,,31.711239815998574
2023Q3,12867.021276595744,-1028.0,-5.32432349669357,-12.516557662058117,31.730814743197296
2023Q4,11203.90625,-932.0,-4.400201551362325,-12.021358637339056,31.684832289446238
2024Q1,12900.0,1957.0,-5.485165080204114,6.5917220235053655,31.66200298396494
2024Q2,23765.573770491803,422.0,-6.010779999069958,56.31652552249243,31.687863337956117
2024Q3,23899.20634920635,347.0,-6.172989507440638,68.87379351356297,31.680227754947712
2024Q4,24739.516129032258,416.0,-6.780211862132481,59.46999069478908,31.69256730641381
