quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,15100.837524414062,,,,
2011Q3,8504.822643649193,,,,
2011Q4,10591.637803819445,,,,
2012Q1,13507.996453536185,,,,
2012Q2,16380.631624348958,,,,
2012Q3,13645.149321056548,,,,
2012Q4,13920.769420992943,,,,
2013Q1,15086.8267578125,,,,
2013Q2,14427.809448242188,,,,
2013Q3,14558.859375,,,,
2013Q4,16046.673599243164,,,,
2014Q1,16073.978739754099,,,,
2014Q2,12800.867916046627,,,,
2014Q3,14304.982788085938,,,,
2014Q4,16968.206268310547,,,,
2015Q1,20965.573770491803,,,,
2015Q2,19311.11111111111,,,,
2015Q3,6692.1875,,,,
2015Q4,5476.5625,,,,
2016Q1,4398.360655737705,,,,
2016Q2,4223.4375,,,,
2016Q3,3348.90625,,,,
2016Q4,3457.6190476190477,,,,
2017Q1,3553.8709677419356,,,,
2017Q2,3115.3968253968255,,,,
2017Q3,3791.1111111111113,,,,
2017Q4,4139.047619047619,,,,
2018Q1,4954.5901639344265,,,,
2018Q2,3738.59375,,,,
2018Q3,3083.4920634920636,,,,
2018Q4,3054.285714285714,,,,
2019Q1,3134.9180327868853,,,,
2019Q2,3127.936507936508,,,,
2019Q3,2919.6875,,,,
2019Q4,4106.065573770492,,,,
2020Q1,3227.2580645161293,,,,
2020Q2,3009.5238095238096,,,,
2020Q3,4208.4375,,,,
2020Q4,4661.25,,,,
2021Q1,5119.672131147541,,,,
2021Q2,4738.135593220339,,,,
2021Q3,4903.28125,,,,
2021Q4,8125.46875,,,,
2022Q1,9321.388888888889,,,,
2022Q2,,,,,
2022Q3,,,,,
2022Q4,,,,,
2023Q1,,,,,
2023Q2,,,,,
2023Q3,4106.595744680851,,,,
2023Q4,3318.75,,,,
2024Q1,3544.576271186441,,,,
2024Q2,3506.2295081967213,,,,
2024Q3,3393.0158730158732,,,,
2024Q4,3319.8387096774195,,,,
