quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,,,
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,,,,
2016Q2,,,,,
2016Q3,,,,,
2016Q4,,,,,
2017Q1,,,,,
2017Q2,,,,,
2017Q3,,,,,
2017Q4,,,,,
2018Q1,,,,,
2018Q2,,,,,
2018Q3,,,,,
2018Q4,,,,,
2019Q1,,,,,
2019Q2,,,,,
2019Q3,,,,,
2019Q4,,,,,
2020Q1,,,,,
2020Q2,,,,,
2020Q3,,,,,
2020Q4,,523.0,0.3483632941227157,,28.494131853089208
2021Q1,,45.0,0.38638980086131186,,28.526068955352404
2021Q2,,298.0,0.3176793038066223,,28.61776268097779
2021Q3,,260.0,0.37897303676815164,,28.68499735869195
2021Q4,,1695.0,0.37438276062988396,,29.49603038590713
2022Q1,,155.0,0.394068756391652,,29.520748977679222
2022Q2,,,,,
2022Q3,,144.0,0.4429534808121686,,29.584628032439447
2022Q4,,645.0,0.37056945215659554,,29.58327071569976
2023Q1,,126.0,0.3159938960241618,,29.55360349348866
2023Q2,,101.0,0.30319757348286175,,29.552511321137512
2023Q3,7301.063829787234,,0.3244956978054149,,29.571480228675576
2023Q4,6062.96875,17.0,0.23500744406818205,356.6452205882353,29.50293617323537
2024Q1,6212.203389830508,29.0,0.21833864611903273,214.21390999415544,29.472958977979793
2024Q2,5752.131147540984,36.0,0.2187649413640077,159.78142076502732,29.47648636414301
2024Q3,5406.349206349207,32.0,0.22691902799534036,168.9484126984127,29.485890123503015
2024Q4,5432.741935483871,29.0,0.2627143984464606,187.33592880978867,29.51714965749576
