quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,3644.6289794921877,,,,
2012Q3,3011.937934027778,,,,
2012Q4,2260.731441374748,,,,
2013Q1,2651.5152872721355,,,,
2013Q2,2064.824831008911,,,,
2013Q3,2144.887987136841,,,,
2013Q4,5036.157703399658,,,,
2014Q1,6686.085793417008,,,,
2014Q2,5388.954562717014,,,,
2014Q3,6381.713775634766,,,,
2014Q4,6873.1915283203125,,,,
2015Q1,5915.051661757172,,,,
2015Q2,4791.6311112661215,,,,
2015Q3,5229.6875,,,,
2015Q4,4706.25,,,,
2016Q1,4127.868852459016,,,,
2016Q2,6610.9375,,,,
2016Q3,5541.40625,,,,
2016Q4,5146.507936507936,,,,
2017Q1,4905.967741935484,,,,
2017Q2,4424.126984126984,,,,
2017Q3,4427.142857142857,,,,
2017Q4,4020.4761904761904,,,,
2018Q1,4223.11475409836,,,,
2018Q2,3873.59375,,,,
2018Q3,3451.4285714285716,,,,
2018Q4,3427.3015873015875,,,,
2019Q1,2956.065573770492,,,,
2019Q2,3028.7301587301586,,,,
2019Q3,2749.0625,,,,
2019Q4,2642.2950819672133,,,,
2020Q1,2532.5806451612902,,,,
2020Q2,2200.15873015873,,,,
2020Q3,2209.6875,,,,
2020Q4,2463.4375,,,,
2021Q1,2939.1803278688526,,,,
2021Q2,5512.033898305085,,,,
2021Q3,7954.375,,,,
2021Q4,9155.3125,,,,
2022Q1,8470.0,,,,
2022Q2,,,,,
2022Q3,,,,,
2022Q4,,,,,
2023Q1,,,,,
2023Q2,,,,,
2023Q3,3812.7659574468084,,,,
2023Q4,3527.5,,,,
2024Q1,3546.4406779661017,,,,
2024Q2,3498.032786885246,,,,
2024Q3,3397.4603174603176,,,,
2024Q4,3227.0967741935483,,,,
