quarter,P,EPS,D/E,P/E,SIZE
2005Q1,22.865375112314695,,,,
2005Q2,20.610443145036697,,,,
2005Q3,22.994771718978882,,,,
2005Q4,26.917742047991073,,1.4754828059278466,,24.908067914729088
2006Q1,31.601284427027547,,,,
2006Q2,34.21854639810229,,,,
2006Q3,28.78814933413551,,,,
2006Q4,32.36880689954001,,,,
2007Q1,32.341197060757,,,,
2007Q2,35.931971958705354,,,,
2007Q3,34.47536910526336,,,,
2007Q4,33.91110801696777,,,,
2008Q1,34.616695404052734,,,,
2008Q2,41.20662248134613,,,,
2008Q3,45.388983488082886,,,,
2008Q4,34.403955817222595,,,,
2009Q1,24.3981442373307,,,,
2009Q2,25.645649410429456,,,,
2009Q3,30.675709933042526,,,,
2009Q4,34.93120077252388,,,,
2010Q1,36.47877608752641,,,,
2010Q2,40.637334914434526,,,,
2010Q3,39.82898360490799,,,,
2010Q4,44.05348992347717,,,,
2011Q1,46.58289177187027,,,,
2011Q2,51.37155018155537,,,,
2011Q3,50.33761012554169,,,,
2011Q4,52.18749134124271,,,,
2012Q1,52.21791470435358,,,,
2012Q2,50.85498949081179,,,,
2012Q3,54.023830232166105,,,,
2012Q4,46.65976105966875,,,,
2013Q1,53.642160924275714,,,,
2013Q2,58.234210729599,,,,
2013Q3,57.54414892196655,,,,
2013Q4,66.34327805042267,,,,
2014Q1,72.10718323754483,,,,
2014Q2,76.75774976942274,,,,
2014Q3,83.41959261894226,,,,
2014Q4,86.63963556289673,,,,
2015Q1,85.00749156514152,,,,
2015Q2,78.18679930671813,,,,
2015Q3,65.74751484394073,,,,
2015Q4,69.79076248407364,,,,
2016Q1,62.13381413944432,,,,
2016Q2,70.39963948726654,,,,
2016Q3,75.88499367237091,,,,
2016Q4,84.80088479178292,,,,
2017Q1,98.72593270578692,,,,
2017Q2,99.72349608890595,,,,
2017Q3,103.70709579709977,,,,
2017Q4,115.0984849475679,,,,
2018Q1,123.85754644675333,,,,
2018Q2,126.49978470802307,,,,
2018Q3,148.59034898546008,,,,
2018Q4,143.72745671347965,,,,
2019Q1,151.9350577182457,,,,
2019Q2,175.0277104453435,,,,
2019Q3,163.0771930217743,,,,
2019Q4,167.16341137886047,,,,
2020Q1,165.2210610912692,,,,
2020Q2,152.44853016686818,,,,
2020Q3,181.6623511314392,,,,
2020Q4,206.71983766555786,,,,
2021Q1,231.07010287925846,,,,
2021Q2,252.72360156831286,,,,
2021Q3,235.7242214679718,,,,
2021Q4,257.70135474205017,,,,
2022Q1,255.38763649232925,,,,
2022Q2,228.67274745818108,,,,
2022Q3,225.01202178001404,,,,
2022Q4,222.57520645383804,,,,
2023Q1,218.82437158400012,,,,
2023Q2,202.19818755119078,,,,
2023Q3,206.98589312841023,,,,
2023Q4,202.06750657823352,,,,
2024Q1,240.06864453925462,,,,
2024Q2,226.39021955217635,,,,
2024Q3,235.26513695716858,,,,
2024Q4,251.1701386466859,,,,
