quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,,,
2015Q3,,,,,
2015Q4,8.61100002527237,,,,
2016Q1,4.651803290257688,,,,
2016Q2,10.543374985456467,,,,
2016Q3,11.167750015854836,,,,
2016Q4,9.721777825128465,,,,
2017Q1,9.860451590630316,,,,
2017Q2,6.363555582742842,,,,
2017Q3,7.346539686596583,,,,
2017Q4,10.485015884278313,,,,
2018Q1,6.096131121525999,,,,
2018Q2,4.556500017642975,,,,
2018Q3,3.6353650774274553,,,,
2018Q4,5.64774599529448,,,,
2019Q1,4.492065597753056,,,,
2019Q2,4.676190474676708,,,,
2019Q3,4.530000001192093,,,,
2019Q4,5.270437501370907,,,,
2020Q1,3.88032256403277,,,,
2020Q2,3.658730173867846,,,,
2020Q3,3.207437504082918,,,,
2020Q4,3.5816250070929527,,,,
2021Q1,5.089245886099143,,,,
2021Q2,3.5289523828597296,,,,
2021Q3,2.9891875125467777,,,,
2021Q4,2.8156250063329935,,,,
2022Q1,2.1989677375362766,,,,
2022Q2,2.6404677398743166,,,,
2022Q3,3.2154687494039536,,,,
2022Q4,4.906587290385413,,,,
2023Q1,5.235161258328345,,,,
2023Q2,4.53774195332681,,,,
2023Q3,3.5982539653778076,,,,
2023Q4,3.9239206351931135,,,,
2024Q1,4.506000002876657,,,,
2024Q2,4.877476154811799,,,,
2024Q3,5.061031237244606,,,,
2024Q4,4.232444452860999,,,,
