quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,1.5075242859976632,,,,
2007Q3,1.4510025410425096,,,,
2007Q4,1.6415847520979623,,,,
2008Q1,1.5926857661392728,,,,
2008Q2,1.4096025920683337,,,,
2008Q3,1.6619923431426284,,,,
2008Q4,1.055950001118675,,,,
2009Q1,0.8885281552871068,,,,
2009Q2,1.4439286833903828,,,,
2009Q3,1.503161247819662,,,,
2009Q4,1.5451058641312614,,,,
2010Q1,1.176515484849612,,,,
2010Q2,1.0203556656837462,,,,
2010Q3,0.45080095198419357,,,,
2010Q4,0.4965714312025479,,,,
2011Q1,0.5343731498276746,,,,
2011Q2,0.33270178815083845,,,,
2011Q3,0.19555281428620216,,,,
2011Q4,0.1499716651936372,,,,
2012Q1,0.13588803151591877,,,,
2012Q2,0.10191476238625385,,,,
2012Q3,0.08784333368142443,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,27.70499992370605,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,27.19518172524192,,,,
2014Q4,28.46812518668594,,,,
2015Q1,37.21785705430167,,,,
2015Q2,39.05349985758463,,,,
2015Q3,39.95606231689453,,,,
2015Q4,,,,,
2016Q1,,,,,
2016Q2,,,,,
2016Q3,,,,,
2016Q4,,,,,
2017Q1,,,,,
2017Q2,,,,,
2017Q3,,,,,
2017Q4,,,,,
2018Q1,,,,,
2018Q2,,,,,
2018Q3,,,,,
2018Q4,,,,,
2019Q1,,,,,
2019Q2,,,,,
2019Q3,,,,,
2019Q4,,,,,
2020Q1,,,,,
2020Q2,,,,,
2020Q3,,,,,
2020Q4,,,,,
2021Q1,,,,,
2021Q2,,,,,
2021Q3,,,,,
2021Q4,,,,,
2022Q1,,,,,
2022Q2,,,,,
2022Q3,,,,,
2022Q4,,,,,
2023Q1,,,,,
2023Q2,,,,,
2023Q3,,,,,
2023Q4,,,1.334815280256898,,28.140954770196196
2024Q1,,,1.4067013775447608,,28.220103308209776
2024Q2,,,1.510794462614245,,28.296673522063642
2024Q3,,,1.8065296442349894,,28.42970191411396
2024Q4,15415.384615384615,,2.247798951576759,,28.53766396736972
