quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,,,
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,1480.0,0.46960453918250605,,30.71814906797899
2016Q2,,2137.0,0.5880863236738711,,30.75725072326997
2016Q3,,1916.0,0.5763044491079746,,30.753535101655505
2016Q4,187894.44444444444,1446.0,0.5576295165146933,129.9408329491317,30.589056483194685
2017Q1,214345.16129032258,1758.0,0.378951760824058,121.9255752504679,30.56242011009232
2017Q2,198511.11111111112,1821.0,0.3621069762798913,109.01214229056075,30.629515499037428
2017Q3,246898.4126984127,1612.0,0.33600913512364755,153.16278703375477,30.686979453269085
2017Q4,285398.4126984127,1927.0,0.49566633144078814,148.10504032091993,30.725663619137165
2018Q1,240388.52459016393,1736.0,0.335244764730456,138.4726524136889,30.66427645206011
2018Q2,231454.6875,1820.0,0.31156606705836054,127.17290521978022,30.72326186296786
2018Q3,215723.80952380953,1432.0,0.29926531283308183,150.64511838254856,30.766535014620555
2018Q4,235557.14285714287,1258.0,0.3891445742687003,187.24733136497844,30.73912296310573
2019Q1,241837.70491803277,1789.0,0.3347310941565672,135.180382849655,30.768233493871755
2019Q2,257123.80952380953,2164.0,0.2941276904205503,118.81876595370126,30.811611854557572
2019Q3,273681.25,2062.0,0.3054093341115295,132.72611542192047,30.840961522515766
2019Q4,246965.5737704918,1462.0,0.34300380037902173,168.9231010742078,30.92546724100625
2020Q1,184945.16129032258,1031.0,0.30832274677495647,179.3842495541441,30.8168186343581
2020Q2,165374.60317460317,1773.0,0.32507996569379305,93.27388785933624,30.89522774451222
2020Q3,185068.75,2046.0,0.31555100383747825,90.45393450635386,30.95196462402552
2020Q4,191067.1875,2214.0,0.29034249994800854,86.29954268292683,30.94065030955725
2021Q1,184077.04918032786,1528.0,0.2742143693275711,120.46927302377478,30.926456409596497
2021Q2,163749.15254237287,1505.0,0.28877801457409497,108.8034236161946,30.983050465509685
2021Q3,155429.6875,636.0,0.25969801580555846,244.38630110062894,30.97839162620286
2021Q4,159256.25,1994.0,0.3492946900647028,79.86772818455366,31.048322278608428
2022Q1,157536.11111111112,1779.0,0.30955653948862855,88.55318218724628,31.0284491779159
2022Q2,,2554.0,0.28090907577299545,,31.075940652589612
2022Q3,,2046.0,0.3135319414101688,,31.155885954186704
2022Q4,,1580.0,0.4015408712953595,,31.170967626250583
2023Q1,,1469.0,0.2310000134269739,,31.0803833010924
2023Q2,,1768.0,0.31827495947367773,,31.146941334386113
2023Q3,,1589.0,0.26049130318217933,,31.140366334746517
2023Q4,,719.0,0.33633171825725244,,31.15904569170519
2024Q1,,758.0,0.21505443739975438,,31.101325344759793
2024Q2,,954.0,0.3590947649092308,,31.161890526928318
2024Q3,,853.0,0.22928581818035842,,31.10404140720062
2024Q4,,733.0,0.3683872347126136,,31.140756151734216
