quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,2.2199870926877794,,26.837902615992736
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,0.6386578902725214,,26.359513067681675
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,,0.5353044894037906,,26.643051837724514
2016Q2,,,0.47840135396888833,,26.772658229754324
2016Q3,,,0.5664666001480403,,27.000320990499482
2016Q4,,,0.5440567630496631,,27.012909295118057
2017Q1,,2688.0,0.8381934970331103,,27.166804007500783
2017Q2,,2986.0,0.6485104081088838,,27.225835024686056
2017Q3,,2120.0,0.4572535593297983,,27.20059106727567
2017Q4,,1774.0,0.416703181729489,,27.27410024450499
2018Q1,,3167.0,0.35573806330967295,,27.382612281895444
2018Q2,,2762.0,0.39572703518662317,,27.382159531381376
2018Q3,,2759.0,0.4033853870821684,,27.51155251008406
2018Q4,,2182.0,0.38638829525744267,,27.59402310619163
2019Q1,,3311.0,0.31809246726387935,,27.650734717508136
2019Q2,,2226.0,0.3728934505128805,,27.694677560087143
2019Q3,,2403.0,0.3745660912231965,,27.792669226586582
2019Q4,,3012.0,0.2847539897036677,,27.845141232358856
2020Q1,,2030.0,0.2635476684569675,,27.892955590394163
2020Q2,,5.0,0.3798991067220917,,27.813469035570883
2020Q3,,154.0,0.24889789926450137,,27.73367469851976
2020Q4,,197.0,0.18147376752191988,,27.675381723291046
2021Q1,,1031.0,0.15075581683869776,,27.685872368686745
2021Q2,,636.0,0.2575038962190263,,27.67438834190969
2021Q3,,-324.0,0.21209128443972322,,27.618089427873947
2021Q4,,278.0,0.1442159152784154,,27.567643739875162
2022Q1,,900.0,0.15381503421544382,,27.610043940246996
2022Q2,,1453.0,0.3076507417587698,,27.68605164686189
2022Q3,,898.0,0.2876654068525841,,27.701929823699682
2022Q4,,876.0,0.24856438119203766,,27.704672873488573
2023Q1,,1648.0,0.2554309332287806,,27.773065161155436
2023Q2,,2232.0,0.3895175253048842,,27.860800138372202
2023Q3,,2156.0,0.33090470671501193,,27.902401809617157
2023Q4,58.15650016069412,729.0,0.27440337227555084,0.07977572038503995,27.885677953352634
2024Q1,32.33075434262635,1845.0,0.23201543424004104,0.017523444088144362,27.916555144635606
2024Q2,14.370285715375628,1761.0,0.35402367189803313,0.008160298532297347,27.971162143110497
2024Q3,10.36124999076128,2039.0,0.3047009100083845,0.0050815350616779205,28.001399543185208
2024Q4,8.011095232433743,2291.0,0.24661988833987702,0.003496767888447727,28.029227580726307
