quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,1.0987510990975504,,
2008Q2,,,1.1044330947117078,,
2008Q3,,,1.1359531159270473,,
2008Q4,,,1.129739923149843,,
2009Q1,,,1.1063124102017363,,
2009Q2,,,1.100453806094836,,
2009Q3,,,1.1051323093179812,,
2009Q4,,,1.1156027164196287,,
2010Q1,,,1.1008508739364995,,
2010Q2,,,1.096887930542597,,
2010Q3,,,1.113887593810943,,
2010Q4,,,1.1064973824593332,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,1.102719093166374,,
2011Q4,,,1.1145391118272152,,
2012Q1,,,1.1217718341945109,,
2012Q2,,,1.1059013437182967,,
2012Q3,,,1.1072430903492063,,
2012Q4,,,1.0968418422393078,,
2013Q1,,,1.0994654852436252,,
2013Q2,,,1.097501093917403,,
2013Q3,,,1.1162202046978469,,
2013Q4,,,1.1182402934281432,,
2014Q1,,,1.1085831230048473,,
2014Q2,,,1.1057005354174607,,
2014Q3,,,1.1048078524687828,,
2014Q4,,,1.1052145572608985,,
2015Q1,,,1.1039207942272846,,
2015Q2,,,1.0988389430705314,,
2015Q3,,,1.1007508464102096,,
2015Q4,,,1.0836344841210537,,
2016Q1,,,1.07992539497259,,
2016Q2,,,1.0784907946439157,,
2016Q3,,,1.0762345539441989,,
2016Q4,,,1.074025156604023,,
2017Q1,,,1.0719354137016626,,
2017Q2,,,1.067290473746117,,
2017Q3,,,1.0668714046958272,,
2017Q4,,,1.0672383827277874,,
2018Q1,,,1.0661958385434436,,
2018Q2,,,1.0627221125422224,,
2018Q3,,,1.0626106993435107,,
2018Q4,,,1.06458268053323,,
2019Q1,,,1.0637639044971245,,
2019Q2,,,1.061640734599246,,
2019Q3,,,1.061867189289335,,
2019Q4,,,1.0626503526500692,,
2020Q1,,,1.0638346146404474,,
2020Q2,,,1.0603975889613961,,
2020Q3,,,1.061715772487871,,
2020Q4,,,1.0624487094171726,,
2021Q1,,,1.0635755048021172,,
2021Q2,,,1.0640805562416138,,
2021Q3,,,1.0724284826731407,,
2021Q4,,,1.0703612133491478,,
2022Q1,,,1.0686211191528452,,
2022Q2,,,1.0694268021204614,,
2022Q3,,,1.0700617650625426,,
2022Q4,,,1.0698035511518975,,
2023Q1,,,1.0729278060429661,,
2023Q2,,,1.0720091652045214,,
2023Q3,31224.468085106382,,1.0719413220266494,,
2023Q4,28817.1875,,1.0727486556093089,,
2024Q1,30533.050847457627,,1.074205549490998,,
2024Q2,28970.491803278688,,,,
2024Q3,29892.85714285714,,1.0786866641288317,,
2024Q4,34031.45161290323,,1.0793107595027693,,
