quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,1.0838507510632929,,
2012Q3,,,,,
2012Q4,,,1.0798444918529315,,
2013Q1,,,1.0843153534549477,,
2013Q2,,,1.0874506221764386,,
2013Q3,,,1.0910856231433714,,
2013Q4,,,1.0960159748269434,,
2014Q1,,,1.0965271490349962,,
2014Q2,,,1.093727125125488,,
2014Q3,,,1.0950473909540204,,
2014Q4,,,1.093214682585689,,
2015Q1,,,1.0933686769990227,,
2015Q2,,,1.1003575555406457,,
2015Q3,,,1.1016029951404318,,
2015Q4,,,1.0941871689082718,,
2016Q1,,,1.0931439895710735,,
2016Q2,,,1.0909766581040687,,
2016Q3,,,1.0918636268573314,,
2016Q4,,,,,
2017Q1,,,1.097477431591701,,
2017Q2,,,1.1032872573804342,,
2017Q3,,,1.0907801887236235,,
2017Q4,,,1.1110721908643402,,
2018Q1,,,1.1597023628956105,,
2018Q2,32873.3349609375,,1.1874862009659566,,
2018Q3,26961.376178075396,,1.1886322545442423,,
2018Q4,27332.539682539682,,1.1923100619910187,,
2019Q1,26587.70491803279,,1.19789741948337,,
2019Q2,23069.04761904762,,1.1852325330955784,,
2019Q3,21380.46875,,1.1909953170460525,,
2019Q4,23719.67213114754,,1.1929963157846593,,
2020Q1,21391.935483870966,,1.197394244284106,,
2020Q2,19203.968253968254,,1.2053065298344636,,
2020Q3,20598.4375,,1.2134128230869254,,
2020Q4,24254.6875,,1.2044307099101494,,
2021Q1,37249.18032786885,,1.2061157075513462,,
2021Q2,46997.457627118645,,1.199572676988327,,
2021Q3,50917.1875,,1.1950011571296455,,
2021Q4,51194.53125,,1.19559588450707,,
2022Q1,51026.38888888889,,1.1908050675226776,,
2022Q2,,,1.2011905424140925,,
2022Q3,,,1.195740124030559,,
2022Q4,,,1.1936876677507748,,
2023Q1,,,1.1948062944130033,,
2023Q2,,,1.2007605348294745,,
2023Q3,,,1.1943438105404995,,
2023Q4,,,1.1676580023240697,,
2024Q1,,,1.1843758745925677,,
2024Q2,,,1.1799944769787438,,
2024Q3,,,1.1844504967445009,,
2024Q4,,,1.1780562451872696,,
