quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,0.22416445544392044,,28.32289984840226
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,,0.05240156267955406,,29.043328432613247
2016Q2,,,0.06595754241151035,,29.126930033652496
2016Q3,,,0.0701880642308105,,29.1532696843942
2016Q4,20982.724967447917,,0.04879491189007187,,29.166575173240183
2017Q1,16820.16129032258,,0.03701221939197032,,29.186375872195903
2017Q2,19734.920634920636,,0.0941032959003174,,29.20031157052199
2017Q3,16733.333333333332,,0.14597951048912244,,29.23471267664607
2017Q4,18503.174603174604,,0.11254402876833823,,29.211365987766015
2018Q1,21432.786885245903,,0.14333279077349,,29.274552139607632
2018Q2,25546.09375,,0.22144730501291235,,29.285647407524454
2018Q3,25281.74603174603,,0.20570156818150026,,29.282481413855916
2018Q4,20818.25396825397,,0.4011242272699327,,29.473739084129974
2019Q1,20644.262295081968,,0.5276464991404651,,29.570908495249018
2019Q2,21390.47619047619,,0.6881467208581373,,29.64897829367627
2019Q3,22490.625,,0.834029747134436,,29.73488888761426
2019Q4,25946.72131147541,,0.8405193257791024,,29.789645171812424
2020Q1,34159.67741935484,,0.6620347383701487,,29.96001396751425
2020Q2,21328.571428571428,,0.42863068584273095,,29.952196118142684
2020Q3,20755.46875,,0.3235926680618084,,30.02801417599693
2020Q4,19821.09375,,0.1703898289518258,,29.969903194820127
2021Q1,22680.32786885246,,0.12460824145524389,,29.980781125601027
2021Q2,22769.84126984127,,0.23088350058013002,,30.08692958308739
2021Q3,18576.06721496582,,0.17809493542382243,,30.29508690215097
2021Q4,21310.15625,,0.18844211203305702,,30.316681228817227
2022Q1,22242.091849662163,,0.2512344560488739,,30.378073677476888
2022Q2,,,0.2992512701485931,,30.384633385612094
2022Q3,,,0.2502701863141803,,30.292063846374003
2022Q4,,,0.2157828419724033,,30.283296658186423
2023Q1,,,0.238445310676056,,30.31377716699431
2023Q2,,,0.2829099004818788,,30.32234326874853
2023Q3,,,0.4042679725767952,,30.450956318180314
2023Q4,,,0.17617957621848207,,30.308806150754712
2024Q1,,,0.19244609664848913,,30.34514313150158
2024Q2,,,0.19240182261804867,,30.364442576792168
2024Q3,,,0.1560340351944123,,30.362048085178937
2024Q4,,,,,
