quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,5465.999438476562,,,,
2012Q2,5021.01551363761,,,,
2012Q3,5118.977734375,,,,
2012Q4,6169.275122070312,,,,
2013Q1,5885.844284784226,,,,
2013Q2,5867.418640136719,,,,
2013Q3,5262.841863458807,,,,
2013Q4,5609.460428873698,,,,
2014Q1,6474.918696888706,,,,
2014Q2,6529.726272841632,,,,
2014Q3,6447.259010314941,,,,
2014Q4,7004.754341125488,,,,
2015Q1,7163.674970354353,,,,
2015Q2,6799.739067925348,,,,
2015Q3,6675.206101940525,,,,
2015Q4,6518.5776953125,,,,
2016Q1,6624.788883131378,,,,
2016Q2,6408.660322265625,,,,
2016Q3,6432.510336821934,,,,
2016Q4,6649.374848865327,,,,
2017Q1,6513.115987723214,,,,
2017Q2,6463.3126878004805,,,,
2017Q3,6712.194281684027,,,,
2017Q4,6926.1788773970175,,,,
2018Q1,7336.407361260776,,,,
2018Q2,7088.176672363281,,,,
2018Q3,7648.485402074353,,,,
2018Q4,6758.22021484375,,,,
2019Q1,6735.425537109375,,,,
2019Q2,6401.730751953125,,,,
2019Q3,5387.090138989825,,,,
2019Q4,7221.22578125,,,,
2020Q1,6948.222894435976,,,,
2020Q2,5686.509532099185,,,,
2020Q3,5704.490710136218,,,,
2020Q4,6579.321563185307,,,,
2021Q1,6824.605412946428,,,,
2021Q2,7736.629453125,,,,
2021Q3,13061.554580688477,,,,
2021Q4,15815.785576923077,,,,
2022Q1,11918.683395127118,,,,
2022Q2,7770.525713520666,,,,
2022Q3,6312.757610987103,,,,
2022Q4,5288.256813401443,,,,
2023Q1,4786.913433527542,,,,
2023Q2,4602.211591166834,,,,
2023Q3,5336.852275545635,,,,
2023Q4,6128.904116586538,,,,
2024Q1,5726.15712890625,,,,
2024Q2,6657.815509733607,,,,
2024Q3,8572.359809875488,,,,
2024Q4,11442.047454833984,,,,
