quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,26.755000054836273,,,,
2008Q1,24.432295126993147,,,,
2008Q2,23.41281259059906,,,,
2008Q3,23.030468672513962,,,,
2008Q4,14.721406325697899,,,,
2009Q1,15.086721420288086,,,,
2009Q2,19.907936520046658,,,,
2009Q3,25.55546873807907,,,,
2009Q4,29.473750114440918,,,,
2010Q1,29.46081968213691,,,,
2010Q2,31.080317512391105,,,,
2010Q3,32.91671881079674,,,,
2010Q4,40.373906433582306,,,,
2011Q1,47.053709706952496,,,,
2011Q2,54.07142863197932,,,,
2011Q3,53.70750015974045,,,,
2011Q4,53.85904784429641,,,,
2012Q1,60.08887094066989,,,,
2012Q2,69.48111131456163,,,,
2012Q3,72.49095238579645,,,,
2012Q4,65.32016089654738,,,,
2013Q1,62.09983329772949,,,,
2013Q2,53.86812502145767,,,,
2013Q3,58.72374951839447,,,,
2013Q4,45.32859379053116,,,,
2014Q1,45.077541101174276,,,,
2014Q2,43.65476184421115,,,,
2014Q3,43.02296870946884,,,,
2014Q4,42.82765644788742,,,,
2015Q1,43.73245908393235,,,,
2015Q2,41.15015883672805,,,,
2015Q3,32.0470312833786,,,,
2015Q4,28.206093817949295,,,,
2016Q1,24.748688525840883,,,,
2016Q2,26.54156255722046,,,,
2016Q3,29.776718705892563,,,,
2016Q4,28.213174789670912,,,,
2017Q1,30.211613009052893,,,,
2017Q2,29.279523910038055,,,,
2017Q3,31.05984127710736,,,,
2017Q4,35.747460259331596,,,,
2018Q1,39.385409933621766,,,,
2018Q2,40.25734370946884,,,,
2018Q3,40.33761905488514,,,,
2018Q4,36.58428579663474,,,,
2019Q1,44.910491755751316,,,,
2019Q2,38.98222236027793,,,,
2019Q3,33.73874995112419,,,,
2019Q4,27.805781364440918,,,,
2020Q1,23.04129031396681,,,,
2020Q2,21.73444436088441,,,,
2020Q3,22.21234369277954,,,,
2020Q4,21.45046877861023,,,,
2021Q1,36.52229490436491,,,,
2021Q2,45.495873103066096,,,,
2021Q3,51.53921890258789,,,,
2021Q4,49.34890615940094,,,,
2022Q1,45.854193533620524,,,,
2022Q2,39.899032100554436,,,,
2022Q3,34.95171877741814,,,,
2022Q4,32.16920631650894,,,,
2023Q1,37.16016111066264,,,,
2023Q2,45.09322578676285,,,,
2023Q3,5550.758636266535,,,,
2023Q4,4880.648503941814,,,,
2024Q1,4625.434999974569,,,,
2024Q2,4316.68217737444,,,,
2024Q3,5393.463543313695,,,,
2024Q4,5137.210719985962,,,,
