quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,9.5795227931096,,,,
2006Q2,9.672399641975524,,,,
2006Q3,9.275378287784637,,,,
2006Q4,9.713377574133494,,,,
2007Q1,12.15395613185695,,,,
2007Q2,14.811619077410016,,,,
2007Q3,15.89583316681877,,,,
2007Q4,17.81767451763153,,,,
2008Q1,15.582038582348433,,,,
2008Q2,15.140847131609917,,,,
2008Q3,13.68627381324768,,,,
2008Q4,11.712894573807716,,,,
2009Q1,13.360397338867188,,,,
2009Q2,14.022814008924696,,,,
2009Q3,16.511166870594025,,,,
2009Q4,19.88853031396866,,,,
2010Q1,23.200659767526094,,,,
2010Q2,24.53210312979562,,,,
2010Q3,26.032586574554443,,,,
2010Q4,30.950836777687073,,,,
2011Q1,36.478452620967744,,,,
2011Q2,37.72215349712069,,,,
2011Q3,40.57553517818451,,,,
2011Q4,42.41480654761905,,,,
2012Q1,50.26804296432003,,,,
2012Q2,56.75513082837302,,,,
2012Q3,61.26553950234065,,,,
2012Q4,67.06532816733083,,,,
2013Q1,71.55465863545736,,,,
2013Q2,75.4300616979599,,,,
2013Q3,81.5362548828125,,,,
2013Q4,86.8146322965622,,,,
2014Q1,101.84533778956678,,,,
2014Q2,107.95329333108569,,,,
2014Q3,119.24178850650787,,,,
2014Q4,125.93529450893402,,,,
2015Q1,140.70646642466062,,,,
2015Q2,149.7254435221354,,,,
2015Q3,152.84383606910706,,,,
2015Q4,150.3355827331543,,,,
2016Q1,145.85120616975377,,,,
2016Q2,163.0900502204895,,,,
2016Q3,187.46915483474731,,,,
2016Q4,188.1138901483445,,,,
2017Q1,174.2205310944588,,,,
2017Q2,1275.5886305745444,,,,
2017Q3,3690.372857281542,,,,
2017Q4,4277.970548868179,,,,
2018Q1,3422.5634796659824,,,,
2018Q2,3681.3618371146067,,,,
2018Q3,2678.382959127426,,,,
2018Q4,1826.9798015684594,,,,
2019Q1,1280.4012827555339,,,,
2019Q2,1196.1854705810547,,,,
2019Q3,1032.6464784607406,,,,
2019Q4,958.2329808907915,,,,
2020Q1,898.3459561457399,,,,
2020Q2,845.4363791503906,,,,
2020Q3,928.7792722716812,,,,
2020Q4,1166.8187021654705,,,,
2021Q1,1535.9098653157553,,,,
2021Q2,1872.1810649414062,,,,
2021Q3,2101.369303703308,,,,
2021Q4,4260.362790129905,,,,
2022Q1,4805.643768562758,,,,
2022Q2,3213.7703936176918,,,,
2022Q3,2516.7835210364633,,,,
2022Q4,1806.1119990348816,,,,
2023Q1,1725.662113914805,,,,
2023Q2,1990.1680627638293,,,,
2023Q3,2363.761474609375,,,,
2023Q4,2076.1935472488403,,,,
2024Q1,2130.407110545261,,,,
2024Q2,2295.1390105216733,,,,
2024Q3,2750.95827960968,,,,
2024Q4,2570.236821212168,,,,
