quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,,,,,
2015Q2,,,,,
2015Q3,,,,,
2015Q4,,,,,
2016Q1,,,,,
2016Q2,,,,,
2016Q3,,,,,
2016Q4,,,,,
2017Q1,,,,,
2017Q2,,,,,
2017Q3,,,,,
2017Q4,,,,,
2018Q1,,,,,
2018Q2,,,,,
2018Q3,,362.0,1.8833374436368515,,27.464887957212877
2018Q4,,407.0,1.9311069961299172,,27.51534834013264
2019Q1,,191.0,1.9965080554861345,,27.55299983248621
2019Q2,,602.0,1.9931971103791346,,27.59953577002632
2019Q3,,711.0,2.3263482154866644,,27.7538362230993
2019Q4,,627.0,1.8529189005863342,,28.10752306384802
2020Q1,,278.0,1.940099219119834,,28.15058654769473
2020Q2,,333.0,1.9225275958801713,,28.17143925410685
2020Q3,,869.0,1.998257562753828,,28.239890062925607
2020Q4,20218.17038532839,206.0,1.9018638705160973,98.14645818120577,28.235772847313978
2021Q1,17925.017462261654,561.0,2.095054590113589,31.95190278478013,28.346948015881786
2021Q2,17619.170236895163,524.0,2.327434397224754,33.62437068109764,28.460562044536413
2021Q3,19761.06219482422,207.0,2.565868257188206,95.46406857403004,28.547720338798094
2021Q4,19627.502227783203,458.0,2.8317546914287486,42.85480835760525,28.640966772957327
2022Q1,18696.591681011654,458.0,2.9086937194366262,40.82225257862807,28.703746327316352
2022Q2,18979.444250274122,492.0,3.0737801507943843,38.57610619974415,28.78225628864487
2022Q3,21596.112800973362,446.0,2.819211887545173,48.42177758065776,28.752510933564142
2022Q4,22513.185424804688,36.0,3.0695982395647623,625.3662618001302,28.83142532354728
2023Q1,26192.34206627155,156.0,2.9786520945647035,167.89962862994585,28.818940687346835
2023Q2,26655.15625,79.0,3.0703189104604673,337.4070411392405,28.850466068655475
2023Q3,29388.226498463115,109.0,3.3785698907388735,269.6167568666341,28.93332060152324
2023Q4,28113.636291503906,230.0,3.296455570587244,122.23320126740829,28.934854720318732
2024Q1,27862.095570709746,225.0,3.161222139165759,123.8315358698211,28.981532166374933
2024Q2,30409.090885416666,360.0,2.789888625621,84.46969690393519,28.936118916228157
2024Q3,33189.70178222656,319.0,2.7951701125616286,104.04295229538107,28.969343993848558
2024Q4,33717.74193548387,211.0,2.8525672510142916,159.79972481271977,29.003830078352564
