TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"403,037,696,628","464,485,008,477","400,573,032,298","314,101,514,067","313,424,966,093","349,358,993,206","252,972,428,982","865,007,063,017","895,019,896,233","1,330,532,273,819","1,411,673,325,984","1,282,206,647,147","1,455,147,698,162","1,352,871,719,881","1,365,949,128,527","1,020,679,379,063","1,296,663,859,237","1,343,344,496,369","1,263,530,562,804","913,646,420,807","1,060,512,771,960","1,177,195,657,986","946,716,520,319","946,631,668,276"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,001,344,428","638,808,665","134,692,332","1,790,467,927","585,869,735","2,644,365,903","704,289,374","2,544,078,678","1,339,315,588","3,413,801,294","6,284,759,898","3,143,094,202","1,995,625,253","21,600,726,861","6,951,195,518","3,583,125,507","1,164,183,186","1,388,187,986","1,092,333,910","1,778,084,645","610,077,622","21,091,853,379","566,444,505","118,574,547"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,001,344,428","638,808,665","134,692,332","1,790,467,927","585,869,735","2,644,365,903","704,289,374","2,544,078,678","1,339,315,588","3,413,801,294","6,284,759,898","3,143,094,202","1,995,625,253","21,600,726,861","6,951,195,518","3,583,125,507","1,164,183,186","1,388,187,986","1,092,333,910","1,778,084,645","610,077,622","21,091,853,379","566,444,505","118,574,547"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"425,250,000,000","406,350,000,000","340,200,000,000","340,200,000,000","340,200,000,000","340,200,000,000",,"231,001,000,000","120,001,000,000","120,001,046,000","1,046,000","1,046,000","1,046,000","1,118,372","1,118,372"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"425,250,000,000","406,350,000,000","340,200,000,000","340,200,000,000","340,200,000,000","340,200,000,000",,"231,000,000,000","120,000,000,000","120,000,000,000",,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","1,000,000","1,046,000","1,046,000","1,046,000","1,046,000","1,118,372","1,118,372"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"386,337,487,469","444,777,137,367","383,876,989,425","291,321,384,215","294,845,757,042","331,233,742,249","245,315,271,468","856,058,810,725","887,300,906,734","895,321,594,981","993,816,478,813","917,768,937,090","1,100,716,300,282","974,294,835,256","1,010,869,352,573","1,011,291,895,696","1,059,270,758,605","1,217,353,322,776","1,139,089,907,753","906,981,902,974","1,056,600,839,308","1,152,343,601,346","940,625,992,157","944,060,331,098"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"242,491,105,940","354,151,963,518","312,285,641,731","243,119,425,477","262,661,112,557","298,376,894,119","215,740,691,975","826,811,965,261","857,542,757,984","862,939,209,055","963,070,555,516","882,378,040,342","1,058,573,819,421","935,197,343,419","962,741,659,101","970,283,452,796","1,009,066,956,079","1,209,693,824,969","989,351,271,497","910,328,715,037","858,200,815,873","897,208,723,753","617,909,605,816","640,110,438,751"
