TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,299,125,690,838","2,508,051,126,859","2,573,383,275,411","3,180,584,313,091","3,284,644,682,697","3,329,982,898,178","3,197,102,726,018","3,229,661,023,036","3,409,460,860,303","3,529,440,443,654","3,586,899,428,702","3,482,845,320,963",,"3,400,788,423,664","3,650,800,848,248","3,588,732,690,520","3,607,740,462,736","3,748,839,596,683","3,839,455,530,541","3,738,741,934,226","3,741,324,001,410","3,477,046,496,610","4,132,297,806,618","4,384,818,585,454","4,289,965,492,417","4,099,544,620,932","4,119,960,561,265"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,052,349,714","43,427,210,911","32,331,088,573","68,450,657,921","23,502,049,586","19,096,450,398","64,461,661,002","47,690,960,396","29,185,324,281","33,596,728,239","53,239,217,833","26,962,010,285",,"16,975,410,813","99,169,609,256","55,184,648,457","72,901,727,741","338,346,736,780","387,855,741,942","32,132,953,866","60,971,360,491","92,864,531,696","66,882,261,518","31,237,816,308","141,916,067,972","73,698,604,920","155,329,618,175"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,052,349,714","43,427,210,911","32,331,088,573","48,450,657,921","23,502,049,586","19,096,450,398","54,061,661,002","25,990,960,396","25,185,324,281","33,596,728,239","53,239,217,833","26,962,010,285",,"16,975,410,813","99,169,609,256","45,184,648,457","40,765,659,431","30,050,942,199","70,855,741,942","31,132,953,866","51,971,360,491","45,864,531,696","66,882,261,518","30,237,816,308","141,916,067,972","73,698,604,920","155,329,618,175"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000,000",,,"20,000,000,000",,,"10,400,000,000","21,700,000,000","4,000,000,000",,,,,,,"10,000,000,000","32,136,068,310","308,295,794,581","317,000,000,000","1,000,000,000","9,000,000,000","47,000,000,000",,"1,000,000,000",,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"409,500,000,000","409,500,000,000","479,500,000,000","1,096,500,000,000","987,000,000,000","961,245,044,955","1,045,245,044,955","1,148,245,044,955","1,416,445,044,955","1,656,445,044,955","1,680,045,044,955","1,493,045,044,955",,"1,286,345,044,955","1,527,845,044,955","1,517,262,744,955","1,333,262,744,955","1,189,017,700,000","1,205,017,700,000","1,228,000,000,000","1,297,000,000,000","1,175,500,000,000","1,834,500,000,000","2,135,500,000,000","1,872,500,000,000","1,814,850,000,000","2,048,350,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"409,500,000,000","409,500,000,000","479,500,000,000","1,096,500,000,000","987,000,000,000","961,245,044,955","1,045,245,044,955","1,148,245,044,955","1,416,445,044,955","1,656,445,044,955","1,680,045,044,955","1,493,045,044,955",,"1,286,345,044,955","1,527,845,044,955","1,517,262,744,955","1,333,262,744,955","1,189,017,700,000","1,205,017,700,000","1,228,000,000,000","1,297,000,000,000","1,175,500,000,000","1,834,500,000,000","2,135,500,000,000","1,872,500,000,000","1,814,850,000,000","2,048,350,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"560,601,429,225","536,591,177,318","577,262,841,105","468,541,009,240","613,776,536,523","581,383,745,975","687,239,888,913","561,510,233,893","645,834,329,719","576,217,083,743","687,953,556,852","668,811,154,863",,"586,806,959,478","618,583,366,551","562,263,534,423","642,515,474,030","683,603,744,364","732,066,423,282","902,079,025,372","960,145,773,085","875,038,657,510","1,079,509,691,669","933,335,420,099","1,123,199,011,970","1,151,754,354,811","931,966,064,539"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"339,450,050,759","341,884,211,577","496,571,221,055","380,367,467,367","502,550,841,164","487,620,202,676","613,349,471,702","466,526,005,277","547,554,018,503","514,728,598,476","607,079,449,113","532,901,245,083",,"510,061,195,755","549,583,344,234","440,663,027,588","529,538,216,388","580,307,188,725","654,268,204,929","629,763,410,324","710,741,012,310","673,848,314,441","723,795,484,707","554,886,966,726","736,169,087,503","783,535,102,745","667,210,885,642"
