TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,112,290,000",,,"148,772,930,000","145,241,300,000","144,674,370,000","148,312,090,000","140,183,720,000","143,917,550,000","144,039,260,000","139,890,310,000","143,270,480,000","145,662,210,000","353,203,550,000","344,849,180,000","346,401,270,000","381,123,070,000","152,782,200,000","147,935,150,000","154,478,110,000","174,007,570,000","210,069,800,000","263,240,960,000","622,670,890,000","975,564,820,000","1,701,590,390,000","1,633,723,950,000","1,621,523,060,000","1,256,787,540,000","1,295,471,170,000","1,399,544,620,000","1,447,361,820,000","1,530,411,470,000","1,480,424,641,694","2,270,644,465,052","2,238,703,164,721","1,325,016,768,710"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,091,330,000","114,924,750,000","142,946,320,000","147,837,860,000","139,764,600,000","143,570,710,000","143,313,690,000","139,260,940,000","142,717,800,000","139,507,310,000","352,350,610,000","344,249,290,000","345,450,740,000","378,705,630,000","152,015,190,000","147,367,340,000","153,768,580,000","173,370,490,000","209,367,240,000","262,480,060,000","622,136,810,000","974,466,600,000","1,699,967,700,000","1,632,136,100,000","1,619,870,300,000","1,231,343,660,000","1,152,884,750,000","1,396,849,030,000","1,444,319,910,000","1,529,800,500,000","1,479,454,929,369","2,269,960,405,768","2,237,613,668,406","1,324,284,229,185"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,080,290,000",,,"43,463,470,000","41,273,790,000","41,159,590,000","39,787,510,000","31,914,170,000","16,201,470,000","610,150,000","7,060,160,000","19,085,780,000","5,844,520,000","5,072,270,000","600,130,000","1,748,230,000","1,544,330,000","546,940,000","1,133,060,000","746,670,000","3,753,580,000","523,640,000","5,494,520,000","112,212,900,000","3,843,640,000","2,992,590,000","233,530,770,000","17,710,150,000","177,221,170,000","6,760,910,000","6,797,720,000","1,687,070,000","122,391,160,000","31,555,980,888","217,466,142,411","142,724,403,783","17,567,199,005"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,423,160,000","33,929,300,000","34,103,660,000","31,301,180,000","34,127,770,000","26,760,160,000","27,338,820,000","36,435,600,000","23,140,130,000","30,758,800,000","230,741,940,000","15,836,630,000","536,630,000","50,436,580,000","50,453,960,000","50,429,520,000","50,429,520,000","50,467,260,000","50,467,260,000","62,656,840,000","254,031,540,000","409,523,750,000","299,009,290,000","407,686,820,000","430,917,650,000","329,818,580,000","860,421,740,000","513,881,030,000","528,444,920,000","480,393,680,000","408,002,178,188","663,436,476,000","503,367,329,800","445,540,340,800"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,709,470,000",,,,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,935,000,000","29,017,500,000","31,402,500,000","62,000,000,000","77,758,110,000","60,000,000,000","60,000,000,000","52,285,770,000","22,364,190,000","62,408,600,000","77,950,950,000","57,702,600,000","60,322,600,000","57,752,180,000","57,297,710,000","71,826,320,000","63,967,830,000","4,845,200,000","20,935,130,000","68,885,980,000","819,706,440,000","706,264,120,000","781,135,420,000","19,930,000","102,680,000","372,480,000","220,340,000","2,135,480,000","53,333,328",,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,681,600,000","30,316,550,000","1,728,060,000","474,220,000","419,120,000","346,840,000","725,560,000","629,360,000","552,680,000","6,154,900,000","852,940,000","599,890,000","950,530,000","2,417,440,000","767,020,000","567,810,000","709,520,000","637,080,000","702,560,000","760,900,000","534,090,000","1,098,220,000","1,622,690,000","1,587,860,000","1,652,770,000","25,443,880,000","142,586,420,000","2,695,590,000","3,041,910,000","610,970,000","969,712,325","684,059,284","1,089,496,315","732,539,525"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"188,610,000","114,730,000","156,780,000","106,120,000","143,520,000","209,810,000","253,500,000","287,400,000","273,800,000","6,045,420,000",,"368,650,000","490,570,000","2,283,580,000","493,800,000","518,680,000","600,900,000","584,340,000","594,940,000","609,430,000","323,050,000","369,480,000","397,720,000","384,970,000","444,820,000","531,270,000","501,840,000","516,840,000","526,840,000","509,270,000","470,251,194","557,498,152","242,337,644","456,491,644"
