TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"547,810,518,858","598,472,312,124","596,014,520,513","618,037,223,268","594,785,290,544","707,833,128,388",,"767,370,040,089","766,293,515,536","829,923,718,375",,"824,279,420,220","780,156,466,537",,"630,573,440,604","703,109,692,854","1,825,420,133,363","1,866,982,456,875","1,743,001,105,795","1,753,072,650,180","1,795,211,738,192","1,813,680,108,340","1,734,850,620,405","1,765,464,515,836","1,705,113,577,687","1,733,705,369,283","1,758,817,022,499"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"351,619,687,318","298,254,962,303","253,490,124,538","272,970,709,508","261,346,534,161","333,908,004,428",,"304,291,967,821","343,840,699,034","243,181,973,200",,"303,556,288,741","245,004,174,380",,"137,335,594,520","274,207,836,153","385,872,011,414","386,267,409,799","206,721,379,127","145,238,283,898","196,174,008,097","227,422,727,829","165,727,939,365","278,849,042,171","239,397,163,181","316,680,128,808","275,925,813,537"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,003,221,425","85,838,496,410","75,410,270,281","56,710,314,251","86,806,260,282","130,658,004,428",,"201,814,788,165","59,563,519,378","82,303,307,243",,"73,093,138,281","60,684,821,003",,"79,885,644,533","225,152,950,350","122,901,289,434","114,270,237,617","126,166,233,215","107,129,726,839","117,124,008,097","122,272,727,829","109,977,939,365","138,899,042,171","149,847,163,181","159,610,128,808","150,981,909,705"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"266,616,465,893","212,416,465,893","178,079,854,257","216,260,395,257","174,540,273,879","203,250,000,000",,"102,477,179,656","284,277,179,656","160,878,665,957",,"230,463,150,460","184,319,353,377",,"57,449,949,987","49,054,885,803","262,970,721,980","271,997,172,182","80,555,145,912","38,108,557,059","79,050,000,000","105,150,000,000","55,750,000,000","139,950,000,000","89,550,000,000","157,070,000,000","124,943,903,832"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,640,000,000","47,640,000,000","62,579,903,396","63,579,903,396","70,901,719,840","101,929,186,031",,"137,051,195,421","145,993,978,919","148,104,121,323",,"203,229,085,066","201,939,885,066",,"158,830,738,779","152,744,337,223","822,304,170,912","885,064,100,912","861,214,456,783","968,918,993,576","1,002,241,301,711","987,770,139,221","982,671,824,174","952,538,139,656","939,920,045,078","930,988,863,785","917,087,577,133"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,500,000,000","37,500,000,000","50,142,369,150","50,142,369,150","53,676,176,631","56,971,113,528",,"85,690,086,668","110,245,607,259","103,627,361,799",,"159,522,565,294","158,977,165,294",,"145,881,069,007","143,786,350,814","590,952,932,235","590,952,932,235","618,902,932,235","615,845,540,235","614,058,003,558","599,475,199,287","600,275,618,467","576,507,747,166","575,845,320,430","552,194,767,548","552,203,300,732"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-146,963,750","-9,770,479,222","-8,542,091,358",,"-8,023,812,970","-6,947,612,970",,"-5,980,662,970","-4,331,362,970","-7,217,752,970","-8,990,762,970","-12,718,215,290","-7,516,812,970","-7,669,932,970","-9,471,762,970","-7,656,511,250","-7,318,741,250","-5,357,221,250","-5,682,061,250","-4,380,961,250"
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,140,000,000","10,140,000,000","12,437,534,246","13,437,534,246","17,225,543,209","44,958,072,503",,"51,508,072,503","45,518,850,882","53,018,850,882",,"51,730,332,742","49,910,332,742",,"18,930,332,742","13,289,349,379","238,568,991,647","303,101,931,647","255,029,739,838","360,590,266,311","395,853,231,123","397,766,702,904","390,052,716,957","383,349,133,740","369,431,945,898","384,476,157,487","369,265,237,651"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,519,152,168","229,451,263,560","256,847,573,511","253,077,029,320","231,106,616,993","242,008,448,332",,"296,310,314,340","249,913,591,544","411,567,959,757",,"293,140,121,342","307,721,234,541",,"299,509,947,806","242,111,935,420","548,723,068,335","532,689,649,553","611,097,190,355","575,979,835,204","538,223,749,476","540,112,270,233","529,380,321,515","481,858,477,507","473,397,896,766","436,391,387,536","518,261,701,466"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,149,260,822","142,451,422,402","127,919,999,883","130,637,243,943","108,112,445,657","119,598,622,649",,"115,580,663,079","100,379,879,093","146,482,165,227",,"154,775,638,772","120,489,984,993",,"145,049,251,728","137,083,310,158","417,623,320,770","402,621,328,443","406,289,426,538","372,058,263,108","333,973,629,964","330,247,518,897","356,814,762,748","338,176,201,128","307,080,749,627","321,762,052,786","370,225,503,805"
