TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,"480,792,074,731","480,792,074,731",,,"548,968,460,419","548,968,460,419",,,,,,"374,022,864,122","792,945,074,909","792,945,074,909","792,945,074,909","792,945,074,909","897,400,539,347","897,400,539,347","897,400,539,347","897,400,539,347","976,692,503,225","976,692,503,225","976,692,503,225","976,692,503,225","1,069,348,136,779","1,069,348,136,779","1,069,348,136,779","1,069,348,136,779","1,953,211,041,211","1,953,211,041,211","1,953,211,041,211","1,953,211,041,211",,"1,666,333,002,148",,,"3,109,014,533,956","2,905,983,491,486","3,016,745,344,869","3,264,770,455,219","3,480,094,433,240","3,603,577,984,702","3,740,524,935,374","3,734,939,278,071","7,097,387,083,886","6,552,082,200,045","6,594,284,593,052","6,962,978,427,750","7,657,765,579,073","7,632,720,534,506","7,879,947,985,174","7,558,525,461,322","7,848,503,797,617","7,995,076,139,896","8,911,674,052,085","8,332,104,049,323","8,907,570,807,269","9,062,524,417,662","9,201,630,600,435","9,278,792,717,291","9,617,285,366,100","9,715,175,186,930","9,318,159,848,857","9,211,846,322,393","9,728,251,939,737","9,775,134,627,436","10,011,105,362,841","11,097,792,363,751","10,999,184,770,663","11,491,115,730,383","11,722,123,395,180","13,612,326,985,222"
I. Tiền và các khoản tương đương tiền,,,,,,,,,"196,241,169,795","196,241,169,795",,,"30,456,966,239","30,456,966,239",,,,,,"6,100,557,369","102,231,328,105","102,231,328,105","102,231,328,105","102,231,328,105","32,613,021,079","32,613,021,079","32,613,021,079","32,613,021,079","55,112,698,329","55,112,698,329","55,112,698,329","55,112,698,329","25,768,808,229","25,768,808,229","25,768,808,229","25,768,808,229","389,731,896,437","389,731,896,437","389,731,896,437","389,731,896,437",,"55,432,457,984",,,"470,399,347,950","419,511,605,344","395,353,086,898","568,632,617,707","220,913,902,148","273,595,236,689","259,694,152,899","253,200,039,001","589,723,317,887","570,646,862,029","837,243,659,965","502,270,779,066","439,063,869,297","694,571,697,924","579,834,050,318","823,039,812,502","380,755,001,509","579,357,851,787","771,957,779,906","781,486,471,417","603,291,123,780","968,793,255,378","846,602,135,607","800,553,548,004","449,803,838,155","782,739,356,254","987,691,169,286","817,343,213,117","612,838,248,623","324,945,379,538","859,294,255,163","1,365,027,739,995","657,496,133,753","723,618,193,729","660,403,660,947","2,070,300,521,307"
1. Tiền,,,,,,,,,"172,641,169,795","172,641,169,795",,,"30,456,966,239","30,456,966,239",,,,,,"5,570,557,369","46,706,328,105","46,706,328,105","46,706,328,105","46,706,328,105","11,713,021,079","11,713,021,079","11,713,021,079","11,713,021,079","25,112,698,329","25,112,698,329","25,112,698,329","25,112,698,329","19,768,808,229","19,768,808,229","19,768,808,229","19,768,808,229","39,466,688,104","39,466,688,104","39,466,688,104","39,466,688,104",,"49,545,493,477",,,"99,387,187,040","54,305,806,528","36,684,160,450","47,892,893,500","69,533,902,148","41,034,234,029","38,895,150,239","87,219,036,341","378,141,325,474","360,884,869,616","491,196,521,112","360,402,423,067","283,776,730,444","293,459,341,925","334,863,228,653","576,331,306,092","155,317,712,245","421,454,885,755","668,376,031,020","490,660,505,385","432,709,374,894","564,743,883,494","482,386,025,867","464,795,608,133","353,432,213,039","493,118,188,462","481,849,111,304","468,746,575,535","524,073,449,178","265,534,926,393","367,209,234,891","444,944,309,108","278,695,058,009","398,268,497,869","325,557,578,348","899,822,413,292"
2. Các khoản tương đương tiền,,,,,,,,,"23,600,000,000","23,600,000,000",,,,,,,,,,"530,000,000","55,525,000,000","55,525,000,000","55,525,000,000","55,525,000,000","20,900,000,000","20,900,000,000","20,900,000,000","20,900,000,000","30,000,000,000","30,000,000,000","30,000,000,000","30,000,000,000","6,000,000,000","6,000,000,000","6,000,000,000","6,000,000,000","350,265,208,333","350,265,208,333","350,265,208,333","350,265,208,333",,"5,886,964,507",,,"371,012,160,910","365,205,798,816","358,668,926,448","520,739,724,207","151,380,000,000","232,561,002,660","220,799,002,660","165,981,002,660","211,581,992,413","209,761,992,413","346,047,138,853","141,868,355,999","155,287,138,853","401,112,355,999","244,970,821,665","246,708,506,410","225,437,289,264","157,902,966,032","103,581,748,886","290,825,966,032","170,581,748,886","404,049,371,884","364,216,109,740","335,757,939,871","96,371,625,116","289,621,167,792","505,842,057,982","348,596,637,582","88,764,799,445","59,410,453,145","492,085,020,272","920,083,430,887","378,801,075,744","325,349,695,860","334,846,082,599","1,170,478,108,015"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000,000","1,027,444,444","11,310,000,000","11,500,000,000","307,939,724,107","307,639,724,107","307,639,724,107","249,039,724,107","685,319,446,800","846,369,446,800","670,354,853,560","962,316,316,914","891,897,953,560","928,537,166,414","927,004,693,593","658,110,346,447","507,432,463,593","441,646,636,414","549,142,853,560","1,172,783,636,414","1,334,878,831,231","1,197,160,418,872","1,337,849,546,905","1,390,026,899,680","1,619,307,943,896","1,463,372,582,530","1,161,464,431,290","981,405,931,644","1,439,685,172,568","1,700,822,783,580","1,101,796,017,811","981,956,468,827","1,153,509,626,518","1,238,078,658,699","1,294,633,110,421","2,064,880,437,306"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,844,862,388","1,844,862,388",,"-1,844,862,388",,,,,,,,,,"860,445,000",,"1,410,012,119","4,767,424,194","6,558,595,140","7,011,638,216","7,269,215,860","7,100,649,645","6,651,198,112","6,786,976,053","6,509,116,327","5,995,356,412","6,257,255,627","6,164,291,379","6,230,107,978"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-755,415,588","-755,415,588",,"534,442,888",,,,,,,,,,,,,"-22,502,203","-1,537,559,628","-2,092,583,614","-2,362,011,972","-2,074,692,645","-1,469,059,930","-1,213,536,075","-1,316,610,153","-698,321,585","-847,726,043","-759,542,949","-754,621,703"
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000,000","1,027,444,444","11,310,000,000","11,500,000,000","307,939,724,107","307,639,724,107","307,639,724,107","249,039,724,107","684,230,000,000","845,280,000,000","670,354,853,560","963,626,736,414","891,897,953,560","928,537,166,414","927,004,693,593","658,110,346,447","507,432,463,593","441,646,636,414","549,142,853,560","1,172,783,636,414","1,334,878,831,231","1,196,299,973,872","1,337,849,546,905","1,388,616,887,561","1,614,563,021,905","1,458,351,547,018","1,156,545,376,688","976,498,727,756","1,434,659,215,568","1,695,640,645,398","1,096,222,577,833","976,763,962,653","1,148,212,591,691","1,232,669,129,115","1,289,228,361,991","2,059,404,951,031"
III. Các khoản phải thu ngắn hạn,,,,,,,,,"92,546,610,110","92,546,610,110",,,"206,086,851,824","206,086,851,824",,,,,,"105,457,943,197","288,412,382,483","288,412,382,483","288,412,382,483","288,412,382,483","293,971,196,832","293,971,196,832","293,971,196,832","293,971,196,832","396,034,254,909","396,034,254,909","396,034,254,909","396,034,254,909","470,830,267,834","470,830,267,834","470,830,267,834","470,830,267,834","625,974,996,721","625,974,996,721","625,974,996,721","625,974,996,721",,"565,369,688,826",,,"1,566,359,583,787","1,177,345,492,531","1,437,549,575,586","1,393,348,638,518","1,555,942,693,825","1,763,828,318,138","1,820,259,291,365","1,791,981,286,330","3,962,264,886,823","3,112,355,440,095","2,874,770,433,215","3,103,381,117,366","3,628,417,137,178","3,104,364,851,959","3,505,664,763,286","3,059,488,585,796","3,675,741,234,370","3,459,392,374,719","3,984,059,646,849","3,176,963,793,150","3,875,375,839,905","3,969,720,954,618","4,273,872,005,913","4,177,940,761,844","4,671,192,859,421","4,588,227,586,240","4,153,128,670,087","4,165,336,155,454","4,496,775,318,265","4,198,311,301,114","4,309,319,804,698","4,132,243,385,406","4,687,404,575,326","5,158,871,237,586","5,152,481,932,450","5,081,437,687,714"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,"47,735,641,305","47,735,641,305",,,"135,038,390,514","135,038,390,514",,,,,,"79,784,617,215","262,368,865,699","262,368,865,699","262,368,865,699","262,368,865,699","181,047,241,416","181,047,241,416","181,047,241,416","181,047,241,416","207,507,787,781","207,507,787,781","207,507,787,781","207,507,787,781","250,167,935,228","250,167,935,228","250,167,935,228","250,167,935,228","337,983,074,317","337,983,074,317","337,983,074,317","337,983,074,317",,"259,731,962,544",,,"353,218,756,436","467,918,103,496","490,012,794,749","387,826,569,812","364,135,166,408","412,511,829,472","414,051,390,027","437,327,817,669","1,404,674,668,569","1,459,105,284,393","1,196,144,572,451","1,222,578,432,329","1,662,660,042,919","1,495,452,235,807","1,536,547,381,898","1,400,987,831,872","1,996,762,036,631","1,741,406,870,637","1,831,000,691,056","1,424,087,544,943","1,773,366,666,271","1,840,634,463,896","1,793,699,716,662","1,721,315,263,872","1,959,573,386,975","1,773,537,818,470","1,852,097,786,875","1,744,033,006,809","1,911,424,587,748","1,886,702,514,479","1,869,394,884,129","1,663,306,509,210","2,088,426,470,054","2,338,809,227,597","2,415,311,680,177","2,182,808,096,419"
