TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,482,262,928,675",,"5,796,411,851,331","3,933,779,545,970","4,684,695,329,130",,"5,484,652,939,887","5,221,081,163,211","4,947,373,338,584","5,289,001,002,122","5,316,011,547,932","5,448,934,672,360","4,987,727,502,591","5,528,787,780,750","5,454,705,928,586","4,270,549,381,364","3,365,774,609,992","4,315,551,291,283","4,439,908,822,676","4,435,840,423,915","3,511,807,293,488","4,230,464,392,910","4,323,439,175,884","4,342,027,681,112","3,718,471,843,945","4,318,375,855,942","4,740,864,701,629","4,868,201,238,605","4,305,588,627,791","5,056,360,702,414","5,420,707,235,755","5,124,895,609,310","4,633,311,369,869","5,425,019,228,764","5,509,134,790,141","5,348,109,912,182"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,852,028,247,053",,"3,381,438,316,524","1,374,164,676,945","1,168,842,125,693",,"2,023,898,479,271","2,154,945,124,393","2,009,764,604,199","2,366,980,499,587","1,570,607,968,285","1,733,957,455,441","1,306,688,384,448","1,909,970,694,782","2,766,268,810,119","1,276,506,847,002","426,691,923,456","1,334,094,261,183","1,030,758,433,797","786,170,499,341","518,807,806,046","687,230,878,232","693,655,413,381","762,415,449,399","636,646,678,646","979,807,218,688","890,414,998,402","519,934,563,320","669,911,919,359","696,370,770,229","479,902,447,294","1,164,570,250,591","539,816,212,249","671,406,170,199","1,083,398,198,221","1,050,976,562,093"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"736,728,830,555",,"1,672,496,612,970","1,168,342,973,391","973,470,545,750",,"1,575,918,951,087","1,656,160,642,480","1,314,197,759,368","1,573,297,172,482","1,455,700,686,594","1,439,312,865,111","1,096,637,278,891","1,033,037,555,948","804,576,918,476","850,556,922,338","344,114,210,510","970,886,548,237","543,908,433,797","452,890,776,053","399,229,368,708","478,880,878,232","525,896,213,381","604,709,423,914","477,146,678,646","523,795,218,688","574,348,094,423","346,474,563,320","301,911,919,359","308,885,770,229","327,384,488,390","473,515,250,591","378,642,878,082","308,406,170,199","468,898,198,221","548,146,562,093"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,115,299,416,498",,"1,708,941,703,554","205,821,703,554","195,371,579,943",,"447,979,528,184","498,784,481,913","695,566,844,831","793,683,327,105","114,907,281,691","294,644,590,330","210,051,105,557","876,933,138,834","1,961,691,891,643","425,949,924,664","82,577,712,946","363,207,712,946","486,850,000,000","333,279,723,288","119,578,437,338","208,350,000,000","167,759,200,000","157,706,025,485","159,500,000,000","456,012,000,000","316,066,903,979","173,460,000,000","368,000,000,000","387,485,000,000","152,517,958,904","691,055,000,000","161,173,334,167","363,000,000,000","614,500,000,000","502,830,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"721,000,000,000",,"788,147,593,837","1,533,100,000,000","1,777,055,500,000",,"1,747,154,728,750","1,560,566,728,750","1,362,595,206,426","1,194,716,425,494","1,933,684,795,752","2,043,122,604,462","2,020,563,744,575","1,916,270,008,987","1,260,886,261,056","1,600,539,000,000","1,389,841,347,855","1,600,672,347,855","2,081,751,000,000","2,418,711,000,000","1,751,365,000,000","2,170,067,731,507","2,216,319,731,507","2,404,009,000,000","1,833,923,600,000","2,018,188,058,904","2,628,934,600,000","2,964,442,500,000","2,284,224,696,800","2,924,212,600,910","3,494,947,600,910","2,724,089,696,800","2,936,609,885,100","3,579,535,045,205","3,341,579,228,767","3,282,999,912,329"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"721,000,000,000",,,"1,533,100,000,000","1,777,055,500,000",,"1,747,154,728,750","1,560,566,728,750","1,362,595,206,426","1,194,716,425,494","1,933,684,795,752","2,043,122,604,462","2,020,563,744,575","1,916,270,008,987","1,260,886,261,056","1,600,539,000,000","1,389,841,347,855","1,600,672,347,855","2,081,751,000,000","2,418,711,000,000","1,751,365,000,000","2,170,067,731,507","2,216,319,731,507","2,404,009,000,000","1,833,923,600,000","2,018,188,058,904","2,628,934,600,000","2,964,442,500,000","2,284,224,696,800","2,924,212,600,910","3,494,947,600,910","2,724,089,696,800","2,936,609,885,100","3,579,535,045,205","3,341,579,228,767","3,282,999,912,329"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"498,936,743,920",,"558,289,207,817","646,570,548,557","471,602,213,449",,"450,139,235,320","326,410,565,400","373,304,800,425","467,654,103,157","539,097,835,981","502,811,636,002","494,956,124,702","631,417,780,613","491,744,961,156","422,124,879,215","448,687,305,919","411,808,902,371","446,967,541,724","315,908,016,715","359,404,351,587","462,049,966,782","524,318,321,032","377,360,736,669","377,592,176,515","518,846,124,337","471,279,613,918","459,144,047,244","509,383,865,586","582,404,717,111","628,161,023,477","427,355,270,641","434,397,107,431","448,928,274,531","444,669,813,988","248,444,749,496"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"303,621,699,026",,"267,874,326,533","546,153,149,749","250,462,144,545",,"267,738,497,873","213,287,670,871","242,111,173,971","314,327,813,050","354,601,259,267","309,021,878,391","288,999,381,277","353,367,414,685","320,069,119,218","226,096,261,767","269,424,502,945","232,120,950,705","292,700,642,129","38,390,660,549","226,933,205,037","258,207,114,461","275,962,857,048","133,254,864,696","247,411,216,197","338,661,866,667","334,659,866,391","316,219,648,970","318,369,335,070","326,009,010,064","334,492,888,444","328,641,570,393","285,841,132,719","284,648,976,165","289,062,391,253","145,328,585,860"
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,767,734,438",,"185,621,174,929","58,206,020,616","109,114,718,676",,"104,307,167,442","44,968,323,570","55,682,289,422","72,590,522,494","120,784,453,051","63,335,260,130","76,167,183,823","99,950,926,604","85,744,032,136","90,535,570,883","85,974,660,125","80,443,228,234","64,740,317,611","46,966,139,842","57,045,391,045","50,993,362,743","69,614,719,136","53,774,582,217","80,419,462,587","78,831,047,297","48,618,325,977","71,056,556,637","72,307,514,739","67,569,225,155","62,681,471,041","37,882,385,029","72,586,356,240","58,133,358,583","57,946,120,494","33,945,515,666"
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,300,000,000",,"57,300,000,000",,"49,969,846,000","28,000,000,000","25,500,000,000","17,500,000,000","15,000,000,000","15,000,000,000","15,000,000,000","15,000,000,000","15,000,000,000","15,000,000,000","12,900,000,000","12,900,000,000","12,400,000,000","12,400,000,000","12,400,000,000",,,,,,,,,,,,,,,
