TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,"119,826,781,931",,"119,826,781,931","119,826,781,931","168,667,052,211","168,667,052,211","168,667,052,211","168,667,052,211","137,377,390,071","137,377,390,071","137,377,390,071","137,377,390,071","137,178,641,016","137,178,641,016","137,178,641,016","137,178,641,016",,"130,047,385,255",,,"129,108,748,880","158,995,754,574","139,072,481,913","139,673,184,582","147,610,082,609","147,715,974,327","136,214,018,162","135,796,114,429","133,513,842,821","136,859,557,553","135,579,011,323","154,563,598,962","157,390,718,306","155,885,582,992","150,718,415,633","140,158,114,594","138,279,216,657","155,143,145,661","165,493,028,158","177,779,304,196","185,445,517,662","183,893,613,393","205,964,625,220","200,788,819,120","178,971,172,607","193,909,332,407","219,157,060,021","208,281,812,362","200,908,068,412","197,599,946,988","216,699,742,015","197,374,053,611","197,880,489,978",,"237,517,199,588","224,521,409,319"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,"37,978,863,377",,"37,978,863,377","37,978,863,377","43,918,239,957","43,918,239,957","43,918,239,957","43,918,239,957","54,223,198,968","54,223,198,968","54,223,198,968","54,223,198,968","55,487,287,749","55,487,287,749","55,487,287,749","55,487,287,749",,"34,251,315,833",,,"32,873,416,369","35,623,761,952","18,885,943,586","21,871,503,671","15,548,751,724","38,448,969,577","11,111,517,575","10,774,860,152","13,139,521,240","14,770,726,408","5,297,484,101","12,254,932,776","19,955,694,771","14,038,342,435","12,816,051,152","13,979,627,567","16,037,515,028","15,904,143,122","18,840,073,846","13,568,030,468","11,207,708,915","23,794,294,900","20,522,733,742","14,456,069,036","8,568,742,320","7,689,542,525","16,405,093,380","22,744,993,365","19,416,884,336","15,108,860,011","16,376,412,988","25,303,387,002","15,040,480,528",,"17,165,741,848","29,528,607,541"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,"10,361,438,338",,"10,361,438,338","10,361,438,338","5,942,822,378","5,942,822,378","5,942,822,378","5,942,822,378","2,923,198,968","2,923,198,968","2,923,198,968","2,923,198,968","8,187,287,749","8,187,287,749","8,187,287,749","8,187,287,749",,"6,651,315,833",,,"15,873,416,369","7,589,317,508","8,885,943,586","11,871,503,671","15,548,751,724","38,448,969,577","11,111,517,575","5,774,860,152","3,139,521,240","8,770,726,408","3,297,484,101","6,254,932,776","9,955,694,771","9,038,342,435","7,816,051,152","8,979,627,567","11,037,515,028","10,904,143,122","13,840,073,846","8,568,030,468","6,207,708,915","12,791,205,150","20,522,733,742","14,456,069,036","8,568,742,320","7,689,542,525","16,405,093,380","14,744,993,365","16,318,701,613","12,108,860,011","16,376,412,988","25,303,387,002","14,588,733,578",,"16,713,994,898","19,528,607,541"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,"27,617,425,039",,"27,617,425,039","27,617,425,039","37,975,417,579","37,975,417,579","37,975,417,579","37,975,417,579","51,300,000,000","51,300,000,000","51,300,000,000","51,300,000,000","47,300,000,000","47,300,000,000","47,300,000,000","47,300,000,000",,"27,600,000,000",,,"17,000,000,000","28,034,444,444","10,000,000,000","10,000,000,000",,,,"5,000,000,000","10,000,000,000","6,000,000,000","2,000,000,000","6,000,000,000","10,000,000,000","5,000,000,000","5,000,000,000","5,000,000,000","5,000,000,000","5,000,000,000","5,000,000,000","5,000,000,000","5,000,000,000","11,003,089,750",,,,,,"8,000,000,000","3,098,182,723","3,000,000,000",,,"451,746,950",,"451,746,950","10,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,"3,668,041,667",,"3,668,041,667","3,668,041,667","4,190,126,264","4,190,126,264","4,190,126,264","4,190,126,264",,,,,,,,,,,,,,,,,"10,000,000,000","7,000,000,000","7,000,000,000","7,000,000,000","7,000,000,000","12,000,000,000","8,000,000,000","8,000,000,000","7,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","4,871,196,250","5,229,284,750","5,458,104,550","5,518,023,490","4,910,475,090","1,587,327,000","1,591,886,916","551,421,866","551,421,866","732,604,950","7,788,000",,"280,858,000","328,425,400"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000,000","7,000,000,000","7,000,000,000","7,000,000,000","7,000,000,000","12,000,000,000","8,000,000,000","8,000,000,000","7,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","4,871,196,250","5,229,284,750","5,458,104,550","5,518,023,490","4,910,475,090","1,587,327,000","1,591,886,916","551,421,866","551,421,866","732,604,950","7,788,000",,"280,858,000","328,425,400"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,"33,802,467,085",,"33,802,467,085","33,802,467,085","87,261,806,710","87,261,806,710","87,261,806,710","87,261,806,710","44,605,816,788","44,605,816,788","44,605,816,788","44,605,816,788","38,966,990,051","38,966,990,051","38,966,990,051","38,966,990,051",,"49,343,878,024",,,"52,527,876,469","65,501,689,100","60,931,661,952","67,964,911,009","69,012,864,630","51,054,469,834","59,743,199,021","69,643,346,311","70,654,278,624","62,589,087,161","73,424,725,646","78,932,609,652","66,827,790,266","69,054,487,447","76,133,372,143","64,275,457,334","60,126,619,299","66,730,872,257","67,615,256,821","80,323,155,789","95,933,413,895","91,449,258,752","105,780,276,422","101,506,671,119","88,573,271,155","101,505,491,379","115,158,760,497","95,216,611,799","97,138,348,521","101,510,458,899","119,278,538,061","95,135,557,221","98,875,194,561",,"120,088,019,478","101,300,692,597"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,"25,140,972,922",,"25,140,972,922","25,140,972,922","29,158,499,148","29,158,499,148","29,158,499,148","29,158,499,148","28,503,284,353","28,503,284,353","28,503,284,353","28,503,284,353","33,467,119,360","33,467,119,360","33,467,119,360","33,467,119,360",,"36,091,448,447",,,"38,484,915,107","53,669,850,423","48,848,922,644","54,300,311,866","64,086,278,491","46,682,637,391","51,481,845,058","62,639,817,489","63,915,603,426","55,805,269,767","65,411,168,317","72,924,365,855","63,342,215,266","63,263,856,847","73,954,282,622","62,760,835,248","55,491,284,931","63,376,556,926","66,126,640,977","76,876,406,678","89,092,414,094","88,576,002,343","100,454,911,727","97,380,579,092","88,795,809,962","100,227,144,158","106,245,181,631","94,634,973,332","90,885,934,048","95,863,073,596","116,048,589,436","93,208,717,756","91,822,528,374",,"119,107,080,269","102,839,895,413"
