TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,"1,086,588,104,710","1,086,588,104,710","1,086,588,104,710","1,086,588,104,710","1,057,263,116,031","1,057,263,116,031","1,057,263,116,031","1,057,263,116,031","1,118,392,786,317","1,118,392,786,317","1,118,392,786,317","1,118,392,786,317","1,186,360,203,930","1,186,360,203,930","1,186,360,203,930","1,186,360,203,930","1,521,147,298,535","1,521,147,298,535","1,521,147,298,535","1,521,147,298,535","1,299,687,880,053","1,299,687,880,053","1,299,687,880,053","1,299,687,880,053","1,523,608,052,630","1,523,608,052,630","1,523,608,052,630","1,523,608,052,630",,"1,491,869,464,240",,,"1,506,729,560,750","1,481,362,572,144","1,540,262,942,762","1,300,506,558,902","1,322,284,177,142","1,290,953,689,647","1,163,890,275,864","2,429,932,379,309","1,441,900,761,580","1,218,944,521,861","1,259,061,176,958","1,129,767,391,294","1,253,162,376,391","1,340,124,560,331","1,065,330,224,107","1,335,316,311,749","1,215,460,380,760","873,257,602,326","939,347,962,895","810,901,516,144","969,609,708,605","978,516,558,119","779,786,636,775","980,417,265,482","688,940,454,635","726,137,422,964","826,211,203,855","781,517,543,652","712,600,180,317","820,761,621,478","758,856,802,456","657,638,685,869","476,299,093,983",,"518,667,437,240","511,510,042,652"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,"48,954,875,646","48,954,875,646","48,954,875,646","48,954,875,646","58,548,616,505","58,548,616,505","58,548,616,505","58,548,616,505","95,798,120,399","95,798,120,399","95,798,120,399","95,798,120,399","22,089,193,674","22,089,193,674","22,089,193,674","22,089,193,674","222,309,481,633","222,309,481,633","222,309,481,633","222,309,481,633","471,888,793,535","471,888,793,535","471,888,793,535","471,888,793,535","343,978,985,497","343,978,985,497","343,978,985,497","343,978,985,497",,"386,263,022,926",,,"554,734,601,181","375,285,112,886","404,459,031,861","216,843,435,731","290,533,930,755","296,858,673,927","291,049,621,208","326,483,621,660","250,443,528,805","368,481,477,572","299,123,264,840","286,041,376,324","180,101,797,513","165,912,687,832","166,772,201,886","85,023,817,171","160,310,439,189","58,521,476,416","128,068,016,773","201,900,660,890","180,887,478,711","175,171,362,182","215,092,650,583","105,335,519,094","173,086,498,861","227,403,132,604","284,831,584,636","137,519,923,801","121,845,125,917","20,176,747,690","155,177,101,780","122,812,302,266","53,490,643,908",,"96,822,459,498","89,293,046,945"
1. Tiền,,,,,,,,,,,,,"48,954,875,646","48,954,875,646","48,954,875,646","48,954,875,646","8,548,616,505","8,548,616,505","8,548,616,505","8,548,616,505","55,798,120,399","55,798,120,399","55,798,120,399","55,798,120,399","22,089,193,674","22,089,193,674","22,089,193,674","22,089,193,674","5,309,481,633","5,309,481,633","5,309,481,633","5,309,481,633","8,188,793,535","8,188,793,535","8,188,793,535","8,188,793,535","114,978,985,497","114,978,985,497","114,978,985,497","114,978,985,497",,"27,263,022,926",,,"29,734,601,181","8,285,112,886","5,459,031,861","3,843,435,731","52,533,930,755","3,858,673,927","77,049,621,208","1,483,621,660","3,443,528,805","6,981,477,572","11,123,264,840","141,376,324","1,101,797,513","2,912,687,832","2,372,201,886","373,817,171","1,310,439,189","521,476,416","2,068,016,773","400,660,890","487,478,711","1,841,362,182","592,650,583","2,335,519,094","3,086,498,861","1,403,132,604","4,531,584,636","2,019,923,801","1,845,125,917","2,176,747,690","19,177,101,780","1,812,302,266","2,490,643,908",,"6,822,459,498","1,293,046,945"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,"50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","40,000,000,000","40,000,000,000","40,000,000,000","40,000,000,000",,,,,"217,000,000,000","217,000,000,000","217,000,000,000","217,000,000,000","463,700,000,000","463,700,000,000","463,700,000,000","463,700,000,000","229,000,000,000","229,000,000,000","229,000,000,000","229,000,000,000",,"359,000,000,000",,,"525,000,000,000","367,000,000,000","399,000,000,000","213,000,000,000","238,000,000,000","293,000,000,000","214,000,000,000","325,000,000,000","247,000,000,000","361,500,000,000","288,000,000,000","285,900,000,000","179,000,000,000","163,000,000,000","164,400,000,000","84,650,000,000","159,000,000,000","58,000,000,000","126,000,000,000","201,500,000,000","180,400,000,000","173,330,000,000","214,500,000,000","103,000,000,000","170,000,000,000","226,000,000,000","280,300,000,000","135,500,000,000","120,000,000,000","18,000,000,000","136,000,000,000","121,000,000,000","51,000,000,000",,"90,000,000,000","88,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"540,000,000,000","540,000,000,000","540,000,000,000","540,000,000,000","607,000,000,000","607,000,000,000","607,000,000,000","607,000,000,000","629,000,000,000","629,000,000,000","629,000,000,000","629,000,000,000",,"623,000,000,000",,,"518,000,000,000","618,500,000,000","610,500,000,000","620,500,000,000","652,000,000,000","622,000,000,000","432,000,000,000","552,000,000,000","400,000,000,000","561,320,000,000","561,320,000,000","598,320,000,000","602,970,000,000","551,650,000,000","501,650,000,000","434,650,000,000","624,650,000,000","534,650,000,000","522,650,000,000","382,650,000,000","402,650,000,000","372,650,000,000","322,650,000,000","302,650,000,000","352,650,000,000","272,650,000,000","222,650,000,000","257,650,000,000","313,000,000,000","305,000,000,000","244,000,000,000","255,000,000,000","170,000,000,000",,"160,000,000,000","200,000,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"518,000,000,000","618,500,000,000","610,500,000,000","620,500,000,000","652,000,000,000","622,000,000,000","432,000,000,000","552,000,000,000","400,000,000,000","561,320,000,000","561,320,000,000","598,320,000,000","602,970,000,000","551,650,000,000","501,650,000,000","434,650,000,000","624,650,000,000","534,650,000,000","522,650,000,000","382,650,000,000","402,650,000,000","372,650,000,000","322,650,000,000","302,650,000,000","352,650,000,000","272,650,000,000","222,650,000,000","257,650,000,000","313,000,000,000","305,000,000,000","244,000,000,000","255,000,000,000","170,000,000,000",,"160,000,000,000","200,000,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,"897,813,641,447","897,813,641,447","897,813,641,447","897,813,641,447","871,356,763,478","871,356,763,478","871,356,763,478","871,356,763,478","899,103,617,581","899,103,617,581","899,103,617,581","899,103,617,581","1,052,785,484,653","1,052,785,484,653","1,052,785,484,653","1,052,785,484,653","622,032,159,395","622,032,159,395","622,032,159,395","622,032,159,395","48,017,527,072","48,017,527,072","48,017,527,072","48,017,527,072","395,089,371,772","395,089,371,772","395,089,371,772","395,089,371,772",,"329,343,954,227",,,"276,014,357,429","305,142,451,432","350,114,653,392","300,717,229,874","208,307,281,530","175,280,768,951","293,949,299,559","1,384,325,125,368","639,600,309,634","125,718,913,439","242,961,260,286","70,732,408,597","311,363,344,544","406,923,042,697","195,503,764,907","652,418,702,381","244,462,246,846","101,810,781,404","108,140,974,487","101,837,975,182","273,089,547,273","317,812,850,043","106,523,837,272","450,450,952,490","28,767,632,761","98,243,858,007","186,671,057,476","253,604,611,857","139,485,858,046","302,351,960,217","172,002,439,108","83,993,313,079","64,562,107,429",,"84,359,432,096","50,837,201,160"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,"260,119,926,001","260,119,926,001","260,119,926,001","260,119,926,001","336,848,187,142","336,848,187,142","336,848,187,142","336,848,187,142","404,317,538,364","404,317,538,364","404,317,538,364","404,317,538,364","572,806,621,151","572,806,621,151","572,806,621,151","572,806,621,151","602,864,906,011","602,864,906,011","602,864,906,011","602,864,906,011","31,065,311,411","31,065,311,411","31,065,311,411","31,065,311,411","367,935,726,426","367,935,726,426","367,935,726,426","367,935,726,426",,"323,132,434,971",,,"265,541,104,822","297,991,459,102","341,947,072,845","269,527,157,047","197,937,256,639","154,971,580,932","279,219,819,248","578,889,548,592","626,394,172,087","105,698,678,704","226,979,956,254","52,092,009,436","287,571,349,580","386,523,741,619","178,540,933,766","625,633,795,999","232,306,696,180","76,417,908,080","89,118,699,506","75,680,346,705","256,840,726,402","290,278,657,702","86,695,736,856","425,272,880,877","13,005,050,225","83,767,853,005","179,769,988,481","244,049,370,521","88,445,941,092","293,991,364,700","154,755,778,151","51,211,817,437","53,190,360,932",,"80,530,870,013","48,642,892,034"
