TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,"148,164,785,545","148,164,785,545","136,412,146,673","136,412,146,673","136,412,146,673","136,412,146,673","131,866,666,705","131,866,666,705","131,866,666,705","131,866,666,705","158,832,731,634","158,832,731,634","158,832,731,634","158,832,731,634","130,750,859,221","130,750,859,221","130,750,859,221","130,750,859,221","138,960,232,668","138,960,232,668","138,960,232,668","138,960,232,668","110,451,424,701","110,451,424,701","110,451,424,701","110,451,424,701",,"147,433,519,557",,,"132,157,510,539","112,836,972,980","103,999,066,541","94,567,554,939","110,553,723,060","123,154,022,977","140,436,792,715","124,619,234,967","136,591,183,070","151,796,217,894","167,569,166,028","139,135,242,104","145,221,829,299","137,795,121,329","150,271,706,328","143,721,741,670","135,766,095,531","122,294,552,940","88,802,113,076","84,138,271,919","89,297,327,341","89,515,381,990","95,815,840,408","88,123,704,387","93,118,525,002","106,969,421,058","116,650,309,288","122,502,011,066","143,268,653,434","164,967,423,378","161,597,611,563","164,296,211,956","170,814,559,742","186,718,927,648","184,996,550,784","171,543,931,538"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,"53,818,501,217","53,818,501,217","45,587,874,528","45,587,874,528","45,587,874,528","45,587,874,528","42,733,715,884","42,733,715,884","42,733,715,884","42,733,715,884","76,700,436,410","76,700,436,410","76,700,436,410","76,700,436,410","59,088,404,789","59,088,404,789","59,088,404,789","59,088,404,789","55,660,552,187","55,660,552,187","55,660,552,187","55,660,552,187","61,506,719,534","61,506,719,534","61,506,719,534","61,506,719,534",,"90,714,133,179",,,"72,588,292,029","58,740,426,423","46,454,878,823","51,544,007,434","55,950,047,518","77,363,404,119","59,435,236,954","57,901,332,933","59,753,795,430","30,402,470,001","41,842,054,972","46,853,455,891","29,827,012,906","34,260,869,207","46,897,718,879","29,704,801,539","11,388,660,546","8,594,920,265","8,092,520,812","11,178,489,914","6,940,392,652","13,506,732,586","20,763,356,340","15,336,994,832","11,135,484,956","13,522,352,661","9,630,676,593","18,307,676,244","25,078,090,653","38,974,814,196","29,150,335,642","42,897,975,301","72,022,953,096","95,872,125,665","95,345,181,227","73,533,142,843"
1. Tiền,,,,,,,,,,,,,,,"8,257,103,607","8,257,103,607","5,591,687,043","5,591,687,043","5,591,687,043","5,591,687,043","9,272,407,746","9,272,407,746","9,272,407,746","9,272,407,746","7,657,960,327","7,657,960,327","7,657,960,327","7,657,960,327","4,496,697,372","4,496,697,372","4,496,697,372","4,496,697,372","3,219,566,331","3,219,566,331","3,219,566,331","3,219,566,331","2,606,367,678","2,606,367,678","2,606,367,678","2,606,367,678",,"2,956,819,321",,,"3,351,314,781","2,103,153,642","8,647,495,967","4,336,615,270","4,442,646,236","3,155,993,607","3,527,817,099","3,184,903,722","3,546,357,020","3,195,022,218","5,504,571,337","6,147,286,785","6,276,821,741","6,316,391,106","4,112,393,738","16,526,370,876","4,750,431,474","6,572,074,058","4,547,972,340","9,155,673,139","6,617,590,847","3,883,948,760","3,240,593,118","4,114,252,214","5,112,763,068","9,199,651,440","9,607,995,976","13,285,016,231","20,855,451,370","13,552,195,580","24,777,737,630","15,775,397,893","30,400,396,458","23,749,589,694","29,022,645,256","53,510,606,872"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,"45,561,397,610","45,561,397,610","39,996,187,485","39,996,187,485","39,996,187,485","39,996,187,485","33,461,308,138","33,461,308,138","33,461,308,138","33,461,308,138","69,042,476,083","69,042,476,083","69,042,476,083","69,042,476,083","54,591,707,417","54,591,707,417","54,591,707,417","54,591,707,417","52,440,985,856","52,440,985,856","52,440,985,856","52,440,985,856","58,900,351,856","58,900,351,856","58,900,351,856","58,900,351,856",,"87,757,313,858",,,"69,236,977,248","56,637,272,781","37,807,382,856","47,207,392,164","51,507,401,282","74,207,410,512","55,907,419,855","54,716,429,211","56,207,438,410","27,207,447,783","36,337,483,635","40,706,169,106","23,550,191,165","27,944,478,101","42,785,325,141","13,178,430,663","6,638,229,072","2,022,846,207","3,544,548,472","2,022,816,775","322,801,805","9,622,783,826","17,522,763,222","11,222,742,618","6,022,721,888","4,322,701,221","22,680,617","5,022,660,013","4,222,639,283","25,422,618,616","4,372,598,012","27,122,577,408","41,622,556,638","72,122,535,971","66,322,535,971","20,022,535,971"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,"1,085,513,000","1,085,513,000","387,207,000","387,207,000","387,207,000","387,207,000","340,700,000","340,700,000","340,700,000","340,700,000","255,525,000","255,525,000","255,525,000","255,525,000","302,536,000","302,536,000","302,536,000","302,536,000","10,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000",,,,,,,,,,,,,,,,,,"49,600,000,000","53,100,000,000","60,200,000,000","82,500,000,000","75,900,000,000","72,900,000,000","66,798,000,000","73,397,596,800","69,217,123,227","49,200,000,000","48,450,000,000","46,650,000,000","40,050,000,000","35,050,000,000","34,500,000,000","45,700,000,000","55,860,000,000","68,140,000,000","59,480,000,000","65,200,000,000","67,800,000,000","75,400,000,000","64,790,000,000","43,490,000,000","35,150,000,000","29,800,000,000","37,100,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599,596,800",,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,"-1,597,846,783","-1,597,846,783","-451,363,000","-451,363,000","-451,363,000","-451,363,000","-546,280,000","-546,280,000","-546,280,000","-546,280,000","-631,455,000","-631,455,000","-631,455,000","-631,455,000","-584,444,000","-584,444,000","-584,444,000","-584,444,000",,,,,,,,,,,,,,,,,,,,,,"49,600,000,000","53,100,000,000","60,200,000,000","82,500,000,000","75,900,000,000","72,900,000,000","66,798,000,000","72,798,000,000","69,217,123,227","49,200,000,000","48,450,000,000","46,650,000,000","40,050,000,000","35,050,000,000","34,500,000,000","45,700,000,000","55,860,000,000","68,140,000,000","59,480,000,000","65,200,000,000","67,800,000,000","75,400,000,000","64,790,000,000","43,490,000,000","35,150,000,000","29,800,000,000","37,100,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,"66,712,154,316","66,712,154,316","45,895,802,927","45,895,802,927","45,895,802,927","45,895,802,927","39,189,985,833","39,189,985,833","39,189,985,833","39,189,985,833","43,134,823,560","43,134,823,560","43,134,823,560","43,134,823,560","31,420,534,705","31,420,534,705","31,420,534,705","31,420,534,705","32,703,561,789","32,703,561,789","32,703,561,789","32,703,561,789","9,887,501,857","9,887,501,857","9,887,501,857","9,887,501,857",,"14,890,943,870",,,"11,910,909,282","15,503,994,027","13,695,252,295","7,649,494,238","9,315,869,307","8,947,915,477","29,650,859,943","29,981,302,158","33,213,325,699","29,392,468,731","28,487,147,281","2,111,621,542","6,318,276,212","2,773,899,116","3,523,368,493","19,524,306,959","14,230,123,151","15,146,132,138","5,715,351,364","5,724,942,023","9,651,886,489","10,511,522,016","13,335,535,513","12,508,627,731","11,076,755,823","13,723,285,573","12,826,391,008","15,500,046,786","22,006,290,273","23,924,201,271","17,955,163,519","16,465,120,708","16,272,715,985","15,087,502,338","12,660,337,854","8,870,010,260"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,"2,044,133,676","2,044,133,676","1,320,404,091","1,320,404,091","1,320,404,091","1,320,404,091","2,710,554,682","2,710,554,682","2,710,554,682","2,710,554,682","4,475,362,187","4,475,362,187","4,475,362,187","4,475,362,187","3,129,736,645","3,129,736,645","3,129,736,645","3,129,736,645","5,899,049,748","5,899,049,748","5,899,049,748","5,899,049,748","3,207,340,857","3,207,340,857","3,207,340,857","3,207,340,857",,"2,739,780,077",,,"1,181,339,021","766,891,036","417,376,317","352,916,548","495,446,550","339,658,303","492,016,608","348,606,738","4,403,463,243","582,954,603","293,467,696","197,847,898","4,659,493,602","951,841,014","658,835,718","1,406,146,006","2,513,528,876","63,558,013","82,200,000","361,934,006","3,492,358,083","4,000,655,336","5,289,645,379","2,608,435,048","726,038,605","4,469,761,483","4,256,947,678","120,000,000","5,096,442,602","5,381,200,796","1,608,565,749","990,514,772","2,548,074,797","3,731,874,780","2,106,780,920","1,533,715,035"
