TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"431,860,162,014","431,860,162,014","431,860,162,014","431,860,162,014",,"418,582,242,577",,,"462,440,374,504","307,738,343,538","219,301,915,606","478,050,749,243","578,351,191,976","453,884,592,597","499,352,581,966","660,217,613,773","382,643,743,384","383,950,674,180","222,316,314,890","353,108,467,596","275,184,696,510","336,440,373,666","238,015,065,905","352,788,117,545","268,841,530,747","285,257,468,714","235,567,334,201","454,438,701,091","316,940,367,047","311,514,945,846","193,529,241,293","395,359,537,727","450,948,769,541","387,809,684,552","483,249,468,500","628,227,540,583","586,400,591,588","597,681,154,035","492,235,391,416","573,194,499,212","454,437,834,788",,"408,875,495,515","525,478,385,480"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,109,134,402","115,109,134,402","115,109,134,402","115,109,134,402",,"271,399,483,844",,,"362,741,556,000","199,994,553,304","118,831,782,333","194,158,296,828","419,619,786,516","368,565,764,211","216,192,103,243","501,318,675,404","315,760,804,702","263,142,368,032","53,776,519,197","918,953,038","139,599,273,462","138,614,006,180","56,276,618,870","179,174,174,566","42,516,774,221","179,796,329,557","78,876,876,590","269,707,837,090","264,563,777,510","159,631,204,836","13,557,661,371","91,038,683,484","314,514,182,800","128,185,517,350","185,465,899,495","251,256,101,502","289,935,630,935","376,707,536,138","256,184,306,086","113,250,882,968","249,654,526,299",,"211,608,493,744","197,904,679,948"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,191,954,365","32,191,954,365","32,191,954,365","32,191,954,365",,"43,048,093,718",,,"5,139,893,458","1,240,637,015","2,529,121,000","772,500,788","4,386,645,388","8,795,834,615","10,060,948,265","21,755,172,820","6,748,042,486","37,835,698,263","1,200,080,841","918,953,038","33,099,273,462","37,930,882,267","16,276,618,870","179,174,174,566","35,516,774,221","11,796,329,557","20,876,876,590","151,707,837,090","31,563,777,510","6,631,204,836","11,557,661,371","5,038,683,484","8,514,182,800","7,185,517,350","60,465,899,495","116,256,101,502","44,935,630,935","8,707,536,138","6,184,306,086","10,250,882,968","34,654,526,299",,"21,608,493,744","10,904,679,948"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,917,180,037","82,917,180,037","82,917,180,037","82,917,180,037",,"228,351,390,126",,,"357,601,662,542","198,753,916,289","116,302,661,333","193,385,796,040","415,233,141,128","359,769,929,596","206,131,154,978","479,563,502,584","309,012,762,216","225,306,669,769","52,576,438,356",,"106,500,000,000","100,683,123,913","40,000,000,000",,"7,000,000,000","168,000,000,000","58,000,000,000","118,000,000,000","233,000,000,000","153,000,000,000","2,000,000,000","86,000,000,000","306,000,000,000","121,000,000,000","125,000,000,000","135,000,000,000","245,000,000,000","368,000,000,000","250,000,000,000","103,000,000,000","215,000,000,000",,"190,000,000,000","187,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"900,000,000",,,,"6,500,000,000","191,562,557,576","26,500,000,000","26,500,000,000","61,500,000,000","6,500,000,000","6,500,000,000",,,,,"130,000,000,000",,,,,,,,,"60,000,000,000","50,000,000,000","20,000,000,000",,,,"30,000,000,000","30,000,000,000",,"125,000,000","20,000,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"900,000,000",,,,"6,500,000,000","191,562,557,576","26,500,000,000","26,500,000,000","61,500,000,000","6,500,000,000","6,500,000,000",,,,,"130,000,000,000",,,,,,,,,"60,000,000,000","50,000,000,000","20,000,000,000",,,,"30,000,000,000","30,000,000,000",,"125,000,000","20,000,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264,274,479,174","264,274,479,174","264,274,479,174","264,274,479,174",,"99,732,821,242",,,"54,422,284,116","67,013,732,666","93,116,805,659","276,167,744,916","151,090,551,375","71,085,306,610","83,741,766,488","123,148,081,040","29,842,416,530","50,643,761,486","153,281,690,245","333,873,543,132","94,385,352,375","130,295,508,244","121,632,224,440","144,498,830,659","78,249,186,112","94,572,697,537","145,581,805,712","177,103,429,373","43,614,344,029","142,354,359,892","170,587,600,697","296,991,649,943","128,342,969,827","190,848,531,888","238,911,142,486","342,555,545,971","281,704,049,718","205,847,892,616","220,432,718,514","424,297,979,667","168,857,567,928",,"191,613,395,045","303,007,362,154"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"263,927,703,147","263,927,703,147","263,927,703,147","263,927,703,147",,"96,584,723,104",,,"52,734,171,735","63,861,537,848","90,851,767,305","273,971,870,613","149,293,428,769","67,193,773,720","79,444,089,486","118,291,992,076","72,484,567","35,525,089,458","42,945,765,901","224,832,087,552","78,941,443,148","113,901,280,279","116,202,185,894","142,177,150,477","75,865,646,773","90,537,225,625","144,017,557,001","175,910,234,667","41,097,569,232","140,633,015,039","169,358,552,285","296,194,105,794","126,715,132,959","187,194,925,341","233,996,608,938","337,087,108,314","274,765,552,795","201,500,578,554","215,824,826,503","419,443,662,957","163,854,109,181",,"187,942,990,460","301,656,500,147"
