TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,"1,680,525,573,321","1,680,525,573,321","1,680,525,573,321","1,680,525,573,321","1,483,175,070,037","1,483,175,070,037","1,483,175,070,037","1,483,175,070,037","1,062,596,397,719","1,062,596,397,719","1,062,596,397,719","1,062,596,397,719","978,624,898,938","978,624,898,938","978,624,898,938","978,624,898,938","913,826,439,831","913,826,439,831","913,826,439,831","913,826,439,831","934,212,419,029","934,212,419,029","934,212,419,029","934,212,419,029",,"1,156,274,446,589",,,"1,483,497,436,158","1,479,069,530,775","1,490,075,223,596","1,302,540,396,284","1,542,767,972,408","1,623,696,967,214","1,905,337,387,002","1,683,622,146,566","1,967,147,121,018","2,021,911,755,680","2,178,587,086,989","2,297,583,720,522","2,439,353,657,555","3,065,532,525,727","2,991,109,666,630",,"3,153,231,567,056","3,069,637,679,384","3,055,208,851,345","2,921,847,602,873","3,126,654,827,686","3,215,365,453,113","3,739,979,780,649","3,650,198,046,241","3,497,028,797,333","3,541,811,900,079","3,803,281,876,108","3,402,609,795,247","3,234,754,675,314","3,366,116,034,817","3,677,882,981,289","3,247,345,451,532",,"3,587,665,352,310","3,962,958,353,899",
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,"158,728,048,366","158,728,048,366","158,728,048,366","158,728,048,366","62,261,127,067","62,261,127,067","62,261,127,067","62,261,127,067","62,869,375,345","62,869,375,345","62,869,375,345","62,869,375,345","48,152,461,336","48,152,461,336","48,152,461,336","48,152,461,336","95,796,892,297","95,796,892,297","95,796,892,297","95,796,892,297","78,178,073,117","78,178,073,117","78,178,073,117","78,178,073,117",,"120,161,112,316",,,"131,291,825,753","129,243,914,453","159,841,777,560","124,827,048,776","164,515,465,646","124,458,227,795","356,219,770,300","165,550,542,660","208,246,625,003","138,975,968,531","192,927,334,215","431,260,569,910","233,765,878,928","213,225,384,054","213,719,555,215",,"296,052,802,088","330,707,088,170","361,121,297,294","191,007,309,544","279,571,022,097","331,737,649,510","390,114,138,218","346,808,496,149","310,300,403,769","298,398,826,985","371,654,425,350","376,144,313,129","253,394,381,756","393,286,892,626","608,583,417,327","525,856,345,129",,"474,869,945,278","536,522,065,195",
1. Tiền,,,,,,,,,,,,,,,,,"152,728,048,366","152,728,048,366","152,728,048,366","152,728,048,366","62,261,127,067","62,261,127,067","62,261,127,067","62,261,127,067","42,369,375,345","42,369,375,345","42,369,375,345","42,369,375,345","41,077,244,114","41,077,244,114","41,077,244,114","41,077,244,114","78,656,892,297","78,656,892,297","78,656,892,297","78,656,892,297","61,103,073,117","61,103,073,117","61,103,073,117","61,103,073,117",,"101,131,112,316",,,"86,891,825,753","100,243,914,453","112,831,719,860","63,816,991,076","88,251,228,141","79,215,260,289","276,584,202,295","116,290,380,829","139,946,625,003","127,975,968,531","180,927,334,215","394,260,569,910","148,216,069,220","122,614,478,254","127,679,555,215",,"137,632,322,815","219,707,088,170","266,121,297,294","125,577,923,224","279,571,022,097","271,517,649,510","253,964,138,218","240,800,803,637","250,300,403,769","278,898,826,985","356,454,425,350","331,144,313,129","238,394,381,756","357,286,892,626","573,583,417,327","477,036,345,129",,"440,703,189,236","505,902,275,848",
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,"6,000,000,000","6,000,000,000","6,000,000,000","6,000,000,000",,,,,"20,500,000,000","20,500,000,000","20,500,000,000","20,500,000,000","7,075,217,222","7,075,217,222","7,075,217,222","7,075,217,222","17,140,000,000","17,140,000,000","17,140,000,000","17,140,000,000","17,075,000,000","17,075,000,000","17,075,000,000","17,075,000,000",,"19,030,000,000",,,"44,400,000,000","29,000,000,000","47,010,057,700","61,010,057,700","76,264,237,505","45,242,967,506","79,635,568,005","49,260,161,831","68,300,000,000","11,000,000,000","12,000,000,000","37,000,000,000","85,549,809,708","90,610,905,800","86,040,000,000",,"158,420,479,273","111,000,000,000","95,000,000,000","65,429,386,320",,"60,220,000,000","136,150,000,000","106,007,692,512","60,000,000,000","19,500,000,000","15,200,000,000","45,000,000,000","15,000,000,000","36,000,000,000","35,000,000,000","48,820,000,000",,"34,166,756,042","30,619,789,347",
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,"4,988,740,000","4,988,740,000","4,988,740,000","4,988,740,000","1,405,225,000","1,405,225,000","1,405,225,000","1,405,225,000","21,083,568,126","21,083,568,126","21,083,568,126","21,083,568,126","21,560,138,311","21,560,138,311","21,560,138,311","21,560,138,311","17,144,438,205","17,144,438,205","17,144,438,205","17,144,438,205","1,434,471,763","1,434,471,763","1,434,471,763","1,434,471,763",,"238,845,000,000",,,"252,991,237,505","240,908,237,505","241,923,237,505","241,116,237,505","226,715,000,000","167,715,000,000","167,775,000,000","179,775,420,502","201,448,886,501","210,787,777,537","224,034,612,595","224,007,612,595","411,846,571,499","1,142,276,173,261","1,141,836,173,261",,"1,199,834,894,357","1,090,522,459,105","1,068,908,783,002","1,067,035,512,749","1,108,465,385,741","1,123,128,588,999","1,223,069,629,232","1,157,716,672,058","1,061,111,472,203","1,063,324,487,187","1,285,908,680,326","1,082,535,940,406","832,982,013,616","937,060,013,616","1,043,370,543,491","1,099,061,029,695",,"1,164,096,529,695","1,223,773,029,476",
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,687,400,981",,"80,635,127,008",,"50,004,319,746",,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"238,845,000,000",,,"252,991,237,505","240,908,237,505","241,923,237,505","241,116,237,505","226,715,000,000","167,715,000,000","167,775,000,000","179,775,420,502","201,448,886,501","210,787,777,537","224,034,612,595","224,007,612,595","411,846,571,499","1,142,276,173,261","1,141,836,173,261",,"1,199,834,894,357","1,059,835,058,124","1,068,908,783,002","986,400,385,741","1,108,465,385,741","1,073,124,269,253","1,223,069,629,232","1,157,716,672,058","1,061,111,472,203","1,063,324,487,187","1,285,908,680,326","1,082,535,940,406","832,982,013,616","937,060,013,616","1,043,370,543,491","1,099,061,029,695",,"1,164,096,529,695","1,223,773,029,476",
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,"1,005,353,392,188","1,005,353,392,188","1,005,353,392,188","1,005,353,392,188","932,355,295,287","932,355,295,287","932,355,295,287","932,355,295,287","544,584,247,026","544,584,247,026","544,584,247,026","544,584,247,026","538,670,947,016","538,670,947,016","538,670,947,016","538,670,947,016","552,757,217,503","552,757,217,503","552,757,217,503","552,757,217,503","609,938,340,544","609,938,340,544","609,938,340,544","609,938,340,544",,"515,261,034,852",,,"770,156,903,881","836,247,985,187","805,029,377,634","653,288,000,188","841,347,666,119","992,019,107,360","1,008,542,206,930","1,023,052,732,290","1,059,685,817,529","1,284,341,439,556","1,343,999,630,251","1,282,894,621,884","1,413,978,199,972","1,372,228,578,079","1,296,032,088,612",,"1,268,324,795,568","1,271,934,998,656","1,263,668,562,716","1,240,978,540,655","1,325,038,504,983","1,399,309,425,318","1,578,247,772,364","1,623,454,213,470","1,665,962,117,990","1,716,928,213,608","1,770,145,689,379","1,610,665,266,630","1,726,316,579,424","1,678,623,099,382","1,682,247,741,024","1,394,759,135,575",,"1,607,146,199,975","1,900,821,760,170",
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,"914,258,483,486","914,258,483,486","914,258,483,486","914,258,483,486","822,491,548,934","822,491,548,934","822,491,548,934","822,491,548,934","480,100,130,854","480,100,130,854","480,100,130,854","480,100,130,854","398,997,873,636","398,997,873,636","398,997,873,636","398,997,873,636","445,907,380,688","445,907,380,688","445,907,380,688","445,907,380,688","548,238,204,036","548,238,204,036","548,238,204,036","548,238,204,036",,"353,203,259,081",,,"664,277,779,547","762,128,106,963","698,274,054,905","617,752,008,716","756,169,378,306","930,682,814,515","950,114,278,327","1,008,689,307,055","1,025,061,161,550","1,195,582,092,655","1,231,953,753,466","1,214,606,231,848","1,298,611,919,304","1,279,297,401,594","1,230,363,644,162",,"1,147,271,168,151","1,152,559,421,395","1,146,312,711,040","1,126,868,857,357","1,130,019,609,029","1,168,332,812,036","1,282,275,119,219","1,228,443,098,881","1,407,289,721,886","1,484,552,679,635","1,568,980,462,510","1,414,048,009,469","1,578,759,031,597","1,544,183,779,559","1,545,968,071,749","1,277,939,847,992",,"1,445,385,728,170","1,719,821,381,949",
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,,,,,,"74,784,240,699","74,784,240,699","74,784,240,699","74,784,240,699","95,308,030,916","95,308,030,916","95,308,030,916","95,308,030,916","28,660,334,000","28,660,334,000","28,660,334,000","28,660,334,000","75,607,350,421","75,607,350,421","75,607,350,421","75,607,350,421","95,371,886,588","95,371,886,588","95,371,886,588","95,371,886,588","64,109,183,181","64,109,183,181","64,109,183,181","64,109,183,181",,"45,911,000,069",,,"52,925,460,875","74,803,239,510","84,128,667,038","47,520,331,637","76,235,475,137","57,678,082,241","47,879,905,619","40,331,135,370","73,818,103,635","69,854,780,738","71,214,297,635","64,736,543,889","74,781,047,780","57,077,547,144","51,648,481,423",,"45,822,821,031","56,916,657,460","62,492,915,417","74,766,499,782","126,794,271,244","158,072,471,225","212,331,126,092","142,926,620,966","159,401,633,030","171,085,869,910","133,634,620,886","111,761,054,083","60,984,546,922","59,335,845,937","60,349,664,426","66,817,183,789",,"69,347,656,909","108,678,450,323",
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,"145,842,239","145,842,239","145,842,239","145,842,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"199,366,305,143",,,"3,900,000,000",,,,,"6,547,322,645","270,000,000","-1,479,792,440","5,923,582,080","6,855,463,680","10,143,091,884","6,386,078,204","170,000,000","70,000,000","70,000,000",,,,,,,,,,,,,,,,,,,,,
6. Phải thu ngắn hạn khác,,,,,,,,,,,,,,,,,"16,885,493,725","16,885,493,725","16,885,493,725","16,885,493,725","16,776,899,203","16,776,899,203","16,776,899,203","16,776,899,203","56,784,440,298","56,784,440,298","56,784,440,298","56,784,440,298","94,190,850,878","94,190,850,878","94,190,850,878","94,190,850,878","66,217,403,862","66,217,403,862","66,217,403,862","66,217,403,862","76,861,828,875","76,861,828,875","76,861,828,875","76,861,828,875",,"-83,458,302,090",,,"128,752,530,237","80,115,645,784","104,079,457,553","70,511,550,598","91,093,711,154","86,544,326,954","94,569,124,239","92,258,523,800","72,238,977,307","102,124,935,515","120,818,703,781","87,661,636,329","132,090,532,590","122,599,921,290","100,795,801,663",,"146,074,285,224","134,152,748,013","129,889,858,315","109,349,059,387","136,138,353,215","141,852,631,186","133,558,146,873","294,731,589,534","144,493,578,984","107,159,960,563","114,778,902,068","136,499,636,076","138,610,296,806","128,127,883,780","127,685,387,700","95,611,846,923",,"138,599,994,460","116,897,242,399",
7. Dự phòng phải thu ngắn hạn khó đòi,,,,,,,,,,,,,,,,,"-574,825,722","-574,825,722","-574,825,722","-574,825,722","-2,221,183,766","-2,221,183,766","-2,221,183,766","-2,221,183,766","-21,106,500,365","-21,106,500,365","-21,106,500,365","-21,106,500,365","-30,125,127,919","-30,125,127,919","-30,125,127,919","-30,125,127,919","-54,739,453,635","-54,739,453,635","-54,739,453,635","-54,739,453,635","-79,270,875,548","-79,270,875,548","-79,270,875,548","-79,270,875,548",,,,,"-79,698,866,778","-80,799,007,070","-81,452,801,862","-82,495,890,763","-82,150,898,478","-89,433,438,995","-84,291,101,255","-116,746,441,495","-117,356,007,043","-90,075,833,032","-90,130,216,515","-90,495,868,386","-91,675,299,702","-86,816,291,949","-86,845,838,636",,"-70,843,478,838","-71,693,828,212","-75,026,922,056","-70,005,875,871","-67,913,728,505","-68,948,489,129","-49,916,619,820","-42,647,095,911","-45,323,898,654","-45,871,329,244","-47,249,328,829","-51,644,465,742","-52,037,295,901","-53,056,809,994","-51,787,782,951","-45,642,143,229",,"-46,187,179,564","-44,575,314,501",
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"238,772,649",,,,,,,,,,,,,,,,,,,,,,,,,,,"101,082,744","1,032,744","1,032,744","1,032,744",,"32,400,100","32,400,100","32,400,100",,,,
