TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,"284,530,183,152","284,530,183,152","284,530,183,152","284,530,183,152","322,919,043,715","322,919,043,715","322,919,043,715","322,919,043,715","340,438,313,242","340,438,313,242","340,438,313,242","340,438,313,242","377,675,169,219","377,675,169,219","377,675,169,219","377,675,169,219","425,338,526,491","425,338,526,491","425,338,526,491",,"495,091,090,051","495,091,090,051","495,091,090,051","495,091,090,051",,"487,668,051,680",,,"503,759,399,046","506,150,259,415","481,140,424,898","582,813,381,089","473,815,888,827","460,097,133,976","502,701,705,643","563,980,752,678","508,661,420,088","498,597,923,894","560,695,045,100","597,258,914,602","529,354,026,574","540,771,847,565","525,659,343,799","611,216,848,464","464,078,320,649","502,497,537,751","467,583,158,249","488,887,979,480","506,552,515,612","414,109,824,173","313,668,275,642","359,892,138,221","345,991,545,773","391,199,463,901","393,866,357,862","377,572,020,071","364,683,159,627","332,962,217,959","405,057,637,023","417,344,506,232","380,018,027,438","374,984,484,282","391,119,493,262","384,611,250,159"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,"43,538,243,791","43,538,243,791","43,538,243,791","43,538,243,791","57,835,470,398","57,835,470,398","57,835,470,398","57,835,470,398","51,337,914,323","51,337,914,323","51,337,914,323","51,337,914,323","84,425,423,450","84,425,423,450","84,425,423,450","84,425,423,450","40,095,409,628","40,095,409,628","40,095,409,628",,"45,282,604,610","45,282,604,610","45,282,604,610","45,282,604,610",,"53,467,158,344",,,"42,530,602,783","46,275,298,992","43,194,846,040","59,754,355,900","43,230,787,984","42,538,626,764","60,705,962,877","77,138,158,424","50,830,189,129","53,883,004,764","60,845,932,987","99,912,416,748","55,115,841,886","52,496,109,906","50,824,611,445","57,717,871,258","37,207,788,763","30,977,501,732","23,933,769,910","41,921,719,732","91,218,499,775","31,934,887,514","34,204,869,320","31,673,305,162","40,069,166,074","46,789,080,125","51,059,497,575","52,707,832,782","32,882,696,962","24,207,849,480","44,845,040,449","57,300,723,856","52,203,704,692","49,539,780,780","34,229,555,078","32,702,751,498"
1. Tiền,,,,,,,,,,,,,,,,,"43,538,243,791","43,538,243,791","43,538,243,791","43,538,243,791","48,635,470,398","48,635,470,398","48,635,470,398","48,635,470,398","48,210,984,549","48,210,984,549","48,210,984,549","48,210,984,549","73,142,399,688","73,142,399,688","73,142,399,688","73,142,399,688","39,095,409,628","39,095,409,628","39,095,409,628",,"44,082,604,610","44,082,604,610","44,082,604,610","44,082,604,610",,"46,925,245,326",,,"42,189,371,382","38,933,306,333","35,854,846,040","50,995,465,780","35,890,787,984","35,198,626,764","53,365,962,877","73,798,158,424","49,490,189,129","52,543,004,764","59,505,932,987","88,572,416,748","55,115,841,886","52,496,109,906","50,824,611,445","57,717,871,258","37,207,788,763","30,977,501,732","23,933,769,910","41,921,719,732","91,218,499,775","31,934,887,514","30,704,869,320","28,173,305,162","35,569,166,074","43,289,080,125","47,559,497,575","49,207,832,782","31,382,696,962","21,200,842,631","39,838,033,600","53,293,717,007","49,203,704,692","48,039,780,780","31,729,555,078","30,702,751,498"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,"9,200,000,000","9,200,000,000","9,200,000,000","9,200,000,000","3,126,929,774","3,126,929,774","3,126,929,774","3,126,929,774","11,283,023,762","11,283,023,762","11,283,023,762","11,283,023,762","1,000,000,000","1,000,000,000","1,000,000,000",,"1,200,000,000","1,200,000,000","1,200,000,000","1,200,000,000",,"6,541,913,018",,,"341,231,401","7,341,992,659","7,340,000,000","8,758,890,120","7,340,000,000","7,340,000,000","7,340,000,000","3,340,000,000","1,340,000,000","1,340,000,000","1,340,000,000","11,340,000,000",,,,,,,,,,,"3,500,000,000","3,500,000,000","4,500,000,000","3,500,000,000","3,500,000,000","3,500,000,000","1,500,000,000","3,007,006,849","5,007,006,849","4,007,006,849","3,000,000,000","1,500,000,000","2,500,000,000","2,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,"7,942,393,798","7,942,393,798","7,942,393,798","7,942,393,798","12,216,842,199","12,216,842,199","12,216,842,199","12,216,842,199","5,500,000,000","5,500,000,000","5,500,000,000","5,500,000,000","2,699,386,700","2,699,386,700","2,699,386,700","2,699,386,700","1,350,000,000","1,350,000,000","1,350,000,000",,"700,000,000","700,000,000","700,000,000","700,000,000",,,,,,,,,,,,,,,,,"10,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000","18,500,000,000","18,500,000,000","18,500,000,000","18,500,000,000","18,500,000,000","15,000,000,000","5,000,000,000","6,404,000,000","8,504,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,458,135,000","-1,458,135,000","-1,458,135,000","-1,458,135,000",,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000","18,500,000,000","18,500,000,000","18,500,000,000","18,500,000,000","18,500,000,000","15,000,000,000","5,000,000,000","6,404,000,000","8,504,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000","6,404,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,"52,503,886,660","52,503,886,660","52,503,886,660","52,503,886,660","78,594,105,295","78,594,105,295","78,594,105,295","78,594,105,295","71,522,752,984","71,522,752,984","71,522,752,984","71,522,752,984","75,471,343,587","75,471,343,587","75,471,343,587","75,471,343,587","103,703,326,821","103,703,326,821","103,703,326,821",,"112,706,386,933","112,706,386,933","112,706,386,933","112,706,386,933",,"104,219,616,411",,,"106,590,415,535","108,320,444,218","97,842,989,516","136,326,196,829","116,751,891,423","121,825,321,611","113,273,808,353","145,226,283,950","118,233,763,364","125,822,512,622","113,922,431,600","154,349,307,466","125,363,561,122","119,861,041,511","117,019,712,838","154,213,964,195","98,660,357,728","102,413,595,976","92,465,641,147","119,434,657,814","98,917,771,005","94,336,742,613","62,761,028,320","85,126,004,305","71,596,330,168","85,539,587,565","81,621,922,191","98,457,829,747","81,997,930,588","80,792,196,041","82,478,862,801","102,914,179,374","81,747,134,667","85,643,378,050","74,779,347,737","84,383,138,557"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,"51,935,302,324","51,935,302,324","51,935,302,324","51,935,302,324","70,671,681,930","70,671,681,930","70,671,681,930","70,671,681,930","69,490,555,635","69,490,555,635","69,490,555,635","69,490,555,635","66,350,080,602","66,350,080,602","66,350,080,602","66,350,080,602","89,752,590,237","89,752,590,237","89,752,590,237",,"102,303,212,640","102,303,212,640","102,303,212,640","102,303,212,640",,"96,448,519,755",,,"88,458,069,053","83,678,139,954","83,307,614,712","111,991,994,232","94,608,537,368","99,531,768,036","94,386,236,878","122,993,070,804","92,500,713,549","99,431,699,627","95,022,107,298","126,925,944,258","102,811,945,468","105,264,222,741","99,187,384,857","114,107,137,537","78,696,336,576","76,907,597,763","70,297,995,344","91,422,605,224","61,850,827,134","73,936,614,347","50,519,537,789","61,617,721,420","54,888,433,961","62,839,112,373","61,977,310,380","73,333,538,800","60,460,745,408","65,976,480,174","68,194,748,004","74,592,882,706","65,302,961,012","70,767,320,959","62,547,518,858","66,691,839,517"
