TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,"771,413,911,569","771,413,911,569","771,413,911,569","829,556,105,438","829,556,105,438","829,556,105,438","829,556,105,438","1,059,625,701,574","1,059,625,701,574","1,059,625,701,574","1,059,625,701,574","1,314,039,161,882","1,314,039,161,882","1,314,039,161,882","1,314,039,161,882","1,466,041,842,146","1,466,041,842,146","1,466,041,842,146","1,466,041,842,146","1,608,489,457,695","1,608,489,457,695","1,608,489,457,695","1,608,489,457,695",,"1,663,122,676,706",,,"1,452,850,138,062","1,649,332,618,254","1,657,848,141,014","1,666,000,749,717","1,777,714,755,084","2,137,245,910,108","2,133,285,869,497","2,233,863,785,033","2,367,409,615,509","2,261,248,170,666","2,010,765,216,871","2,059,831,993,947","2,005,320,325,680","1,818,687,326,845","2,092,337,178,417","2,171,033,800,957","2,215,634,296,147","2,359,505,051,264","2,516,482,815,877","2,267,930,599,743","2,750,143,655,182","2,965,970,753,256","3,005,448,587,627","2,804,226,697,739","3,189,793,025,533","3,172,871,517,958","3,390,885,944,463","2,998,171,786,566","2,816,434,089,617","2,937,005,425,529","2,805,815,176,392","2,856,233,019,969","2,764,960,614,035",,"3,067,815,757,159","2,910,242,173,458"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,"46,046,664,222","46,046,664,222","46,046,664,222","63,239,001,173","63,239,001,173","63,239,001,173","63,239,001,173","42,504,059,741","42,504,059,741","42,504,059,741","42,504,059,741","30,415,808,642","30,415,808,642","30,415,808,642","30,415,808,642","35,295,375,818","35,295,375,818","35,295,375,818","35,295,375,818","40,414,068,300","40,414,068,300","40,414,068,300","40,414,068,300",,"147,691,166,013",,,"74,109,316,175","199,884,693,638","80,443,037,070","30,960,218,219","43,189,357,539","163,199,461,704","57,402,308,274","33,323,827,008","32,826,695,688","38,471,642,730","50,923,008,262","77,446,139,628","61,741,837,217","79,365,561,733","160,810,537,894","63,080,607,555","148,105,287,552","97,134,558,764","402,036,162,297","153,189,965,511","147,048,273,315","351,907,716,900","211,898,014,224","78,941,457,052","240,485,209,046","78,220,846,026","190,973,743,358","28,148,892,095","127,047,801,953","107,298,461,465","125,646,290,350","289,674,601,758","145,050,530,177",,"356,677,465,465","473,343,496,352"
1. Tiền,,,,,,,,,,,,,,,,,,"46,046,664,222","46,046,664,222","46,046,664,222","63,239,001,173","63,239,001,173","63,239,001,173","63,239,001,173","42,504,059,741","42,504,059,741","42,504,059,741","42,504,059,741","30,415,808,642","30,415,808,642","30,415,808,642","30,415,808,642","35,295,375,818","35,295,375,818","35,295,375,818","35,295,375,818","40,414,068,300","40,414,068,300","40,414,068,300","40,414,068,300",,"50,191,166,013",,,"74,109,316,175","199,884,693,638","80,443,037,070","30,960,218,219","43,189,357,539","56,499,461,704","57,402,308,274","33,323,827,008","32,826,695,688","38,471,642,730","50,923,008,262","77,446,139,628","61,741,837,217","79,365,561,733","160,810,537,894","63,080,607,555","88,105,287,552","97,134,558,764","402,036,162,297","153,189,965,511","143,188,273,315","342,257,716,900","196,458,014,224","78,941,457,052","240,485,209,046","78,220,846,026","190,973,743,358","28,148,892,095","127,047,801,953","107,298,461,465","125,646,290,350","289,674,601,758","145,050,530,177",,"356,677,465,465","473,343,496,352"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,500,000,000",,,,,,,,"106,700,000,000",,,,,,,,,,,"60,000,000,000",,,,"3,860,000,000","9,650,000,000","15,440,000,000",,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,"50,000,000,000","50,000,000,000","50,000,000,000","30,000,000,000","30,000,000,000","30,000,000,000","30,000,000,000",,,,,"1,900,000,000","1,900,000,000","1,900,000,000","1,900,000,000","11,350,000,000","11,350,000,000","11,350,000,000","11,350,000,000","18,920,000,000","18,920,000,000","18,920,000,000","18,920,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,"176,526,393,177","176,526,393,177","176,526,393,177","280,041,904,061","280,041,904,061","280,041,904,061","280,041,904,061","284,903,997,158","284,903,997,158","284,903,997,158","284,903,997,158","420,781,500,572","420,781,500,572","420,781,500,572","420,781,500,572","399,448,754,773","399,448,754,773","399,448,754,773","399,448,754,773","457,691,451,999","457,691,451,999","457,691,451,999","457,691,451,999",,"624,134,553,922",,,"584,700,498,601","660,263,386,674","732,672,824,523","629,615,034,878","800,618,595,479","911,298,647,915","920,328,209,057","803,411,169,255","878,944,861,973","967,244,568,311","777,310,005,291","765,595,217,363","767,921,146,597","649,752,298,372","820,794,944,508","808,956,378,099","808,807,873,920","966,199,670,739","976,079,302,291","699,115,726,216","916,123,003,182","1,121,659,101,095","992,753,952,970","885,109,824,832","949,589,307,508","1,066,592,915,189","1,085,666,256,646","769,338,713,200","721,294,155,601","898,277,528,159","997,771,230,862","887,271,030,496","1,043,220,133,768",,"943,481,465,308","775,211,071,186"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,"153,553,566,789","153,553,566,789","153,553,566,789","248,361,468,872","248,361,468,872","248,361,468,872","248,361,468,872","256,444,404,175","256,444,404,175","256,444,404,175","256,444,404,175","340,952,672,110","340,952,672,110","340,952,672,110","340,952,672,110","315,694,345,120","315,694,345,120","315,694,345,120","315,694,345,120","431,452,343,266","431,452,343,266","431,452,343,266","431,452,343,266",,"440,912,499,529",,,"425,917,711,544","484,032,708,669","489,477,876,201","560,230,709,401","546,816,840,566","626,371,812,711","688,505,530,515","670,641,445,912","648,796,040,407","766,732,814,169","737,957,093,664","595,941,838,107","535,422,800,812","594,627,358,253","684,573,914,385","676,187,809,995","646,147,770,889","754,382,349,819","774,009,185,771","607,528,068,183","656,005,517,067","919,880,076,227","709,194,544,888","708,579,062,473","709,528,655,988","806,399,392,318","616,081,568,255","621,303,509,927","650,715,451,449","856,906,250,560","949,476,029,306","840,290,638,476","920,027,329,786",,"840,093,276,958","758,233,560,288"
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,,,,,,,"22,136,971,034","22,136,971,034","22,136,971,034","25,208,938,085","25,208,938,085","25,208,938,085","25,208,938,085","23,217,028,585","23,217,028,585","23,217,028,585","23,217,028,585","85,777,603,416","85,777,603,416","85,777,603,416","85,777,603,416","89,368,337,934","89,368,337,934","89,368,337,934","89,368,337,934","20,527,823,918","20,527,823,918","20,527,823,918","20,527,823,918",,"116,043,709,078",,,"151,374,517,239","167,352,399,798","236,965,582,267","45,651,091,953","245,383,618,432","275,889,413,661","218,664,061,266","101,762,126,588","212,583,374,098","142,505,339,832","32,469,265,420","161,358,784,132","217,359,836,319","45,751,536,203","126,305,183,199","115,055,020,617","141,777,268,669","202,043,676,598","190,418,542,265","63,324,310,725","281,859,823,727","216,601,428,889","282,128,854,474","168,866,272,954","243,101,347,093","252,061,245,401","456,057,070,721","131,493,967,963","64,942,649,567","38,118,137,162","40,768,428,997","39,763,910,996","111,453,385,683",,"115,593,189,691","76,778,296,171"
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu ngắn hạn khác,,,,,,,,,,,,,,,,,,"7,477,583,479","7,477,583,479","7,477,583,479","12,697,904,500","12,697,904,500","12,697,904,500","12,697,904,500","11,676,859,258","11,676,859,258","11,676,859,258","11,676,859,258","6,089,845,850","6,089,845,850","6,089,845,850","6,089,845,850","6,336,936,161","6,336,936,161","6,336,936,161","6,336,936,161","19,637,183,258","19,637,183,258","19,637,183,258","19,637,183,258",,"81,084,243,758",,,"21,557,000,179","23,027,008,568","20,378,096,416","30,902,204,796","15,587,107,753","16,206,392,815","20,327,588,548","39,296,050,666","25,853,901,379","66,294,868,221","15,172,100,118","16,583,049,035","23,426,963,377","17,661,857,827","18,204,300,835","27,474,417,469","30,643,704,344","19,421,597,904","28,220,330,054","69,570,821,962","19,565,137,042","26,251,927,926","42,849,167,901","36,999,963,989","24,021,974,106","35,194,947,149","40,594,252,462","44,051,372,569","33,146,191,844","31,265,432,899","35,196,644,675","33,757,962,136","38,280,899,411",,"27,423,973,510","27,959,041,489"
