TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,"1,159,727,087,062","1,159,727,087,062","1,159,727,087,062","1,159,727,087,062","1,284,325,185,538","1,284,325,185,538","1,284,325,185,538","1,284,325,185,538","1,786,937,269,122","1,786,937,269,122","1,786,937,269,122","1,786,937,269,122","3,047,895,090,991","3,047,895,090,991","3,047,895,090,991","3,047,895,090,991","3,995,926,433,261","3,995,926,433,261","3,995,926,433,261","3,995,926,433,261","3,635,696,412,928","3,635,696,412,928","3,635,696,412,928","3,635,696,412,928",,"4,878,680,759,818",,,"6,645,212,447,681","7,190,421,654,681","8,115,142,621,106","9,943,075,809,068","10,142,992,593,124","11,457,175,634,681","11,923,156,865,421","14,464,271,122,407","12,900,867,360,663","13,910,669,211,337","13,720,623,216,741","15,323,459,276,998","13,541,501,079,659","14,117,402,048,913","13,393,155,679,969","14,727,405,324,722","13,441,346,806,981","13,648,292,412,469","12,762,652,624,284","12,926,699,976,137","11,844,830,242,849","12,371,068,820,264","11,815,545,069,525","13,519,392,209,917","14,094,078,335,650","15,371,788,436,219","16,645,580,798,822","17,465,279,897,901","18,568,408,120,598","19,883,836,123,901",,,"18,917,398,427,182","19,889,440,906,559","18,590,373,139,884","20,456,205,370,323"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,"369,037,642,295","369,037,642,295","369,037,642,295","369,037,642,295","289,879,887,675","289,879,887,675","289,879,887,675","289,879,887,675","251,978,411,295","251,978,411,295","251,978,411,295","251,978,411,295","681,485,846,811","681,485,846,811","681,485,846,811","681,485,846,811","618,518,444,081","618,518,444,081","618,518,444,081","618,518,444,081","469,023,469,430","469,023,469,430","469,023,469,430","469,023,469,430",,"882,142,026,302",,,"1,094,320,425,745","1,360,997,078,332","2,139,299,389,059","1,996,627,577,169","1,369,109,028,297","1,786,772,482,540","2,180,920,005,813","3,311,114,590,570","1,286,980,221,440","586,652,101,519","960,031,995,428","552,833,230,980","596,751,116,728","750,284,929,448","963,048,150,250","800,791,418,362","447,905,261,655","225,702,665,430","362,957,520,510","1,396,764,826,755","637,944,264,155","652,103,578,595","1,225,020,261,016","884,710,498,842","528,629,539,181","913,484,130,428","415,979,827,036","1,064,440,156,074","1,984,333,604,251","1,882,761,469,151",,,"2,224,993,154,655","2,842,181,486,342","2,382,337,576,932","2,210,413,091,737"
1. Tiền,,,,,,,,,,,,,,,,,"369,037,642,295","369,037,642,295","369,037,642,295","369,037,642,295","289,879,887,675","289,879,887,675","289,879,887,675","289,879,887,675","1,548,411,295","1,548,411,295","1,548,411,295","1,548,411,295","94,314,871,184","94,314,871,184","94,314,871,184","94,314,871,184","310,513,540,907","310,513,540,907","310,513,540,907","310,513,540,907","378,018,518,751","378,018,518,751","378,018,518,751","378,018,518,751",,"576,137,053,180",,,"624,320,425,745","990,997,078,332","271,299,389,059","716,627,577,169","89,109,028,297","176,772,482,540","485,920,005,813","285,114,590,570","246,980,221,440","178,152,101,519","325,531,995,428","149,333,230,980","142,951,116,728","248,384,929,448","154,998,150,250","116,191,418,362","307,525,261,655","188,632,665,430","251,767,520,510","246,931,644,655","250,651,082,055","572,103,578,595","959,761,165,126","410,710,498,842","501,450,689,866","455,395,871,929","381,979,827,036","635,440,156,074","742,333,604,251","631,761,469,151",,,"779,993,154,655","1,336,181,486,342","712,257,544,711","875,997,691,412"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,"250,430,000,000","250,430,000,000","250,430,000,000","250,430,000,000","587,170,975,627","587,170,975,627","587,170,975,627","587,170,975,627","308,004,903,174","308,004,903,174","308,004,903,174","308,004,903,174","91,004,950,679","91,004,950,679","91,004,950,679","91,004,950,679",,"306,004,973,122",,,"470,000,000,000","370,000,000,000","1,868,000,000,000","1,280,000,000,000","1,280,000,000,000","1,610,000,000,000","1,695,000,000,000","3,026,000,000,000","1,040,000,000,000","408,500,000,000","634,500,000,000","403,500,000,000","453,800,000,000","501,900,000,000","808,050,000,000","684,600,000,000","140,380,000,000","37,070,000,000","111,190,000,000","1,149,833,182,100","387,293,182,100","80,000,000,000","265,259,095,890","474,000,000,000","27,178,849,315","458,088,258,499","34,000,000,000","429,000,000,000","1,242,000,000,000","1,251,000,000,000",,,"1,445,000,000,000","1,506,000,000,000","1,670,080,032,221","1,334,415,400,325"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,"170,309,000,000","170,309,000,000","170,309,000,000","170,309,000,000","5,988,441,300","5,988,441,300","5,988,441,300","5,988,441,300","4,900,450,000","4,900,450,000","4,900,450,000","4,900,450,000","515,339,420,000","515,339,420,000","515,339,420,000","515,339,420,000","1,055,500,000,000","1,055,500,000,000","1,055,500,000,000","1,055,500,000,000","629,080,000,000","629,080,000,000","629,080,000,000","629,080,000,000",,"1,098,100,000,000",,,"1,206,100,000,000","1,386,000,000,000","1,742,000,000,000","2,675,000,000,000","3,790,000,000,000","3,885,900,000,000","3,188,497,000,000","2,478,527,000,000","3,848,127,000,000","4,134,627,000,000","4,016,930,000,000","3,907,058,000,000","3,873,058,000,000","3,665,561,000,000","3,012,198,000,000","3,241,650,000,000","3,311,150,000,000","3,455,990,000,000","3,194,360,000,000","1,850,960,000,000","2,613,250,000,000","3,015,470,750,000","1,765,237,488,479","2,400,688,059,709","3,097,183,824,873","2,784,460,086,136","2,221,012,759,395","1,780,172,665,313","2,239,829,035,975","2,180,463,313,608",,,"1,853,985,133,531","1,768,453,243,121","955,362,341,604","1,867,911,912,713"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,837,488,479",,,"219,601,769,768","255,462,208,992","248,930,968,087","254,033,945,745","249,546,140,490",,,"236,606,147,498","222,491,296,959","238,694,908,280","255,421,568,164"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-20,454,977,500","-36,665,055,710","-60,723,329,668","-60,723,329,668","-24,470,599,700",,,"-15,253,937,470","-10,347,177,341","-953,764,957","-2,707,921,462"
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,"-2,307,192,450","-2,307,192,450","-2,307,192,450","-2,307,192,450","-1,627,751,150","-1,627,751,150","-1,627,751,150","-1,627,751,150","-2,715,742,450","-2,715,742,450","-2,715,742,450","-2,715,742,450","-2,276,772,450","-2,276,772,450","-2,276,772,450","-2,276,772,450",,,,,,,,,,"1,098,100,000,000",,,"1,206,100,000,000","1,386,000,000,000","1,742,000,000,000","2,675,000,000,000","3,790,000,000,000","3,885,900,000,000","3,188,497,000,000","2,478,527,000,000","3,848,127,000,000","4,134,627,000,000","4,016,930,000,000","3,907,058,000,000","3,873,058,000,000","3,665,561,000,000","3,012,198,000,000","3,241,650,000,000","3,311,150,000,000","3,455,990,000,000","3,194,360,000,000","1,850,960,000,000","2,613,250,000,000","3,015,470,750,000","1,759,400,000,000","2,400,688,059,709","3,097,183,824,873","2,585,313,293,868","2,002,215,606,113","1,591,965,026,894","2,046,518,419,898","1,955,387,772,818",,,"1,632,632,923,503","1,556,309,123,503","717,621,198,281","1,615,198,266,011"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,"307,943,749,557","307,943,749,557","307,943,749,557","307,943,749,557","513,483,349,070","513,483,349,070","513,483,349,070","513,483,349,070","1,146,444,341,290","1,146,444,341,290","1,146,444,341,290","1,146,444,341,290","1,457,889,671,264","1,457,889,671,264","1,457,889,671,264","1,457,889,671,264","2,010,311,772,164","2,010,311,772,164","2,010,311,772,164","2,010,311,772,164","2,129,477,879,588","2,129,477,879,588","2,129,477,879,588","2,129,477,879,588",,"1,926,353,930,315",,,"2,554,426,257,013","2,654,119,762,381","2,753,734,955,681","3,483,690,579,494","3,436,762,523,795","3,994,428,686,849","4,628,295,666,347","6,480,158,420,709","5,151,021,562,068","6,980,040,764,275","7,006,937,568,368","9,053,952,559,022","7,073,304,564,827","7,814,726,221,800","7,672,251,323,471","8,797,679,575,624","7,905,074,059,102","8,517,922,669,753","7,453,845,350,931","7,841,166,614,482","7,010,374,180,025","6,962,967,075,851","6,875,282,718,479","8,326,790,439,130","8,438,206,322,238","9,139,847,999,266","10,309,841,383,593","11,231,357,772,007","11,316,856,907,816","12,079,221,917,180",,,"11,279,565,399,310","11,845,187,162,549","11,233,101,738,808","12,023,581,006,529"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,"280,059,300,317","280,059,300,317","280,059,300,317","280,059,300,317","476,960,191,798","476,960,191,798","476,960,191,798","476,960,191,798","1,124,378,275,130","1,124,378,275,130","1,124,378,275,130","1,124,378,275,130","1,447,503,573,573","1,447,503,573,573","1,447,503,573,573","1,447,503,573,573","2,076,043,856,872","2,076,043,856,872","2,076,043,856,872","2,076,043,856,872","2,154,169,888,369","2,154,169,888,369","2,154,169,888,369","2,154,169,888,369",,"1,852,894,698,901",,,"2,490,831,852,960","2,378,244,444,249","2,373,555,103,346","3,345,759,405,855","3,078,683,404,265","3,572,649,602,698","4,319,438,139,911","6,203,035,192,969","4,735,384,798,776","6,510,740,390,015","6,596,689,027,721","8,583,155,443,151","6,481,904,230,360","7,048,109,683,465","6,833,725,316,275","8,416,090,588,256","7,548,082,354,481","8,152,472,876,958","7,060,854,711,315","7,604,871,947,794","7,242,927,665,520","7,111,375,334,789","6,318,526,669,546","7,975,553,433,104","7,958,232,656,474","8,813,326,602,611","9,113,089,328,027","10,926,639,023,214","10,928,062,267,753","11,590,198,832,580",,,"10,688,942,190,394","11,669,914,966,000","11,364,956,704,505","12,245,741,404,344"
