TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"976,630,443,126","976,630,443,126","976,630,443,126","796,770,315,766",,"796,770,315,766","796,770,315,766","1,029,683,127,687","1,029,683,127,687","1,029,683,127,687","1,029,683,127,687",,,,,"1,364,136,272,354","1,223,019,366,708","1,183,432,945,014","1,262,860,906,278","1,295,555,725,888","1,932,045,280,339","1,617,090,592,512","1,809,663,582,117","1,766,954,897,628","2,128,386,556,213","2,254,031,486,091","2,259,667,293,315","2,083,980,504,226","2,200,061,028,659","2,210,988,367,550","2,151,222,323,403","2,346,462,883,515","2,579,849,287,000","2,879,132,177,158","3,056,767,802,848","2,766,631,422,678","2,998,752,193,509","2,889,104,474,630","3,033,540,022,961","2,963,715,792,528","3,307,880,385,347","4,090,305,705,411","5,021,603,120,964","4,992,834,629,282","5,006,021,080,511","5,579,520,049,832","5,627,168,242,619","5,188,825,121,846","5,300,309,157,998","5,239,127,107,685","5,386,987,962,620"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,822,024,969","17,822,024,969","17,822,024,969","13,547,211,137",,"13,547,211,137","13,547,211,137","49,799,834,175","49,799,834,175","49,799,834,175","49,799,834,175",,,,,"147,815,906,432","104,624,149,746","165,809,624,550","111,349,902,939","146,882,466,296","378,188,845,909","83,867,844,724","86,498,278,393","198,654,302,611","361,782,210,334","466,763,486,377","426,422,621,118","223,326,895,167","592,780,532,829","755,386,311,782","808,985,223,619","684,594,154,011","872,580,885,803","967,175,278,531","504,705,162,343","605,017,194,239","880,600,432,877","748,227,455,616","666,444,292,485","549,130,669,207","609,284,732,389","600,283,471,954","413,861,121,979","292,232,003,919","453,444,368,048","572,373,920,465","817,851,176,502","394,218,254,845","610,985,427,890","751,313,476,244","887,734,691,721"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,822,024,969","17,822,024,969","17,822,024,969","13,547,211,137",,"13,547,211,137","13,547,211,137","49,799,834,175","49,799,834,175","49,799,834,175","49,799,834,175",,,,,"147,815,906,432","66,325,149,746","95,910,624,550","111,349,902,939","66,882,466,296","70,608,227,697","83,867,844,724","83,498,278,393","78,654,302,611","111,790,840,471","266,393,623,363","76,422,621,118","123,326,895,167","92,780,532,829","135,386,311,782","158,406,158,405","134,594,154,011","322,580,885,803","317,175,278,531","204,705,162,343","205,017,194,239","480,600,432,877","448,227,455,616","366,444,292,485","349,130,669,207","409,284,732,389","400,283,471,954","263,861,121,979","242,232,003,919","353,444,368,048","472,373,920,465","517,851,176,502","294,218,254,845","410,985,427,890","451,313,476,244","787,734,691,721"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,299,000,000","69,899,000,000",,"80,000,000,000","307,580,618,212",,"3,000,000,000","120,000,000,000","249,991,369,863","200,369,863,014","350,000,000,000","100,000,000,000","500,000,000,000","620,000,000,000","650,579,065,214","550,000,000,000","550,000,000,000","650,000,000,000","300,000,000,000","400,000,000,000","400,000,000,000","300,000,000,000","300,000,000,000","200,000,000,000","200,000,000,000","200,000,000,000","150,000,000,000","50,000,000,000","100,000,000,000","100,000,000,000","300,000,000,000","100,000,000,000","200,000,000,000","300,000,000,000","100,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,632,000,000",,,,,,,,,,,,,,,,,,,,,,"100,000,000,000","100,000,000,000","100,000,000,000","100,000,000,000","507,000,000,000","1,222,000,000,000","1,334,000,000,000","1,122,000,000,000","1,082,000,000,000","1,000,000,000,000","845,000,000,000","797,000,000,000","788,000,000,000","853,500,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,632,000,000",,,,,,,,,,,,,,,,,,,,,,"100,000,000,000","100,000,000,000","100,000,000,000","100,000,000,000","507,000,000,000","1,222,000,000,000","1,334,000,000,000","1,122,000,000,000","1,082,000,000,000","1,000,000,000,000","845,000,000,000","797,000,000,000","788,000,000,000","853,500,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"187,332,276,627","187,332,276,627","187,332,276,627","318,812,432,648",,"318,812,432,648","318,812,432,648","454,062,802,279","454,062,802,279","454,062,802,279","454,062,802,279",,,,,"659,321,330,562","639,074,198,466","698,027,730,309","818,030,402,035","809,716,780,233","1,068,202,835,938","1,071,148,381,230","1,122,196,089,218","972,019,022,531","1,066,559,253,230","1,190,762,190,548","1,296,373,330,759","1,249,291,039,018","1,149,127,149,203","1,020,829,860,807","923,639,059,447","1,251,282,018,314","1,273,971,025,940","1,406,325,089,073","1,843,047,507,338","1,562,221,516,401","1,491,262,791,584","1,490,646,225,102","1,624,296,850,035","1,672,862,780,232","1,925,479,495,093","2,265,137,244,296","2,398,990,586,984","2,475,145,665,046","2,737,428,551,089","3,109,888,464,716","2,944,779,856,337","2,959,374,361,754","3,139,932,733,106","3,022,792,834,545","2,904,921,902,350"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,678,404,228","79,678,404,228","79,678,404,228","184,442,310,738",,"184,442,310,738","184,442,310,738","370,638,272,383","370,638,272,383","370,638,272,383","370,638,272,383",,,,,"252,606,231,164","343,210,516,437","401,658,130,497","565,856,179,391","560,773,914,557","782,508,211,888","800,354,498,243","868,738,600,577","656,941,802,179","774,379,320,715","845,467,840,775","899,922,644,488","877,915,580,013","813,372,204,612","731,236,231,801","572,281,278,032","815,421,069,438","796,779,609,489","822,096,071,191","1,150,183,278,928","908,697,235,663","910,919,670,259","956,839,167,610","1,080,593,614,704","1,118,778,424,723","1,249,409,842,168","1,441,482,360,205","1,556,218,088,721","1,679,189,003,972","1,940,266,219,419","2,230,281,879,124","2,012,977,847,756","2,127,458,464,159","2,175,066,131,896","2,138,315,423,383","1,925,248,934,514"
