TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"811,652,190,000",,,"1,876,454,260,000","1,352,652,420,000","1,174,166,550,000","1,233,815,330,000","1,618,004,130,000","1,734,816,820,000","2,252,562,890,000","2,167,038,450,000","2,228,386,700,000","2,418,210,080,000","2,365,601,340,000","2,311,161,980,000","2,465,803,440,000","2,613,613,210,000","1,872,877,710,000","2,571,757,950,000","2,920,846,870,000","4,190,363,070,000","4,860,430,210,000","5,065,915,400,000","5,440,393,800,000","6,610,378,960,000","7,663,157,360,000","6,164,772,130,000","5,595,967,720,000","4,961,835,550,000",,,,,,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,875,329,980,000","1,321,544,330,000","1,172,719,480,000","1,232,893,670,000","1,407,711,070,000","1,637,416,630,000","1,942,710,200,000","2,018,381,210,000","2,067,514,380,000","2,106,329,330,000","2,032,864,550,000","1,896,255,240,000","2,058,943,420,000","2,193,741,040,000","1,870,986,590,000","2,568,708,280,000","2,918,745,640,000","3,601,647,480,000","4,482,145,070,000","4,704,200,350,000","5,010,913,720,000","6,025,551,540,000","6,340,984,190,000","5,369,392,240,000","5,138,748,510,000","4,951,169,450,000",,,,,,,,
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"568,296,310,000",,,"48,145,780,000","256,905,260,000","21,212,940,000","27,730,920,000","94,999,870,000","15,072,570,000","16,421,310,000","22,839,950,000","29,728,130,000","82,250,140,000","42,785,710,000","72,132,070,000","91,929,870,000","17,224,980,000","37,542,630,000","15,861,220,000","54,168,560,000","21,929,570,000","63,696,940,000","143,263,370,000","47,206,170,000","336,585,020,000","265,748,140,000","138,674,550,000","95,830,520,000","126,346,970,000",,,,,,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,079,070,000","277,814,610,000","295,038,740,000","250,011,640,000","326,225,920,000","418,256,820,000","617,351,830,000","805,184,950,000","877,860,350,000","963,846,970,000","947,137,650,000","1,244,688,090,000","1,298,522,740,000","1,495,064,550,000","1,145,536,880,000","1,371,402,240,000","1,274,163,190,000","1,486,998,820,000","1,681,131,550,000","1,511,045,960,000","1,701,796,560,000","1,719,909,980,000","1,821,525,080,000","1,470,522,560,000","1,462,676,850,000","1,803,505,670,000",,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"388,187,140,000","1,114,050,000","31,216,690,000","31,356,850,000","25,922,480,000","140,360,000","458,790,000","1,708,810,000","413,610,000","249,510,000","597,560,000","364,260,000","313,160,000","3,259,290,000","318,040,000","251,010,000","990,060,000","1,549,000,000","1,791,780,000","1,033,400,000","1,636,540,000","1,682,170,000","3,236,100,000","2,120,780,000","7,861,660,000","2,482,960,000",,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,124,290,000","31,108,090,000","1,447,070,000","921,670,000","210,293,060,000","97,400,190,000","309,852,690,000","148,657,240,000","160,872,330,000","311,880,740,000","332,736,800,000","414,906,750,000","406,860,020,000","419,872,170,000","1,891,120,000","3,049,680,000","2,101,230,000","588,715,590,000","378,285,140,000","361,715,050,000","429,480,080,000","584,827,420,000","1,322,173,180,000","795,379,890,000","457,219,210,000","10,666,100,000",,,,,,,,
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,000,000",,"40,000,000","55,000,000","75,000,000",,"40,000,000","40,000,000","43,000,000",,"55,000,000","50,000,000","93,000,000",,"53,000,000","153,000,000","153,000,000",,"178,000,000","173,000,000","290,000,000",,"75,000,000","133,000,000","88,000,000",,,,,,,,,
