TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,"45,453,781,654","45,453,781,654","148,015,306,237","148,015,306,237","148,015,306,237","148,015,306,237","174,720,724,557","174,720,724,557","174,720,724,557","174,720,724,557","200,964,068,903","200,964,068,903",,"200,964,068,903","196,803,414,292","196,803,414,292","196,803,414,292","196,803,414,292","270,289,113,459","270,289,113,459","270,289,113,459","270,289,113,459","202,399,027,105","202,399,027,105","202,399,027,105","202,399,027,105",,"177,482,950,283",,,"182,756,809,064","208,696,433,326","184,720,815,717","199,757,782,797","216,087,348,872",,"288,919,554,599","327,585,739,113","348,151,579,557","348,861,346,125","356,641,561,418","313,855,786,387","293,530,941,311","343,970,115,750","563,133,713,860","537,160,855,389","497,357,827,862","519,901,054,781","493,371,967,034","512,049,968,970","510,642,092,525","613,734,658,069","626,179,405,548","888,364,169,919","829,087,699,243","819,658,530,944","1,022,484,998,397","1,063,437,056,508","915,554,385,318","1,019,009,266,283","1,095,733,271,875","1,295,025,330,147","1,382,458,772,883","1,623,932,947,081","1,888,566,334,846","1,971,366,932,162"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,"2,180,381,102","2,180,381,102","51,084,637,683","51,084,637,683","51,084,637,683","51,084,637,683","47,390,064,685","47,390,064,685","47,390,064,685","47,390,064,685","35,020,572,828","35,020,572,828",,"35,020,572,828","10,948,790,227","10,948,790,227","10,948,790,227","10,948,790,227","14,221,227,680","14,221,227,680","14,221,227,680","14,221,227,680","6,578,819,948","6,578,819,948","6,578,819,948","6,578,819,948",,"2,653,221,451",,,"1,164,303,799","826,493,195","5,443,574,330","8,429,289,190","8,589,772,610",,"1,751,690,519","13,015,959,086","36,128,264,611","36,010,285,097","12,620,265,118","15,079,122,349","16,594,552,783","8,796,474,575","4,021,717,428","31,035,460,284","18,629,486,117","19,490,635,121","15,216,929,891","45,607,004,509","42,080,961,003","44,803,359,314","64,486,276,947","195,223,847,882","118,173,771,766","76,040,960,353","22,640,697,389","31,467,554,678","53,814,361,968","19,382,672,946","18,369,141,686","22,474,218,275","39,145,739,488","9,164,405,922","72,117,227,759","127,476,123,992"
1. Tiền,,,,,,,,,,,,,,,"2,180,381,102","2,180,381,102","6,284,637,683","6,284,637,683","6,284,637,683","6,284,637,683","4,390,398,018","4,390,398,018","4,390,398,018","4,390,398,018","3,382,572,828","3,382,572,828",,"3,382,572,828","7,448,790,227","7,448,790,227","7,448,790,227","7,448,790,227","10,648,035,963","10,648,035,963","10,648,035,963","10,648,035,963","6,578,819,948","6,578,819,948","6,578,819,948","6,578,819,948",,"2,653,221,451",,,"1,164,303,799","826,493,195","5,443,574,330","8,429,289,190","3,589,772,610",,"1,751,690,519","9,015,959,086","4,128,264,611","3,010,285,097","2,620,265,118","895,774,506","6,594,552,783","8,796,474,575","4,021,717,428","23,035,460,284","5,629,486,117","11,490,635,121","11,098,995,765","30,607,004,509","12,080,961,003","6,803,359,314","21,486,276,947","187,223,847,882","15,173,771,766","8,040,960,353","22,640,697,389","24,967,554,678","27,285,940,050","8,382,672,946","7,369,141,686","16,374,218,275","33,045,739,488","3,064,405,922","55,984,137,079","21,334,718,196"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,"44,800,000,000","44,800,000,000","44,800,000,000","44,800,000,000","42,999,666,667","42,999,666,667","42,999,666,667","42,999,666,667","31,638,000,000","31,638,000,000",,"31,638,000,000","3,500,000,000","3,500,000,000","3,500,000,000","3,500,000,000","3,573,191,717","3,573,191,717","3,573,191,717","3,573,191,717",,,,,,,,,,,,,"5,000,000,000",,,"4,000,000,000","32,000,000,000","33,000,000,000","10,000,000,000","14,183,347,843","10,000,000,000",,,"8,000,000,000","13,000,000,000","8,000,000,000","4,117,934,126","15,000,000,000","30,000,000,000","38,000,000,000","43,000,000,000","8,000,000,000","103,000,000,000","68,000,000,000",,"6,500,000,000","26,528,421,918","11,000,000,000","11,000,000,000","6,100,000,000","6,100,000,000","6,100,000,000","16,133,090,680","106,141,405,796"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,"3,334,939,500","3,334,939,500","3,334,939,500","3,334,939,500","2,469,327,000","2,469,327,000","2,469,327,000","2,469,327,000","743,692,000","743,692,000",,"743,692,000","747,011,000","747,011,000","747,011,000","747,011,000","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109",,"488,109",,,"488,109","488,109","488,109","488,109","488,109",,"488,109","488,109","488,109","488,109","488,109","10,000,488,109","10,000,488,109","10,000,488,109","11,000,488,109","11,000,488,109","10,000,488,109","10,000,488,109","10,000,488,109","488,109","488,109","488,109","488,109","488,109","11,392,733,578","10,627,048,199","8,822,900,000","912,000,000",,,"4,409,865,564","4,409,865,564","4,409,865,564","54,409,865,564","4,409,865,564","4,409,865,564"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"488,109",,,"488,109","488,109","488,109","488,109","488,109",,"488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","488,109","11,392,733,578","14,891,946,882","12,071,388,912","1,288,856,867",,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,264,898,683","-3,248,488,912","-376,856,867",,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,"-430,369,160","-430,369,160","-430,369,160","-430,369,160","-913,444,300","-913,444,300","-913,444,300","-913,444,300","-2,514,268,050","-2,514,268,050",,"-2,514,268,050","-2,510,949,050","-2,510,949,050","-2,510,949,050","-2,510,949,050",,,,,,,,,,,,,,,,,,,,,,,,"10,000,000,000","10,000,000,000","10,000,000,000","11,000,000,000","11,000,000,000","10,000,000,000","10,000,000,000","10,000,000,000",,,,,,,,,,,,"4,409,865,564","4,409,865,564","4,409,865,564","54,409,865,564","4,409,865,564","4,409,865,564"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,"17,994,625,030","17,994,625,030","43,261,201,742","43,261,201,742","43,261,201,742","43,261,201,742","49,057,789,560","49,057,789,560","49,057,789,560","49,057,789,560","52,790,038,099","52,790,038,099",,"52,790,038,099","68,990,411,557","68,990,411,557","68,990,411,557","68,990,411,557","84,266,688,704","84,266,688,704","84,266,688,704","84,266,688,704","87,095,308,308","87,095,308,308","87,095,308,308","87,095,308,308",,"70,483,257,934",,,"100,689,643,122","136,729,102,548","91,258,160,797","91,779,261,386","52,412,854,768",,"69,241,998,967","114,949,494,274","95,984,851,965","100,020,760,557","113,669,656,930","82,786,789,653","40,612,489,340","82,732,235,411","187,209,567,638","183,805,005,592","125,214,808,684","159,150,574,690","173,162,726,566","231,993,128,306","200,155,742,560","311,920,653,027","288,327,107,790","381,939,770,349","368,036,539,865","363,435,424,327","364,545,788,926","305,333,153,009","285,398,348,127","245,975,103,386","273,777,033,837","338,128,498,393","394,715,777,069","688,569,977,659","1,483,264,456,966","1,481,446,744,719"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,"16,395,413,078","16,395,413,078","29,453,043,232","29,453,043,232","29,453,043,232","29,453,043,232","28,994,092,553","28,994,092,553","28,994,092,553","28,994,092,553","40,070,190,789","40,070,190,789",,"40,070,190,789","42,619,822,884","42,619,822,884","42,619,822,884","42,619,822,884","79,072,444,099","79,072,444,099","79,072,444,099","79,072,444,099","86,932,992,764","86,932,992,764","86,932,992,764","86,932,992,764",,"68,364,797,295",,,"102,734,068,692","140,133,329,255","93,785,311,491","94,213,924,832","54,178,822,607",,"68,690,335,446","115,080,661,103","93,211,100,167","97,725,721,889","112,670,237,604","76,979,381,943","30,173,734,676","55,515,809,956","77,596,242,007","182,497,357,682","122,482,080,236","153,937,544,187","167,574,200,892","204,960,802,452","158,420,702,929","275,356,072,224","210,899,279,993","250,077,594,969","219,131,735,043","196,872,522,535","187,728,149,259","189,996,288,007","164,553,159,234","134,954,693,519","162,788,026,975","246,712,984,084","274,260,740,154","548,482,837,247","507,637,910,495","397,136,619,226"
