TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,693,813,957,339",,,"4,222,869,937,193","4,007,177,821,947","3,656,725,174,753","3,913,191,674,421","3,948,014,412,739","4,479,623,851,757","4,744,279,314,198","4,910,497,015,485","4,945,403,246,503","5,859,476,942,328","3,768,006,144,998","4,311,553,913,668","4,900,898,810,580","4,736,496,889,076","4,641,207,034,239","4,268,142,781,838","4,598,807,682,832","4,083,389,621,807","4,193,324,835,002","3,986,947,246,255","4,106,050,728,553","5,233,906,952,991","5,836,119,226,472","7,282,185,488,206","9,491,389,553,736","10,799,747,110,299","10,614,353,055,245","11,633,943,108,689","12,382,242,818,473","13,330,943,523,260","12,738,909,667,594","13,243,528,989,131","14,010,468,900,378",,"12,822,789,730,467","12,836,863,732,576"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,003,768,907,605",,,"1,013,711,982,819","965,643,110,196","572,221,427,152","813,518,747,412","700,442,885,172","966,071,553,456","929,734,529,136","1,896,184,894,173","689,181,141,118","1,521,092,686,981","337,104,416,810","285,772,454,306","441,890,633,308","443,116,959,311","570,662,902,571","471,290,245,121","389,863,156,757","561,252,498,068","373,810,125,579","509,995,350,873","435,782,531,594","1,159,558,420,808","663,120,284,075","427,652,730,904","1,045,379,351,399","1,996,496,136,466","772,152,328,201","2,125,625,291,560","2,386,904,287,816","2,140,644,174,897","2,304,957,387,294","2,284,399,788,772","3,116,621,420,878",,"2,111,955,319,492","1,903,248,325,989"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"583,768,907,605",,,"181,711,982,819","583,643,110,196","240,221,427,152","481,518,747,412","368,442,885,172","534,071,553,456","597,734,529,136","393,834,894,173","357,181,141,118","689,092,686,981","337,104,416,810","165,772,454,306","441,890,633,308","243,116,959,311","170,662,902,571","371,290,245,121","339,863,156,757","561,252,498,068","373,810,125,579","289,995,350,873","400,782,531,594","859,558,420,808","663,120,284,075","427,652,730,904","1,045,379,351,399","846,496,136,466","752,152,328,201","2,125,625,291,560","2,356,904,287,816","2,110,644,174,897","2,284,957,387,294","2,274,399,788,772","3,061,621,420,878",,"2,111,955,319,492","1,903,248,325,989"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"420,000,000,000",,,"832,000,000,000","382,000,000,000","332,000,000,000","332,000,000,000","332,000,000,000","432,000,000,000","332,000,000,000","1,502,350,000,000","332,000,000,000","832,000,000,000",,"120,000,000,000",,"200,000,000,000","400,000,000,000","100,000,000,000","50,000,000,000",,,"220,000,000,000","35,000,000,000","300,000,000,000",,,,"1,150,000,000,000","20,000,000,000",,"30,000,000,000","30,000,000,000","20,000,000,000","10,000,000,000","55,000,000,000",,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,316,971,229,905",,,"2,552,555,555,556","2,500,000,000,000","2,400,000,000,000","2,300,000,000,000","2,200,000,000,000","2,700,000,000,000","2,900,000,000,000","2,100,000,000,000","3,120,000,000,000","3,170,000,000,000","2,252,000,000,000","2,502,000,000,000","2,332,000,000,000","1,932,000,000,000","1,532,000,000,000","2,002,000,000,000","2,002,000,000,000","1,902,000,000,000","2,202,000,000,000","2,302,000,000,000","2,602,000,000,000","2,932,000,000,000","3,412,000,000,000","4,362,000,000,000","5,562,000,000,000","5,212,000,000,000","6,912,000,000,000","6,812,000,000,000","6,842,000,000,000","8,372,000,000,000","7,512,000,000,000","8,242,000,000,000","7,812,000,000,000",,"6,503,600,000,000","7,039,051,232,877"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,316,971,229,905",,,"2,552,555,555,556","2,500,000,000,000","2,400,000,000,000","2,300,000,000,000","2,200,000,000,000","2,700,000,000,000","2,900,000,000,000","2,100,000,000,000",,"3,170,000,000,000","2,252,000,000,000","2,502,000,000,000","2,332,000,000,000","1,932,000,000,000","1,532,000,000,000","2,002,000,000,000","2,002,000,000,000","1,902,000,000,000","2,202,000,000,000","2,302,000,000,000","2,602,000,000,000","2,932,000,000,000","3,412,000,000,000","4,362,000,000,000","5,562,000,000,000","5,212,000,000,000","6,912,000,000,000","6,812,000,000,000","6,842,000,000,000","8,372,000,000,000","7,512,000,000,000","8,242,000,000,000","7,812,000,000,000",,"6,503,600,000,000","7,039,051,232,877"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173,626,596,496",,,"96,278,375,162","91,036,779,213","124,298,485,869","360,503,947,690","410,015,366,805","383,088,618,317","394,457,904,183","505,693,388,512","463,431,819,956","591,010,561,110","476,111,446,107","452,587,591,882","484,357,374,664","428,405,403,426","684,420,521,175","405,072,065,379","482,780,021,508","331,933,119,365","532,220,529,605","217,396,300,223","195,136,185,000","227,228,981,769","267,971,954,959","187,577,767,146","659,585,321,517","924,420,916,328","671,266,258,083","186,775,708,424","814,724,809,820","398,990,810,888","380,063,078,148","389,087,382,197","316,475,162,608",,"622,065,010,931","446,745,172,844"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,408,395,809",,,"12,066,854,685","7,937,512,494","4,355,788,282","6,814,108,300","36,112,475,792","11,853,181,523","5,453,333,101","1,281,694,330","28,243,813,925","30,923,839,938","974,875,286","17,543,502,062","8,836,197,729","16,146,249,635","279,473,512,761","2,927,737,656","3,427,925,661","20,760,797,220","294,285,037,346","44,753,555,075","1,207,151,341","14,988,090,925","1,398,595,342","44,653,506,905","13,951,016,302","748,327,187,261","433,269,442,376","1,404,795,808","7,180,081,703","66,041,998,905","4,218,828,685","198,511,991,794","8,028,889,293",,"406,555,825,229","298,904,899,906"
