TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,"2,206,351,774,722","2,999,673,943,329","6,838,617,335,281","7,104,103,528,415","4,349,670,000,000","2,884,926,276,909","6,429,465,019,247","8,923,171,414,604","4,469,634,000,000","6,933,035,000,000","7,295,195,000,000","11,989,959,000,000","8,570,293,000,000","13,621,807,000,000","13,209,831,000,000","1,879,304,000,000","1,683,871,000,000","1,841,024,000,000","1,480,222,000,000","1,795,185,000,000","1,806,851,000,000","1,833,393,000,000","1,662,045,000,000","1,866,210,000,000","1,876,686,000,000","2,467,699,000,000","2,040,749,000,000","2,944,002,000,000","4,314,927,000,000","3,017,366,000,000","2,020,060,000,000","2,812,785,000,000","2,618,464,000,000","2,796,334,000,000","2,282,200,000,000","3,159,317,000,000","3,147,814,000,000","2,535,943,000,000","2,356,198,000,000","3,796,752,000,000","6,283,016,000,000","7,405,520,000,000","2,630,283,000,000","2,255,719,000,000","3,345,747,000,000","2,101,048,000,000","2,073,126,000,000","1,983,030,000,000","2,084,977,000,000","2,047,391,000,000","1,936,330,000,000","2,373,420,000,000","2,071,318,000,000","2,247,179,000,000","2,125,863,000,000","2,347,958,000,000","1,869,721,000,000","2,070,528,000,000","2,257,426,000,000","2,055,335,000,000",,"2,148,295,000,000","2,095,973,000,000"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,"1,695,276,483,198","1,233,730,117,214","2,115,265,155,137","553,265,867,353","1,193,523,000,000","1,204,672,276,365","1,540,756,898,209","1,386,798,721,618","1,685,198,000,000","1,681,643,000,000","2,166,290,000,000","1,587,744,000,000","2,094,432,000,000","6,058,116,000,000","2,269,024,000,000","2,536,448,000,000","3,071,971,000,000","3,743,015,000,000","2,258,816,000,000","4,592,845,000,000","2,062,017,000,000","3,213,322,000,000","3,214,967,000,000","4,211,238,000,000","2,468,498,000,000","2,894,785,000,000","2,716,264,000,000","2,496,572,000,000","1,989,312,000,000","3,393,353,000,000","3,765,279,000,000","2,877,104,000,000","4,548,049,000,000","3,048,797,000,000","3,277,007,000,000","3,977,576,000,000","2,348,653,000,000","3,886,117,000,000","6,412,125,000,000","2,675,914,000,000","3,218,807,000,000","2,953,958,000,000","5,737,641,000,000","3,792,753,000,000","3,277,433,000,000","3,333,806,000,000","3,910,391,000,000","12,531,387,000,000","9,613,429,000,000","6,288,179,000,000","3,392,981,000,000","4,668,080,000,000","3,815,521,000,000","5,445,181,000,000","5,584,541,000,000","3,196,513,000,000","6,676,517,000,000","2,092,539,000,000","4,058,527,000,000","6,632,191,000,000",,"2,546,850,000,000","4,335,534,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,"12,295,825,680,954","13,397,018,162,147","6,976,108,683,977","8,992,717,425,423","12,925,964,000,000","20,190,070,656,482","32,110,539,154,428","33,870,761,869,517","40,089,966,000,000","36,498,155,000,000","64,529,043,000,000","54,418,482,000,000","61,308,309,000,000","52,108,388,000,000","57,515,032,000,000","56,263,240,000,000","48,657,671,000,000","46,047,388,000,000","57,874,497,000,000","40,358,579,000,000","22,690,055,000,000","28,821,633,000,000","39,463,117,000,000","23,849,983,000,000","9,178,586,000,000","4,192,705,000,000","7,833,274,000,000","7,066,423,000,000","5,952,211,000,000","9,238,253,000,000","8,281,291,000,000","11,349,307,000,000","10,475,080,000,000","9,557,168,000,000","15,245,884,000,000","11,068,516,000,000","14,297,762,000,000","16,701,184,000,000","18,850,864,000,000","21,072,429,000,000","18,394,141,000,000","18,139,425,000,000","25,857,597,000,000","22,246,188,000,000","15,697,196,000,000","21,644,340,000,000","32,378,350,000,000","23,705,421,000,000","24,316,627,000,000","26,804,590,000,000","25,206,015,000,000",,"27,225,004,000,000","32,484,084,000,000","26,046,802,000,000","30,479,843,000,000","36,734,543,000,000","41,101,798,000,000","43,026,893,000,000","35,638,965,000,000",,"32,300,806,000,000","29,829,638,000,000"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,"12,295,825,680,954","13,397,018,162,147","6,777,637,500,379","8,992,695,743,553",,"20,190,070,656,482","32,110,521,956,547","33,870,663,312,196",,"36,498,114,000,000","64,529,020,000,000","54,418,449,000,000","61,308,250,000,000","46,528,102,000,000","36,342,450,000,000","29,225,179,000,000","25,404,511,000,000","10,160,765,000,000","30,316,277,000,000","21,241,454,000,000","17,635,628,000,000","21,991,683,000,000","33,219,477,000,000","23,341,283,000,000","8,998,411,000,000","4,121,455,000,000","7,833,274,000,000","7,066,423,000,000","5,952,211,000,000","9,253,803,000,000","8,296,841,000,000","11,364,857,000,000","10,490,630,000,000","9,557,168,000,000","15,245,884,000,000","11,068,516,000,000","14,297,734,000,000","15,199,889,000,000","18,750,212,000,000","20,893,278,000,000","18,394,107,000,000","18,139,377,000,000","25,857,588,000,000","22,246,188,000,000","15,697,192,000,000","21,644,388,000,000","32,378,350,000,000","23,705,413,000,000","24,316,627,000,000","26,804,590,000,000","25,206,015,000,000",,,"32,484,084,000,000","26,046,802,000,000","30,479,843,000,000","36,734,543,000,000","41,101,798,000,000","43,026,893,000,000","35,638,965,000,000",,"32,300,806,000,000","29,829,638,000,000"
