TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,545,583,667","78,045,204,499","74,233,365,449","80,032,192,490","99,260,253,660","88,905,936,577","227,313,548,477","108,839,691,102","117,505,523,958","128,723,612,972","187,581,771,481","183,467,704,636","140,515,101,113","139,698,582,379","144,175,884,865","144,582,083,869","145,385,525,889","146,732,147,566","143,547,543,463","136,490,264,496","135,366,141,182",,"134,206,264,386",
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,603,914,328","1,977,147,780","11,968,309,891","26,379,609,124","9,126,748,462","675,907,742","375,132,152","747,249,484","6,371,157,574","2,370,379,871","1,731,714,552","1,515,314,813","2,977,769,327","1,737,445,041","1,286,184,386","1,446,884,520","6,480,136,898","4,325,383,870","873,913,498","46,812,819","872,934,538",,"180,711,969",
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,603,914,328","1,977,147,780","11,968,309,891","26,379,609,124",,"675,907,742","375,132,152","747,249,484","6,371,157,574","2,370,379,871","1,731,714,552","1,515,314,813","2,977,769,327","1,737,445,041","1,286,184,386","1,446,884,520","6,480,136,898","4,325,383,870","873,913,498","46,812,819","872,934,538",,"180,711,969",
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,990,790,000","3,002,969,017","1,759,435,668","1,094,428,626",,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,002,969,017","3,002,969,017","1,759,435,668","1,094,428,626",,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,179,017",,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,760,925,545","52,318,806,130","34,028,611,691","35,442,257,216","76,224,872,156","73,172,466,790","213,430,665,119","96,642,799,676","100,891,861,483","114,594,110,161","171,971,349,803","165,384,619,058","119,328,091,539","118,342,519,930","121,934,645,711","123,758,274,034","119,591,012,398","122,974,830,058","120,187,697,283","120,313,301,283","120,157,626,755",,"120,157,626,755",
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,458,834,282","40,565,448,247","23,971,231,830","35,435,013,490","57,843,502,885","58,105,110,839","205,461,366,472","79,656,761,778","80,073,600,240","92,945,615,477","119,327,482,206","144,981,758,623","48,109,777,037","91,314,266,937","94,290,828,882","96,634,816,135","92,564,983,335","95,866,270,129","91,968,070,129","92,093,674,129","92,093,674,129",,"92,093,674,129",
