TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,204,004,185,828","3,204,004,185,828","3,204,004,185,828","3,466,217,585,478","3,466,217,585,478","3,466,217,585,478","3,466,217,585,478",,"3,610,330,362,120",,,"2,887,940,974,211","3,156,922,116,924","2,897,786,265,118","6,337,922,974,804","8,031,188,144,879","8,134,631,146,361","7,570,720,237,182","7,508,120,927,689","7,392,031,814,782","9,009,116,168,340","8,265,596,850,419","8,101,652,660,281","8,834,667,258,073","7,981,799,449,800","8,302,410,718,483","8,406,073,453,673","9,519,481,536,194","10,020,228,172,091","12,529,681,006,932","13,051,580,922,613","14,793,649,168,179","25,461,148,197,099","28,847,777,099,989","29,868,859,203,763","30,072,735,353,327","24,060,082,094,975","22,322,617,978,647","19,831,788,602,298","20,196,228,591,405","19,878,026,330,780","20,590,977,502,765","20,260,814,853,429","19,474,641,675,559",,"23,343,384,968,191","22,911,987,330,255"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"494,352,346,689","494,352,346,689","494,352,346,689","770,927,664,834","770,927,664,834","770,927,664,834","770,927,664,834",,"430,294,759,140",,,"281,840,713,714","271,503,230,929","295,013,844,573","2,912,824,131,161","1,141,721,262,498","1,077,504,002,160","864,272,758,788","1,094,412,623,638","1,253,534,935,365","1,887,480,953,383","861,103,911,970","1,003,167,098,002","1,123,075,652,233","811,054,064,156","833,466,726,711","928,422,409,184","625,789,459,822","554,672,970,177","2,422,233,820,946","1,561,762,324,627","1,171,440,125,549","3,096,861,341,058","3,333,819,680,359","4,781,520,839,545","6,101,129,745,034","5,487,498,676,486","4,333,025,804,095","3,161,701,165,781","4,065,754,410,223","3,644,263,918,422","3,895,460,589,071","3,315,750,993,715","3,212,075,589,072",,"2,706,337,002,493","4,073,932,054,546"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"255,735,206,138","255,735,206,138","255,735,206,138","340,160,278,936","340,160,278,936","340,160,278,936","340,160,278,936",,"270,444,719,488",,,"153,234,763,714","223,503,230,929","203,013,844,573","552,276,131,161","525,613,262,498","434,162,439,634","472,741,685,552","603,601,231,418","913,177,317,871","1,579,235,059,244","541,548,924,103","674,299,498,002","975,559,552,233","543,483,964,156","598,269,011,951","731,401,309,184","443,218,359,822","423,932,870,177","1,904,282,890,946","1,130,976,452,678","1,114,934,749,049","2,630,807,699,522","2,948,364,986,357","3,447,687,672,766","3,434,871,753,890","2,538,180,410,100","1,899,354,141,802","1,933,686,804,164","2,834,213,778,504","1,424,561,968,538","2,262,682,179,973","2,303,490,600,130","2,415,117,722,135",,"1,632,299,851,496","2,040,479,290,964"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"238,617,140,551","238,617,140,551","238,617,140,551","430,767,385,898","430,767,385,898","430,767,385,898","430,767,385,898",,"159,850,039,652",,,"128,605,950,000","48,000,000,000","92,000,000,000","2,360,548,000,000","616,108,000,000","643,341,562,526","391,531,073,236","490,811,392,220","340,357,617,494","308,245,894,139","319,554,987,867","328,867,600,000","147,516,100,000","267,570,100,000","235,197,714,760","197,021,100,000","182,571,100,000","130,740,100,000","517,950,930,000","430,785,871,949","56,505,376,500","466,053,641,536","385,454,694,002","1,333,833,166,779","2,666,257,991,144","2,949,318,266,386","2,433,671,662,293","1,228,014,361,617","1,231,540,631,719","2,219,701,949,884","1,632,778,409,098","1,012,260,393,585","796,957,866,937",,"1,074,037,150,997","2,033,452,763,582"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"277,546,592,442","277,546,592,442","277,546,592,442","288,210,857,173","288,210,857,173","288,210,857,173","288,210,857,173",,"234,467,716,737",,,"393,100,000,000","613,755,377,778","410,212,894,267","353,394,502,790","1,883,653,960,408","1,508,761,769,779","1,891,523,366,919","1,599,854,524,169","1,453,128,162,175","1,981,584,132,657","1,834,796,769,248","1,784,455,085,242","1,375,958,626,704","1,073,488,607,285","1,155,806,669,564","1,206,823,296,482","1,706,637,263,044","829,587,290,062","983,909,592,180","1,728,196,377,863","1,980,723,670,150","2,690,168,774,968","5,354,511,635,486","7,524,313,367,920","8,053,921,495,825","3,040,601,571,898","2,875,250,778,224","2,520,704,273,989","2,422,545,790,387","3,225,098,269,028","2,812,183,890,831","4,120,212,573,328","3,186,204,754,240",,"5,449,757,033,695","5,049,686,121,205"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,000,000,000",,,"552,590,272,558","705,590,272,558","916,407,447,146","962,113,749,803","875,427,369,405","1,601,638,192,625","1,506,070,009,587","1,437,174,593,265","1,233,373,088,127","912,705,358,165","973,366,533,610","1,017,991,730,244","1,584,232,379,911","808,587,290,062","953,739,592,180","1,617,326,377,863","1,854,353,670,150","2,558,144,684,624","5,293,301,837,365","7,053,593,032,908","7,797,787,832,147","2,935,174,389,857","2,330,170,107,483","2,171,365,550,185","2,362,690,841,664","2,423,845,847,205","2,095,963,208,509","3,385,232,291,770","2,455,715,395,039",,"4,994,038,572,579","4,547,632,976,936"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,145,365,058","-14,504,551,812","-21,625,810,849","-35,636,875,956","-36,685,287,238","-57,204,848,078","-34,890,960,578","-13,797,519,588","-13,797,519,588","-11,920,847,498","-11,920,399,458","-30,250,802,698","-30,250,802,698",,,,,"-4,145,288,131","-3,372,784,635","-17,500,698,920","-17,202,830,575","-107,248,967,973","-13,234,794,824","-2,525,400,000","-147,186,900,000","-49,833,122,571","-48,034,710,570","-31,239,176,854","-9,754,472,847",,"-46,666,682,082","-23,975,524,800"
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-16,609,555,800","-16,609,555,800","-16,609,555,800",,,,,,"234,467,716,737",,,"393,100,000,000","573,755,377,778","410,212,894,267","353,394,502,790","1,332,209,052,908","817,676,049,033","996,741,730,622","673,377,650,322","614,386,080,008","437,150,788,110","363,617,720,239","361,078,011,565","156,383,058,165","172,704,096,618","194,360,535,412","219,082,368,936","152,655,685,831","21,000,000,000","30,170,000,000","110,870,000,000","126,370,000,000","136,169,378,475","64,582,582,756","488,221,033,932","273,336,494,253","212,676,150,014","558,315,465,565","351,864,123,804","207,041,848,723","851,085,544,394","764,255,392,892","766,219,458,412","740,243,832,048",,"502,385,143,198","526,028,669,069"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,089,838,390,170","1,089,838,390,170","1,089,838,390,170","937,600,947,599","937,600,947,599","937,600,947,599","937,600,947,599",,"1,461,509,510,663",,,"1,110,273,066,777","1,318,534,238,979","1,297,273,082,732","1,503,590,465,601","2,903,136,918,496","3,566,984,266,440","2,891,651,644,307","2,915,085,547,695","2,446,514,776,146","2,807,596,106,488","3,388,784,549,467","3,086,911,187,658","3,793,347,614,831","3,484,698,519,641","3,688,964,271,277","3,432,938,452,058","4,286,605,939,812","5,590,166,653,297","5,871,659,922,841","6,273,798,681,177","6,120,169,744,976","8,277,368,590,287","7,611,054,625,762","5,032,076,915,731","5,534,387,147,825","4,669,857,737,890","4,653,404,974,504","4,186,720,075,272","4,345,280,778,854","3,883,147,374,816","4,442,619,286,006","3,425,216,337,890","3,673,310,195,670",,"4,611,366,696,024","4,118,279,578,278"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,026,964,385,967","1,026,964,385,967","1,026,964,385,967","914,121,519,657","914,121,519,657","914,121,519,657","914,121,519,657",,"1,291,045,165,746",,,"998,904,999,407","1,207,292,298,886","1,249,328,666,486","1,214,013,091,219","1,882,111,015,777","2,110,354,859,626","1,864,308,697,645","1,862,616,566,954","2,007,997,337,222","2,086,317,073,275","2,221,953,330,913","2,029,526,612,796","2,449,939,025,018","2,180,102,649,194","2,523,906,517,040","2,052,661,517,026","2,710,041,076,506","2,258,525,152,462","3,483,108,192,597","4,105,544,838,418","4,321,019,914,651","5,830,440,933,482","5,625,717,438,730","3,853,852,204,819","3,797,394,309,336","3,705,919,307,498","3,350,366,911,123","2,739,688,858,814","2,953,612,301,549","3,029,979,044,731","3,473,737,735,062","2,704,657,911,832","2,733,387,763,557",,"2,509,856,168,339","2,349,313,099,535"
