TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130,983,744,264","156,358,059,361","160,246,823,888","168,354,905,427","183,918,527,653","165,459,901,514","174,814,700,003","165,266,323,001","173,544,504,721","165,249,205,613","175,193,010,847","168,087,108,476","165,246,384,475",,"168,038,816,292","161,272,886,754"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,716,636,371","6,153,511,553","9,106,394,578","11,383,921,950","16,782,200,707","5,803,267,803","7,946,372,244","5,505,311,153","10,223,219,359","4,686,473,006","6,284,899,848","10,921,319,246","9,898,559,960",,"8,647,748,639","6,430,101,553"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,716,636,371","6,153,511,553","9,106,394,578","11,383,921,950","16,782,200,707","5,803,267,803","7,946,372,244","5,505,311,153","10,223,219,359","4,686,473,006","6,284,899,848","10,921,319,246","9,898,559,960",,"8,647,748,639","6,430,101,553"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000,000","85,000,000,000","85,000,000,000","98,000,000,000","102,434,599,720","99,434,599,720","103,434,599,720","93,434,599,720","89,434,599,720","87,934,599,720","92,934,599,720","83,934,599,720","83,934,599,720",,"94,938,554,957","92,403,010,888"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,434,599,720","3,434,599,720","3,434,599,720","3,434,599,720","3,434,599,720","3,434,599,720","3,434,599,720","3,434,599,720","3,434,599,720",,"3,434,599,720","3,434,599,720"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000,000","85,000,000,000","85,000,000,000","98,000,000,000","99,000,000,000","96,000,000,000","100,000,000,000","90,000,000,000","86,000,000,000","84,500,000,000","89,500,000,000","80,500,000,000","80,500,000,000",,"91,503,955,237","88,968,411,168"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,976,196,554","14,858,697,854","19,507,241,144","9,719,419,624","14,315,606,181","14,458,110,997","18,386,630,059","18,371,620,133","22,760,941,414","19,350,110,527","20,050,733,838","15,866,534,768","16,568,060,592",,"19,900,221,769","21,264,837,504"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,098,873,158","16,127,140,658","17,258,110,248","10,791,921,351","12,654,800,944","12,919,943,147","16,908,895,577","18,478,994,612","17,912,589,328","19,081,938,991","15,707,917,902","14,622,681,049","13,756,521,493",,"18,739,507,331","20,161,694,396"
