TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,"108,330,261,406","108,330,261,406","108,330,261,406","103,039,339,055","103,039,339,055","103,039,339,055","103,039,339,055","134,758,318,930","134,758,318,930","134,758,318,930","134,758,318,930","125,480,199,133","125,480,199,133","125,480,199,133","125,480,199,133","143,276,525,416","143,276,525,416","143,276,525,416","143,276,525,416","144,792,050,426","144,792,050,426","144,792,050,426","144,792,050,426","219,018,107,281","219,018,107,281","219,018,107,281","219,018,107,281","164,120,814,122","164,120,814,122","164,120,814,122","164,120,814,122",,"157,137,569,193",,,"285,809,528,458","304,708,879,231","316,457,037,910","355,320,557,275","445,070,104,551","460,732,493,770","415,078,839,752","406,044,086,979","532,640,397,881","580,311,587,345","613,358,000,448","613,500,961,425","570,356,535,821","488,742,657,284","428,224,579,668","507,753,374,885","511,259,288,831","400,080,640,280","364,286,655,691","466,616,518,858","452,099,809,862","519,039,422,469","464,985,599,761","431,146,109,440","555,207,181,141","533,171,836,482","412,087,230,931","337,268,555,090","259,940,660,106","245,559,377,967","275,987,043,219","304,561,271,211","290,694,244,832",,"293,502,512,370","286,242,338,183"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,"10,782,861,980","10,782,861,980","10,782,861,980","12,933,069,911","12,933,069,911","12,933,069,911","12,933,069,911","11,064,763,000","11,064,763,000","11,064,763,000","11,064,763,000","8,031,042,891","8,031,042,891","8,031,042,891","8,031,042,891","30,642,711,474","30,642,711,474","30,642,711,474","30,642,711,474","38,031,334,678","38,031,334,678","38,031,334,678","38,031,334,678","122,563,587,853","122,563,587,853","122,563,587,853","122,563,587,853","63,966,297,242","63,966,297,242","63,966,297,242","63,966,297,242",,"35,672,829,880",,,"24,105,382,630","12,074,992,411","13,090,755,968","27,090,884,529","19,542,047,432","34,366,566,209","17,868,289,171","18,635,597,371","18,892,713,273","29,219,366,386","34,942,372,585","35,314,431,830","33,471,593,131","13,869,136,209","16,523,900,589","8,067,323,647","21,321,557,058","10,959,488,441","19,724,285,099","47,083,494,191","27,165,397,649","11,507,674,916","13,372,068,708","19,282,838,309","10,091,209,373","12,264,466,324","8,093,775,568","35,015,919,767","14,179,059,280","30,201,276,692","6,025,106,070","5,994,366,825","9,159,701,319",,"9,543,596,176","2,253,147,302"
1. Tiền,,,,,,,,,,"10,782,861,980","10,782,861,980","10,782,861,980","12,933,069,911","12,933,069,911","12,933,069,911","12,933,069,911","11,064,763,000","11,064,763,000","11,064,763,000","11,064,763,000","4,231,042,891","4,231,042,891","4,231,042,891","4,231,042,891","12,678,202,337","12,678,202,337","12,678,202,337","12,678,202,337","5,031,334,678","5,031,334,678","5,031,334,678","5,031,334,678","42,563,587,853","42,563,587,853","42,563,587,853","42,563,587,853","26,966,297,242","26,966,297,242","26,966,297,242","26,966,297,242",,"8,572,829,880",,,"24,105,382,630","12,074,992,411","13,090,755,968","27,090,884,529","19,542,047,432","34,366,566,209","17,868,289,171","18,635,597,371","18,892,713,273","29,219,366,386","34,942,372,585","35,314,431,830","33,471,593,131","13,869,136,209","16,523,900,589","8,067,323,647","21,321,557,058","10,959,488,441","19,724,285,099","31,583,494,191","27,165,397,649","11,507,674,916","13,372,068,708","19,282,838,309","10,091,209,373","12,264,466,324","8,093,775,568","27,015,919,767","14,179,059,280","21,751,276,692","6,025,106,070","5,994,366,825","9,159,701,319",,"9,543,596,176","2,253,147,302"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,"3,800,000,000","3,800,000,000","3,800,000,000","3,800,000,000","17,964,509,137","17,964,509,137","17,964,509,137","17,964,509,137","33,000,000,000","33,000,000,000","33,000,000,000","33,000,000,000","80,000,000,000","80,000,000,000","80,000,000,000","80,000,000,000","37,000,000,000","37,000,000,000","37,000,000,000","37,000,000,000",,"27,100,000,000",,,,,,,,,,,,,,,,,,,,,,"15,500,000,000",,,,,,,,"8,000,000,000",,"8,450,000,000",,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,"26,548,819,000","26,548,819,000","26,548,819,000","2,904,251,092","2,904,251,092","2,904,251,092","2,904,251,092","807,345,000","807,345,000","807,345,000","807,345,000",,,,,,,,,,,,,,,,,,,,,,"11,300,000,000",,,"149,950,000,000","182,065,577,966","210,822,572,487","229,920,126,572","303,863,132,051","299,844,386,889","292,866,164,667","254,883,466,667","291,693,102,222","342,741,905,966","358,534,044,414","351,040,899,346","334,760,476,070","332,120,755,010","291,377,626,505","342,888,013,699","370,288,013,699","276,332,635,616","251,532,635,616","325,800,000,000","324,300,000,000","384,100,000,000","338,200,000,000","277,100,000,000","373,400,000,000","387,000,000,000","312,770,656,438","227,790,751,643","182,874,207,582","162,255,112,377","201,601,000,000","232,101,000,000","198,051,000,000",,"187,551,000,000","186,250,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,300,000,000",,,"149,950,000,000","182,065,577,966","210,822,572,487","229,920,126,572","303,863,132,051","299,844,386,889","292,866,164,667","254,883,466,667","291,693,102,222","342,741,905,966","358,534,044,414","351,040,899,346","334,760,476,070","332,120,755,010","291,377,626,505","342,888,013,699","370,288,013,699","276,332,635,616","251,532,635,616","325,800,000,000","324,300,000,000","384,100,000,000","338,200,000,000","277,100,000,000","373,400,000,000","387,000,000,000","312,770,656,438","227,790,751,643","182,874,207,582","162,255,112,377","201,601,000,000","232,101,000,000","198,051,000,000",,"187,551,000,000","186,250,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,"21,775,253,815","21,775,253,815","21,775,253,815","25,055,679,481","25,055,679,481","25,055,679,481","25,055,679,481","33,880,308,481","33,880,308,481","33,880,308,481","33,880,308,481","28,526,684,513","28,526,684,513","28,526,684,513","28,526,684,513","40,180,087,194","40,180,087,194","40,180,087,194","40,180,087,194","31,393,378,543","31,393,378,543","31,393,378,543","31,393,378,543","43,192,037,293","43,192,037,293","43,192,037,293","43,192,037,293","28,593,405,192","28,593,405,192","28,593,405,192","28,593,405,192",,"37,215,677,698",,,"47,979,889,163","34,490,494,091","40,833,883,067","34,727,250,551","47,049,214,667","49,369,078,020","39,423,782,122","50,926,432,519","79,726,665,393","56,901,696,532","94,496,951,734","35,247,422,788","44,638,375,098","52,259,663,742","47,431,818,690","42,263,573,810","52,355,472,630","42,586,853,127","65,154,443,993","35,573,425,718","43,229,737,474","52,925,527,857","38,154,224,260","38,638,091,899","100,560,976,323","39,431,753,868","17,830,445,085","13,152,024,373","16,358,439,855","12,008,962,041","20,195,609,404","12,685,477,666","24,550,729,200",,"34,392,386,281","20,367,469,915"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,"15,065,523,959","15,065,523,959","15,065,523,959","16,291,511,504","16,291,511,504","16,291,511,504","16,291,511,504","24,809,423,658","24,809,423,658","24,809,423,658","24,809,423,658","21,283,731,280","21,283,731,280","21,283,731,280","21,283,731,280","18,633,066,826","18,633,066,826","18,633,066,826","18,633,066,826","24,505,859,746","24,505,859,746","24,505,859,746","24,505,859,746","30,083,507,930","30,083,507,930","30,083,507,930","30,083,507,930","22,798,532,206","22,798,532,206","22,798,532,206","22,798,532,206",,"24,973,805,282",,,"38,493,736,676","28,192,932,852","27,982,000,544","19,350,193,408","24,205,223,074","23,020,376,768","19,951,155,315","21,810,880,027","27,225,001,386","29,128,713,926","20,329,146,442","21,210,889,656","22,699,652,285","39,821,690,724","37,309,465,578","30,592,067,498","24,178,876,065","26,378,538,727","44,624,737,366","26,511,617,247","33,514,574,477","29,897,543,786","19,286,584,531","23,188,518,363","29,060,405,993","18,860,510,967","6,987,355,244","7,931,400,209","12,683,488,818","8,610,487,063","15,613,072,691","8,246,078,476","19,014,639,817",,"30,495,251,895","14,639,266,525"
