TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"249,093,480,436","275,898,739,595","249,920,286,156","231,065,442,156","277,190,329,200","289,223,919,844","387,015,937,594","207,401,261,769","277,593,894,495","309,847,301,646","346,028,353,785","312,745,723,638","316,302,839,206","321,501,288,083","311,541,029,241","327,665,394,363","318,503,580,853","308,282,090,066","308,173,589,922","338,615,544,582","355,674,280,683","388,677,955,454","398,836,042,074","436,730,961,216","501,768,199,948","483,361,889,178","547,117,651,084","523,547,578,594","505,648,444,313","533,176,747,553","556,410,448,615","572,380,218,604","577,766,813,793",,"638,823,459,399","616,753,512,423"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,468,957,895","20,478,562,314","36,248,645,247","32,336,062,261","35,674,393,884","33,559,183,855","27,869,335,014","18,111,781,232","11,213,348,762","33,476,610,322","15,937,217,618","10,165,202,279","1,525,278,873","6,904,765,932","14,736,489,511","20,152,837,791","5,605,746,555","11,893,209,926","5,787,969,332","9,942,182,094","2,560,351,446","19,687,859,340","27,807,735,758","17,189,425,621","74,703,977,861","55,350,969,366","24,703,205,772","28,221,860,924","15,448,870,702","41,177,660,795","15,762,828,589","61,806,193,040","19,415,143,209",,"58,218,413,031","88,987,389,615"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,468,957,895","20,478,562,314","36,248,645,247","32,336,062,261","35,674,393,884","32,570,183,855","22,234,335,014","18,111,781,232","11,213,348,762","33,476,610,322","15,937,217,618","10,165,202,279","1,525,278,873","6,904,765,932","14,736,489,511","20,152,837,791","5,605,746,555","11,893,209,926","5,787,969,332","9,942,182,094","2,560,351,446","19,687,859,340","27,807,735,758","17,189,425,621","39,703,977,861","20,350,969,366","20,123,205,772","28,221,860,924","9,018,870,702","7,233,839,705","15,762,828,589","50,356,193,040","19,415,143,209",,"18,307,613,031","50,137,389,615"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"989,000,000","5,635,000,000",,,,,,,,,,,,,,,,,,"35,000,000,000","35,000,000,000","4,580,000,000",,"6,430,000,000","33,943,821,090",,"11,450,000,000",,,"39,910,800,000","38,850,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"255,000,000","2,285,000,000","2,722,000,000",,,"842,800,000","47,579,010,500",,,,,,"19,850,000,000",,,"6,000,000,000","6,000,000,000","6,000,000,000","36,000,000,000","39,094,000,000","19,094,000,000","22,294,000,000","78,084,000,000","74,611,112,000","61,585,000,000","57,620,000,000","76,828,200,000","58,828,200,000","58,828,200,000",,"70,278,200,000","63,714,100,118"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"255,000,000","2,285,000,000","2,722,000,000",,,"842,800,000","47,579,010,500",,,,,,"19,850,000,000",,,"6,000,000,000","6,000,000,000","6,000,000,000","36,000,000,000","39,094,000,000","19,094,000,000","22,294,000,000","78,084,000,000","74,611,112,000","61,585,000,000","57,620,000,000","76,828,200,000","58,828,200,000","58,828,200,000",,"70,278,200,000","63,714,100,118"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130,231,502,303","157,761,844,522","146,936,232,070","132,137,601,060","155,251,590,721","195,167,289,135","248,326,667,808","141,774,355,311","218,811,079,092","205,407,544,034","214,956,172,067","176,154,578,427","198,190,282,021","143,820,327,937","140,906,755,258","191,261,458,085","177,238,856,252","145,698,791,525","158,107,420,107","176,788,999,547","211,402,514,898","206,642,486,828","155,206,308,624","191,092,179,788","194,538,597,682","181,786,365,835","198,647,032,042","113,253,977,114","185,311,720,218","169,212,781,693","202,889,693,115","164,041,970,800","187,537,602,354",,"217,020,583,038","181,702,115,326"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,815,511,408","143,625,296,522","141,120,525,990","127,689,820,074","141,244,095,821","164,549,550,505","204,192,340,961","124,706,181,567","156,521,277,037","168,923,838,785","188,868,730,958","175,989,775,737","187,124,375,754","139,393,563,280","129,201,483,150","165,222,774,593","154,732,992,868","138,859,524,423","161,427,653,094","181,501,865,944","216,182,861,400","211,438,178,265","154,966,279,224","184,151,284,265","185,928,404,990","177,333,918,104","185,665,197,969","119,924,482,622","171,499,226,497","146,604,882,715","183,901,245,740","138,244,164,006","155,521,330,305",,"184,877,478,617","144,345,330,786"
