TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,073,710,787,300","1,206,768,685,418","1,081,451,816,680","1,073,763,717,657","882,341,475,731","1,176,737,289,455","1,118,909,127,293","1,121,890,546,020","1,041,855,459,002","1,143,813,904,659","925,705,404,255","948,102,705,942","860,352,612,065","926,882,156,128","886,895,307,217","964,021,598,796","955,357,641,117","1,192,313,857,353","1,354,629,704,115","1,611,110,690,296","1,443,567,137,689","1,746,065,778,461","1,778,157,696,140","1,602,874,533,011","1,421,907,698,656","1,611,425,040,830","1,760,137,361,527","1,761,253,888,457","1,869,958,297,006","2,122,515,465,211","1,990,406,255,059","2,095,048,422,916"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,154,585,485","29,816,820,892","53,184,051,574","30,218,218,837","26,412,901,797","36,743,425,521","33,493,030,460","25,052,150,214","20,023,331,983","26,651,184,993","34,371,615,165","30,304,159,223","48,673,476,289","18,346,330,283","40,381,857,528","44,218,004,444","82,276,010,572","55,977,851,836","43,032,524,602","58,586,417,754","30,786,780,527","31,854,667,232","138,368,843,104","24,500,930,736","28,458,454,224","25,038,150,232","146,494,612,270","210,985,575,944","540,001,686,130","325,817,417,048","203,616,568,411","467,127,892,045"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,154,585,485","29,816,820,892","53,184,051,574","28,968,218,837","24,139,901,797","35,970,425,521","31,493,030,460","25,052,150,214","20,023,331,983","26,651,184,993","31,371,615,165","27,304,159,223","47,673,476,289","18,346,330,283","25,381,857,528","15,009,004,444","40,276,010,572","16,377,851,836","23,647,524,602","50,563,449,704","22,763,812,477","28,831,699,182","103,968,843,104","17,500,930,736","26,458,454,224","25,038,150,232","19,433,278,535","13,763,575,944","18,371,561,130","12,167,417,048","25,753,568,411","20,290,892,045"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,250,000,000","2,273,000,000","773,000,000","2,000,000,000",,,,"3,000,000,000","3,000,000,000","1,000,000,000",,"15,000,000,000","29,209,000,000","42,000,000,000","39,600,000,000","19,385,000,000","8,022,968,050","8,022,968,050","3,022,968,050","34,400,000,000","7,000,000,000","2,000,000,000",,"127,061,333,735","197,222,000,000","521,630,125,000","313,650,000,000","177,863,000,000","446,837,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,822,032,865","13,944,546,529","13,944,546,529","14,191,267,129","14,191,267,129","13,826,195,600","14,090,680,083","14,090,680,083","14,090,680,083","14,090,680,083","14,378,145,329","15,283,145,329","16,038,145,329","24,033,145,329","18,807,800,000","24,357,800,000","44,857,800,000","78,037,800,000","128,157,800,000","119,955,000,000","212,885,000,000","219,755,000,000","217,755,000,000","139,255,000,000","175,000,000,000","228,740,964,000","279,334,478,495","176,606,702,730","175,651,000,000","205,424,000,000","341,805,000,000","254,147,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,822,032,865","13,944,546,529","13,944,546,529","14,191,267,129","14,191,267,129","13,826,195,600","14,090,680,083","14,090,680,083","14,090,680,083","14,090,680,083","14,378,145,329","15,283,145,329","16,038,145,329","24,033,145,329","18,807,800,000","24,357,800,000","44,857,800,000","78,037,800,000","128,157,800,000","119,955,000,000","212,885,000,000","219,755,000,000","217,755,000,000","139,255,000,000","175,000,000,000","228,740,964,000","279,334,478,495","176,606,702,730","175,651,000,000","205,424,000,000","341,805,000,000","254,147,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"475,713,602,476","419,471,177,347","440,030,486,412","295,759,777,028","360,876,530,442","381,948,193,855","459,048,922,781","256,596,306,359","410,396,421,478","425,650,351,208","344,094,016,018","247,340,784,379","306,606,021,936","243,450,173,596","355,027,676,346","344,067,085,896","337,501,204,973","395,368,709,605","622,863,930,054","534,302,084,963","595,070,934,459","570,303,089,159","574,889,285,597","460,474,879,436","512,653,587,779","425,052,815,518","513,794,623,937","538,764,767,392","513,927,631,166","583,083,605,649","738,947,682,319","531,325,195,244"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"420,100,980,922","380,235,266,034","365,640,696,622","251,265,968,149","290,062,551,017","335,394,962,777","377,267,443,301","234,029,745,397","354,984,033,476","394,831,721,866","264,129,378,229","211,013,119,950","244,098,453,172","220,354,119,429","330,732,442,936","327,938,419,824","287,666,545,351","362,021,506,609","528,632,537,630","485,922,363,886","542,320,238,885","557,714,193,919","502,935,679,419","447,460,848,580","459,796,000,314","412,247,706,911","492,525,573,389","515,334,151,341","471,545,986,779","552,742,990,106","658,811,605,062","516,827,779,410"
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,868,558,631","34,739,807,220","59,221,327,742","32,720,608,942","54,550,980,438","40,109,712,487","76,176,572,593","20,067,445,830","43,689,410,248","23,835,999,254","49,748,620,129","18,131,984,326","55,146,477,586","16,624,838,740","19,280,318,801","15,160,599,151","43,076,398,928","26,290,670,232","86,238,533,520","43,995,355,569","53,068,511,466","15,237,379,740","73,379,039,961","13,934,866,168","51,164,940,546","9,296,480,999","19,578,779,149","15,170,221,285","31,684,171,455","18,969,602,928","67,567,642,544","4,750,973,972"
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"539,100,000","806,400,000","604,800,000","806,400,000","604,800,000","761,400,000","559,800,000","652,400,000","454,800,000","657,400,000","456,700,000","611,200,000","501,600,000","576,600,000","524,000,000","591,200,000","442,100,000","426,400,000","309,500,000","488,100,000","354,600,000","839,671,000","723,171,000","2,751,260,000","2,342,860,000","2,342,860,000","1,757,145,000","2,342,860,000","1,757,145,000","2,342,860,000","1,757,145,000","2,342,860,000"
