TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,"835,534,887,624",,,,"643,672,259,618","643,672,259,618","643,672,259,618","643,672,259,618","690,933,424,399","690,933,424,399","690,933,424,399","690,933,424,399","652,464,647,158","652,464,647,158","652,464,647,158","652,464,647,158","625,024,178,756","625,024,178,756","625,024,178,756","625,024,178,756",,"597,691,969,852",,,"482,992,767,861","447,580,331,748","460,244,572,735","532,586,934,589","514,614,976,840","550,329,337,604","589,008,949,874","661,218,862,660","677,814,840,436","746,453,405,840","780,492,613,648","672,187,285,029","635,051,724,761","475,379,346,277","384,887,291,260","348,366,838,285","291,535,767,454","272,206,866,372","250,558,054,668","223,704,591,399","226,990,954,644","263,761,710,565","257,109,152,565","309,649,378,502","299,939,085,073","250,159,323,692","257,413,085,116","224,494,425,099","227,904,896,538","226,131,797,125",,,,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,"23,600,173,289",,,,"17,640,559,190","17,640,559,190","17,640,559,190","17,640,559,190","16,067,856,983","16,067,856,983","16,067,856,983","16,067,856,983","46,795,343,168","46,795,343,168","46,795,343,168","46,795,343,168","53,148,980,302","53,148,980,302","53,148,980,302","53,148,980,302",,"35,023,601,281",,,"25,514,228,845","26,980,790,516","17,186,871,713","31,019,335,161","12,632,118,304","24,721,153,004","25,886,009,464","39,897,995,489","33,906,575,458","29,684,424,092","15,913,101,443","69,534,389,070","27,336,944,171","25,375,844,881","18,663,648,871","38,661,957,776","13,287,361,132","2,249,999,974","8,550,543,760","3,804,131,012","47,923,751,931","9,590,944,381","5,821,780,592","13,535,956,805","29,829,916,858","29,144,721,935","29,112,417,427","13,312,192,784","6,383,947,989","2,047,323,023",,,,,,
1. Tiền,,,,,,,,,,,,,,,,,,,,,"10,000,173,289",,,,"8,825,559,190","8,825,559,190","8,825,559,190","8,825,559,190","10,067,856,983","10,067,856,983","10,067,856,983","10,067,856,983","40,295,343,168","40,295,343,168","40,295,343,168","40,295,343,168","45,648,980,302","45,648,980,302","45,648,980,302","45,648,980,302",,"20,523,601,281",,,"11,214,228,845","18,480,790,516","5,986,871,713","10,119,335,161","7,432,118,304","13,721,153,004","25,486,009,464","29,497,995,489","16,506,575,458","14,784,424,092","15,513,101,443","51,134,389,070","11,936,944,171","15,375,844,881","8,663,648,871","28,661,957,776","13,287,361,132","2,249,999,974","8,550,543,760","3,804,131,012","47,923,751,931","4,590,944,381","5,821,780,592","13,535,956,805","4,829,916,858","4,144,721,935","9,112,417,427","3,312,192,784","2,983,947,989","2,047,323,023",,,,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,"13,600,000,000",,,,"8,815,000,000","8,815,000,000","8,815,000,000","8,815,000,000","6,000,000,000","6,000,000,000","6,000,000,000","6,000,000,000","6,500,000,000","6,500,000,000","6,500,000,000","6,500,000,000","7,500,000,000","7,500,000,000","7,500,000,000","7,500,000,000",,"14,500,000,000",,,"14,300,000,000","8,500,000,000","11,200,000,000","20,900,000,000","5,200,000,000","11,000,000,000","400,000,000","10,400,000,000","17,400,000,000","14,900,000,000","400,000,000","18,400,000,000","15,400,000,000","10,000,000,000","10,000,000,000","10,000,000,000",,,,,,"5,000,000,000",,,"25,000,000,000","25,000,000,000","20,000,000,000","10,000,000,000","3,400,000,000",,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,"1,400,000,000",,,,,,,,"1,865,000,000","1,865,000,000","1,865,000,000","1,865,000,000","4,423,000,000","4,423,000,000","4,423,000,000","4,423,000,000","2,844,460,000","2,844,460,000","2,844,460,000","2,844,460,000",,"400,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,"208,198,481,282",,,,"168,482,070,706","168,482,070,706","168,482,070,706","168,482,070,706","211,918,084,373","211,918,084,373","211,918,084,373","211,918,084,373","148,514,777,047","148,514,777,047","148,514,777,047","148,514,777,047","118,225,620,754","118,225,620,754","118,225,620,754","118,225,620,754",,"207,278,021,178",,,"216,473,988,031","204,542,852,758","200,988,127,323","183,443,641,662","203,057,020,008","242,939,825,266","262,372,468,534","265,081,740,351","257,033,483,794","245,405,398,659","260,446,033,555","226,114,241,543","217,003,096,215","170,329,559,707","167,333,558,011","151,704,072,372","114,416,285,013","116,017,867,637","103,832,918,654","101,078,760,344","91,345,661,370","154,702,776,321","153,291,485,162","180,607,903,031","157,703,321,080","112,505,946,189","116,664,827,591","145,263,672,633","116,696,750,314","117,402,730,122",,,,,,
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,"151,317,311,569",,,,"114,920,646,668","114,920,646,668","114,920,646,668","114,920,646,668","155,827,042,830","155,827,042,830","155,827,042,830","155,827,042,830","120,734,884,742","120,734,884,742","120,734,884,742","120,734,884,742","99,014,214,494","99,014,214,494","99,014,214,494","99,014,214,494",,"89,271,262,546",,,"76,202,067,100","72,580,273,788","76,248,527,928","93,298,267,237","104,346,914,331","110,082,467,062","126,996,888,285","134,517,655,547","116,747,904,113","127,197,830,794","144,692,367,304","165,402,862,459","150,251,475,573","110,056,706,580","105,674,229,661","116,846,716,846","78,258,083,631","82,679,260,123","74,264,302,296","72,802,562,828","65,575,138,688","83,108,192,270","82,177,791,022","109,428,685,538","78,032,793,510","82,168,056,411","83,320,381,077","103,181,106,126","87,569,139,923","88,363,330,839",,,,,,
