TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"219,031,393,574","223,516,126,511","266,755,363,172","240,086,941,786","233,858,977,084","224,008,849,723","272,549,649,504","279,213,290,500","324,757,907,199","247,643,077,741","243,916,890,734","226,887,623,769","243,488,163,464","309,886,934,177","321,372,747,858","377,040,269,844","446,715,930,435","439,255,021,229","423,158,692,906","386,576,271,222","389,343,152,326","367,530,838,979","382,472,372,633","376,033,291,331","354,509,098,969","311,759,968,777","386,193,758,555","355,418,725,406","343,009,523,312"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,519,623,995","20,982,624,276","41,116,070,942","12,591,058,868","10,083,759,988","14,435,994,883","20,906,293,969","21,798,278,111","20,173,873,286","27,638,163,657","19,192,195,735","32,282,757,169","5,184,087,069","71,094,229,473","49,007,547,815","56,721,432,431","49,544,215,568","44,889,631,522","36,292,995,270","49,017,041,472","62,428,461,018","68,177,427,728","82,787,770,226","90,951,415,643","67,680,251,498","59,431,223,166","94,467,733,122","107,703,568,059","97,975,773,078"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,489,623,995","5,452,624,276","12,586,070,942","12,591,058,868","10,083,759,988","14,435,994,883","20,906,293,969","21,798,278,111","5,886,473,286","22,228,163,657","14,782,195,735","31,872,757,169","4,774,087,069","71,094,229,473","49,007,547,815","29,168,007,773","20,521,311,645","32,889,631,522","24,292,995,270","25,017,041,472","15,428,461,018","11,149,142,824","37,210,459,137","31,932,244,554","8,002,720,982","11,079,753,216","19,093,874,375","43,300,594,379","18,531,734,744"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,030,000,000","15,530,000,000","28,530,000,000",,,,,,"14,287,400,000","5,410,000,000","4,410,000,000","410,000,000","410,000,000",,,"27,553,424,658","29,022,903,923","12,000,000,000","12,000,000,000","24,000,000,000","47,000,000,000","57,028,284,904","45,577,311,089","59,019,171,089","59,677,530,516","48,351,469,950","75,373,858,747","64,402,973,680","79,444,038,334"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,200,000,000","52,200,000,000","19,200,000,000","54,200,000,000","40,000,000,001","28,000,000,000","81,800,000,000","81,600,000,000","89,875,789,523","17,702,518,545","24,190,000,000","14,800,000,000","14,800,000,000",,,,,,"1,700,000,000","1,700,000,000",,,,,"5,000,000,000",,,,"25,579,720,524"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,200,000,000","19,200,000,000","19,200,000,000","3,200,000,000",,,,,"28,965,789,523","13,402,518,545","1,260,547,498",,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-370,547,498",,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,000,000,000","33,000,000,000",,"51,000,000,000","40,000,000,001","28,000,000,000","81,800,000,000","81,600,000,000","60,910,000,000","4,300,000,000","23,300,000,000","14,800,000,000","14,800,000,000",,,,,,"1,700,000,000","1,700,000,000",,,,,"5,000,000,000",,,,"25,579,720,524"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,485,813,902","78,466,476,464","141,621,610,209","104,579,833,902","121,835,062,850","107,867,305,593","106,793,968,723","132,675,481,543","152,351,187,667","113,888,991,410","150,322,745,707","124,061,372,518","164,943,140,516","170,234,506,707","203,007,268,648","229,368,026,886","259,820,130,348","241,749,273,832","238,251,220,473","169,713,880,495","198,858,367,392","186,978,741,833","231,291,990,879","197,027,418,934","193,226,193,794","180,892,822,877","205,867,684,022","164,153,371,312","125,627,522,710"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,629,941,012","37,279,107,012","99,677,914,587","68,045,359,731","109,306,462,842","102,130,090,808","90,666,876,356","82,452,521,212","124,607,513,174","97,033,765,639","118,619,955,466","111,158,217,497","120,752,184,795","129,797,015,604","165,813,202,383","187,219,586,607","238,209,271,730","231,885,941,389","183,642,719,233","126,134,730,191","190,770,166,144","155,604,752,834","178,449,415,331","159,027,643,478","163,124,296,889","147,313,693,471","173,985,842,480","140,157,480,533","103,891,485,098"
