TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,223,300,682","92,728,674,112","79,642,370,390","86,545,629,079","46,343,055,068","43,981,531,592","48,769,369,821","144,827,799,013","463,147,209,410","576,431,819,583","658,220,455,396","631,723,025,295","718,042,932,982","742,335,988,945",,"585,836,562,082","599,617,777,872","732,415,302,259","789,204,528,781","631,721,003,994","1,094,408,193,175","1,458,467,336,591","1,760,590,339,929","967,468,245,565","806,955,092,237","567,222,292,834","655,878,829,858","515,644,140,920","525,970,184,241","406,598,872,437","348,129,790,679","360,870,462,863","323,272,219,437","42,232,699,597","41,554,142,087","50,162,623,214"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,062,303,856","6,459,667,242","1,433,568,977","5,187,379,574","6,062,823,934","1,847,580,937","4,672,901,640","127,485,116,625","111,888,998,455","20,923,209,986","21,663,206,557","35,524,900,454","49,202,015,225","5,312,399,437",,"10,956,083,242","11,284,194,637","21,088,655,738","25,531,156,001","47,811,030,875","463,332,588,007","29,260,603,240","24,814,483,154","3,166,637,661","446,087,086","48,882,275","20,469,699","5,026,133,151","10,449,567","1,891,812,504","1,699,717,682","1,697,838,738","1,480,021,070","1,085,555,965","208,033,762","103,961,821"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,562,303,856","1,959,667,242","433,568,977","5,187,379,574","6,062,823,934","1,847,580,937","4,672,901,640","127,485,116,625","24,888,998,455","20,923,209,986","21,663,206,557","35,524,900,454","4,202,015,225","5,312,399,437",,"10,956,083,242","11,284,194,637","21,088,655,738","25,531,156,001","47,811,030,875","463,332,588,007","27,260,603,240","22,814,483,154","1,166,637,661","446,087,086","48,882,275","20,469,699","5,026,133,151","10,449,567","1,891,812,504","1,699,717,682","1,697,838,738","1,480,021,070","1,085,555,965","208,033,762","103,961,821"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,500,000,000","4,500,000,000","1,000,000,000",,,,,,"87,000,000,000",,,,"45,000,000,000",,,,,,,,,"2,000,000,000","2,000,000,000","2,000,000,000",,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,000,000,000","90,000,000,000","91,163,219,200","46,163,219,200","22,651,837,000",,,,,,,,,,,,"167,360,000,000","159,360,000,000",,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,000,000,000","90,000,000,000","91,163,219,200","46,163,219,200","22,651,837,000",,,,,,,,,,,,"167,360,000,000","159,360,000,000",,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,005,624,769","85,983,506,870","76,754,433,277","81,037,233,965","38,887,782,720","41,355,322,769","42,989,438,722","17,340,682,388","313,214,554,219","464,528,099,468","503,094,260,589","329,603,914,321","452,202,889,521","410,390,395,364",,"113,719,267,204","112,060,251,025","170,449,594,827","179,642,586,560","165,772,068,818","194,116,000,212","960,602,222,362","1,233,447,565,119","961,429,809,660","804,026,844,841","399,442,212,867","496,133,725,171","510,458,778,193","525,958,909,801","404,693,032,149","346,413,933,519","359,154,626,124","321,768,576,439","41,119,718,437","41,310,695,477","50,017,319,038"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,776,979,269","35,121,409,870","40,057,452,920","68,779,635,430","36,581,096,192","21,731,503,446","24,058,997,436","14,267,771,002","118,349,790,540","51,619,619,811","60,471,342,132","68,604,048,666","133,565,498,147","187,172,041,989",,"20,749,356,926","1,957,586,581","12,757,006,337","2,023,927,320","2,569,543,479","2,720,082,237","19,586,952,640","292,146,643,736","3,999,340,554","1,483,585,822","159,060,000,000","92,220,000,000","15,200,000,000","18,300,000,000","700,000,000","200,000,000",,,,,
